candidate_id,timestamp,source,label,gt_id,entry_price,polarity,atr4h,has_4h_demand_below,nearest_4h_demand_low,nearest_4h_demand_high,dist_4h_demand_top_atr,dist_4h_demand_mid_atr,dist_4h_demand_low_atr,demand_4h_width_atr,demand_4h_age_bars,demand_4h_touched_on_retest,demand_4h_origin_of_leg_cand,demand_4h_below_polarity,demand_4h_below_stop,has_4h_supply_overhead,nearest_4h_supply_low,nearest_4h_supply_high,dist_4h_supply_low_atr,dist_4h_supply_mid_atr,dist_4h_supply_high_atr,supply_4h_width_atr,supply_4h_age_bars,supply_4h_touched_before_entry,supply_4h_broken_before_entry,supply_4h_rejected_before_entry,supply_4h_blocks_target_2ATR,supply_4h_blocks_target_3ATR,supply_4h_blocks_target_4ATR,has_d1_demand_below,dist_d1_demand_atr,has_d1_supply_overhead,dist_d1_supply_atr,demand_dist_from_polarity_atr,supply_dist_from_polarity_atr,reclaim_close_dist_from_supply_atr,reclaim_close_dist_from_demand_atr,demand_category,supply_category,polarity_category,quality_score_exploratory,feature_availability
C55,2020-01-14 07:00,swing_high_simples,UNKNOWN,,1545.06,1541.1,6.42,1,1516.61,1522.05,3.58,4.0,4.43,0.85,UNAVAILABLE(x1x2_ordinal),0,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1557.86,1563.11,1.99,2.4,2.81,0.82,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,4.33,0,,2.96,2.61,1.99,3.58,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C56,2020-01-14 11:00,swing_high_simples,UNKNOWN,,1546.39,1541.1,6.55,1,1516.61,1522.05,3.72,4.13,4.55,0.83,UNAVAILABLE(x1x2_ordinal),0,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1557.86,1563.11,1.75,2.15,2.55,0.8,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,4.39,0,,2.91,2.56,1.75,3.72,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C57,2020-01-14 15:00,swing_high_simples,UNKNOWN,,1545.73,1541.1,6.74,1,1516.61,1522.05,3.51,3.92,4.32,0.81,UNAVAILABLE(x1x2_ordinal),0,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1557.86,1563.11,1.8,2.19,2.58,0.78,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,4.36,0,,2.83,2.49,1.8,3.51,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C58,2020-01-14 19:00,swing_high_simples,UNKNOWN,,1546.33,1541.1,6.24,1,1535.94,1542.21,0.66,1.16,1.66,1.0,UNAVAILABLE(x1x2_ordinal),1,0,0,UNAVAILABLE(no_SL_in_v2.2),1,1557.86,1563.11,1.85,2.27,2.69,0.84,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,4.39,0,,-0.18,2.69,1.85,0.66,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C78,2020-01-20 03:00,fractal_3_3,UNKNOWN,,1561.52,1558.18,4.86,1,1548.04,1554.33,1.48,2.12,2.77,1.29,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.75,1611.39,8.89,9.57,10.25,1.36,UNAVAILABLE(x1x2_ordinal),0,0,0,0,0,0,1,5.24,1,1.77,0.79,9.57,8.89,1.48,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C80,2020-01-20 11:00,fractal_3_3,UNKNOWN,,1560.16,1558.18,4.68,1,1548.04,1554.33,1.25,1.92,2.59,1.34,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.75,1611.39,9.53,10.24,10.95,1.42,UNAVAILABLE(x1x2_ordinal),0,0,0,0,0,0,1,5.18,1,1.84,0.82,9.96,9.53,1.25,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C81,2020-01-20 15:00,fractal_3_3,UNKNOWN,,1560.62,1558.18,4.51,1,1548.04,1554.33,1.4,2.09,2.79,1.4,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.75,1611.39,9.79,10.53,11.26,1.47,UNAVAILABLE(x1x2_ordinal),0,0,0,0,0,0,1,5.2,1,1.81,0.85,10.33,9.79,1.4,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C86,2020-01-21 15:00,fractal_3_3,UNKNOWN,,1558.7,1558.18,5.82,1,1548.04,1554.33,0.75,1.29,1.83,1.08,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1562.48,1568.6,0.65,1.17,1.7,1.05,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,0.48,1,1.84,0.66,0.74,0.65,0.75,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,-1,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C90,2020-01-22 07:00,fractal_3_3,UNKNOWN,,1558.47,1558.18,5.87,1,1546.34,1552.56,1.01,1.54,2.07,1.06,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1562.48,1568.6,0.68,1.21,1.73,1.04,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,0.48,1,1.88,0.96,0.73,0.68,1.01,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,-1,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C93,2020-01-22 19:00,fractal_3_3,UNKNOWN,,1558.97,1558.18,5.87,1,1546.34,1552.56,1.09,1.62,2.15,1.06,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1562.48,1568.6,0.6,1.12,1.64,1.04,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,0.51,1,1.86,0.96,0.73,0.6,1.09,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,-1,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
