gt_id,captured_in_original,captured_in_pruned_v1,captured_in_pruned_v2,number_of_surviving_candidates,surviving_sources,fragile,notes
GT01,yes,yes,yes,4,fractal_3_3,no,
GT02,yes,yes,yes,1,swing_high_simples,no,
GT03,yes,yes,yes,1,fractal_3_3,no,
GT08,yes,yes,yes,1,fractal_3_3,no,
GT09,yes,yes,yes,1,fractal_3_3,no,
GT10,yes,yes,yes,2,fractal_3_3,no,
GT13A,yes,yes,yes,3,fractal_3_3,no,
GT13B,yes,yes,yes,1,fractal_3_3,yes,
GT15,yes,yes,yes,4,fractal_3_3,no,
GT17A,yes,yes,yes,1,fractal_3_3,yes,
GT18,yes,yes,yes,2,fractal_3_3,no,
GT20,yes,yes,yes,3,fractal_3_3,no,
GT21,yes,yes,yes,4,fractal_3_3,no,
GT23,yes,yes,yes,4,fractal_3_3,yes,
GT24,yes,yes,yes,1,fractal_3_3,yes,
GT25,yes,yes,yes,3,fractal_3_3|swing_high_simples,no,
GT27,yes,yes,yes,3,fractal_3_3|swing_high_simples,no,
