candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C55,2020-01-14 07:00,swing_high_simples,UNKNOWN,no,no,,0,0,4.33,2020-01-13T21:58:59+00:00,1,12.8,0,0,23.01,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C56,2020-01-14 11:00,swing_high_simples,UNKNOWN,no,no,,0,0,4.39,2020-01-13T21:58:59+00:00,1,11.47,0,0,24.34,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C57,2020-01-14 15:00,swing_high_simples,UNKNOWN,no,no,,0,0,4.36,2020-01-13T21:58:59+00:00,1,12.13,0,0,23.68,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C58,2020-01-14 19:00,swing_high_simples,UNKNOWN,no,no,,0,0,4.39,2020-01-13T21:58:59+00:00,1,11.53,0,0,4.12,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C78,2020-01-20 03:00,fractal_3_3,UNKNOWN,no,no,,0,0,5.24,2020-01-17T21:54:59+00:00,0,43.23,0,0,7.19,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C80,2020-01-20 11:00,fractal_3_3,UNKNOWN,no,no,,0,0,5.18,2020-01-17T21:54:59+00:00,0,44.59,0,0,5.83,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C81,2020-01-20 15:00,fractal_3_3,UNKNOWN,no,no,,0,0,5.2,2020-01-17T21:54:59+00:00,0,44.13,0,0,6.29,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C86,2020-01-21 15:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.48,2020-01-20T21:58:59+00:00,1,3.78,0,0,4.37,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C90,2020-01-22 07:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.48,2020-01-21T21:58:59+00:00,1,4.01,0,0,5.91,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C93,2020-01-22 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.51,2020-01-21T21:58:59+00:00,1,3.51,0,0,6.41,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
