candidate_id,timestamp,source,unknown_rank,at_D1_demand,near_custom_ob_demand,inside_custom_ob_demand,supply_overhead,inside_custom_ob_supply
C55,2020-01-14 07:00,swing_high_simples,UNKNOWN_NAO_LIKE,0,0,0,1,0
C56,2020-01-14 11:00,swing_high_simples,UNKNOWN_NAO_LIKE,0,0,0,1,0
C57,2020-01-14 15:00,swing_high_simples,UNKNOWN_NAO_LIKE,0,0,0,1,0
C58,2020-01-14 19:00,swing_high_simples,UNKNOWN_NAO_LIKE,0,0,0,1,0
C78,2020-01-20 03:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,0,0,0,0,0
C80,2020-01-20 11:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,0,0,0,0,0
C81,2020-01-20 15:00,fractal_3_3,UNKNOWN_LOW_PRIORITY,0,0,0,0,0
C86,2020-01-21 15:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,0,0,1,0
C90,2020-01-22 07:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,0,0,1,0
C93,2020-01-22 19:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C97,2020-01-23 11:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,0,1
C98,2020-01-23 15:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C99,2020-01-23 19:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,0,1
C100,2020-01-23 23:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C101,2020-01-24 03:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,1,0,1,0
C102,2020-01-24 07:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,1,0,1,0
C103,2020-01-24 11:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,0,1
C105,2020-01-24 19:00,fractal_3_3,UNKNOWN_NEEDS_VISUAL,0,0,0,0,0
C116,2020-01-28 15:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C117,2020-01-28 19:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,0,0,1,0
C118,2020-01-28 23:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,1,0,1,0
C119,2020-01-29 03:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,0,0,1,0
C122,2020-01-29 15:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C130,2020-01-30 23:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C131,2020-01-31 03:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C140,2020-02-03 15:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,1,0,1,0
C149,2020-02-05 03:00,fractal_3_3,UNKNOWN_BOM_LIKE,1,0,0,0,0
C159,2020-02-06 19:00,fractal_3_3,UNKNOWN_BOM_LIKE,1,0,0,0,0
C160,2020-02-06 23:00,fractal_3_3,UNKNOWN_BOM_LIKE,1,0,0,0,0
C166,2020-02-09 23:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,0,0,1,0
C167,2020-02-10 03:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C168,2020-02-10 07:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C174,2020-02-11 07:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,1,0,1,0
C175,2020-02-11 11:00,fractal_3_3,UNKNOWN_NAO_LIKE,0,0,0,1,0
C176,2020-02-11 15:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,1,0,1,0
C178,2020-02-11 23:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,1,0,1,0
C179,2020-02-12 03:00,fractal_3_3,UNKNOWN_NAO_LIKE,1,0,1,1,0
C180,2020-02-12 07:00,fractal_3_3,UNKNOWN_BOM_LIKE,1,0,1,0,0
C183,2020-02-12 19:00,fractal_3_3,UNKNOWN_BOM_LIKE,1,0,1,0,0
