factors,count_after,reduction_pct,BOM_preserved,BOM_lost,NAO_events_cut,UNKNOWN_cut,cand_per_year,fragile_ok,has_danger,class
overextended_entry+src_redundant+bear_flag,2965,61.8,17,0,2,4753,424.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04+bear_flag,3087,60.2,17,0,2,4639,441.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04+bear_flag,3097,60.1,17,0,2,4617,442.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant+bear_flag,3106,60.0,17,0,2,4612,444.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04+no_retest,3349,56.9,17,0,2,4379,478.0,True,False,SAFE_CANDIDATE
overextended_entry+src_redundant+no_retest,3371,56.6,17,0,2,4351,482.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04+no_retest,3385,56.4,17,0,1,4331,484.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant+no_retest,3412,56.0,17,0,2,4307,487.0,True,False,SAFE_CANDIDATE
overextended_entry+src_redundant+no_polarity_defense,3420,55.9,17,0,2,4302,489.0,True,False,SAFE_CANDIDATE
overextended_entry+src_redundant,3438,55.7,17,0,2,4284,491.0,True,False,SAFE_CANDIDATE
overextended_entry+src_redundant+false_tipo_B_dump_direto,3438,55.7,17,0,2,4284,491.0,True,False,SAFE_CANDIDATE
overextended_entry+src_redundant+no_absorption,3438,55.7,17,0,2,4284,491.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04,3552,54.2,17,0,2,4177,507.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04+false_tipo_B_dump_direto,3552,54.2,17,0,2,4177,507.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04+no_absorption,3552,54.2,17,0,2,4177,507.0,True,False,SAFE_CANDIDATE
src_redundant+dist_pol_lt04+no_polarity_defense,3552,54.2,17,0,2,4177,507.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant+no_polarity_defense,3561,54.1,17,0,2,4159,509.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04,3563,54.1,17,0,1,4154,509.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04+false_tipo_B_dump_direto,3563,54.1,17,0,1,4154,509.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04+no_absorption,3563,54.1,17,0,1,4154,509.0,True,False,SAFE_CANDIDATE
volume_fraco+dist_pol_lt04+no_polarity_defense,3563,54.1,17,0,1,4154,509.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant,3572,54.0,17,0,2,4148,510.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant+false_tipo_B_dump_direto,3572,54.0,17,0,2,4148,510.0,True,False,SAFE_CANDIDATE
volume_fraco+src_redundant+no_absorption,3572,54.0,17,0,2,4148,510.0,True,False,SAFE_CANDIDATE
bear_flag+dist_pol_lt04+no_retest,3952,49.1,17,0,1,3780,565.0,True,False,SAFE_CANDIDATE
bear_flag+src_redundant+no_retest,4078,47.5,17,0,1,3662,583.0,True,False,SAFE_CANDIDATE
bear_flag+dist_pol_lt04,4150,46.5,17,0,1,3583,593.0,True,False,SAFE_CANDIDATE
bear_flag+dist_pol_lt04+false_tipo_B_dump_direto,4150,46.5,17,0,1,3583,593.0,True,False,SAFE_CANDIDATE
bear_flag+dist_pol_lt04+no_absorption,4150,46.5,17,0,1,3583,593.0,True,False,SAFE_CANDIDATE
bear_flag+dist_pol_lt04+no_polarity_defense,4150,46.5,17,0,1,3583,593.0,True,False,SAFE_CANDIDATE
bear_flag+src_redundant+no_polarity_defense,4230,45.5,17,0,1,3511,604.0,True,False,SAFE_CANDIDATE
bear_flag+src_redundant,4248,45.3,17,0,1,3493,607.0,True,False,SAFE_CANDIDATE
bear_flag+src_redundant+false_tipo_B_dump_direto,4248,45.3,17,0,1,3493,607.0,True,False,SAFE_CANDIDATE
bear_flag+src_redundant+no_absorption,4248,45.3,17,0,1,3493,607.0,True,False,SAFE_CANDIDATE
no_retest+dist_pol_lt04,4551,41.4,17,0,0,3185,650.0,True,False,SAFE_CANDIDATE
