plot_id,visual_policy,exit,realR,trade_type
S1,TAKE_CANDIDATE,WIN_HELD,1.46,structural_winner
S3,TAKE_CANDIDATE,WIN_HELD,2.43,structural_winner
S4,TAKE_CANDIDATE,WIN_HELD,1.43,structural_winner
S5,REVIEW,WIN_HELD,2.09,review_won
S6,TAKE_CANDIDATE,WIN_BE,0.9,good_entry_scratch_exit
S7,SKIP_STRUCTURAL,WIN_BE,0.9,other
S8,TAKE_CANDIDATE,WIN_BE,0.9,good_entry_scratch_exit
S9,TAKE_CANDIDATE,WIN_HELD,1.78,structural_winner
S10,TAKE_CANDIDATE,WIN_HELD,1.86,structural_winner
S12,REVIEW,WIN_HELD,1.84,review_won
S13,SKIP_STRUCTURAL,WIN_HELD,3.54,bear_context_won_beta_or_bottom
S14,TAKE_CANDIDATE,WIN_HELD,2.75,structural_winner
S15,TAKE_CANDIDATE,WIN_HELD,2.76,structural_winner
S16,TAKE_CANDIDATE,WIN_HELD,1.82,structural_winner
S17,TAKE_CANDIDATE,WIN_HELD,2.17,structural_winner
S18,TAKE_CANDIDATE,WIN_HELD,2.05,structural_winner
S19,SKIP_STRUCTURAL,WIN_HELD,1.96,bear_context_won_beta_or_bottom
S20,TAKE_CANDIDATE,WIN_RUNNER,3.9,structural_winner_monumental
S21,TAKE_CANDIDATE,WIN_HELD,2.7,structural_winner
S22,REVIEW,WIN_BE,0.9,review_loser
S23,TAKE_CANDIDATE,WIN_BE,0.9,good_entry_scratch_exit
S24,TAKE_CANDIDATE,WIN_HELD,3.16,structural_winner
S25,TAKE_CANDIDATE,WIN_RUNNER,3.9,structural_winner_monumental
S26,TAKE_CANDIDATE,WIN_RUNNER,3.9,structural_winner_monumental
S27,TAKE_CANDIDATE,WIN_HELD,1.78,structural_winner
S28,TAKE_CANDIDATE,WIN_HELD,1.01,structural_winner
S29,TAKE_CANDIDATE,WIN_HELD,1.95,structural_winner
S30,TAKE_CANDIDATE,WIN_HELD,2.05,structural_winner
S31,TAKE_CANDIDATE,WIN_HELD,2.83,structural_winner
S32,TAKE_CANDIDATE,WIN_RUNNER,3.9,structural_winner_monumental
S34,SKIP_STRUCTURAL,WIN_BE,0.9,other
S35,TAKE_CANDIDATE,WIN_RUNNER,3.9,structural_winner_monumental
S36,TAKE_CANDIDATE,WIN_HELD,1.97,structural_winner
S37,TAKE_CANDIDATE,WIN_HELD,2.45,structural_winner
S38,TAKE_CANDIDATE,WIN_HELD,3.16,structural_winner
S39,REVIEW,WIN_BE,0.9,review_loser
T2,REVIEW,WIN_BE,0.79,review_loser
T3,REVIEW,STOP_LOSS,-1.1,review_loser
T4,REVIEW,STOP_LOSS,-1.1,review_loser
T9,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T11,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T12,REVIEW,STOP_LOSS,-1.1,review_loser
T13,REVIEW,SCRATCH,1.02,review_loser
T14,REVIEW,WIN_HELD,1.99,review_won
T15,REVIEW,STOP_LOSS,-1.1,review_loser
T16,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T17,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1,residual
T18,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T19,TAKE_CANDIDATE,WIN_HELD,2.02,structural_winner
T20,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1,residual
T23,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T24,WATCHLIST_TRANSFORM,SCRATCH,0.38,residual
T25,SKIP_STRUCTURAL,WIN_BE,0.9,other
T26,SKIP_STRUCTURAL,WIN_BE,0.9,other
T27,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T30,TAKE_CANDIDATE,STOP_LOSS,-1.1,take_stopped_check_SL
T32,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1,residual
T33,TAKE_CANDIDATE,WIN_HELD,1.69,structural_winner
T34,REVIEW,STOP_LOSS,-1.1,review_loser
T36,TAKE_CANDIDATE,WIN_BE,0.9,good_entry_scratch_exit
T40,SKIP_STRUCTURAL,STOP_LOSS,-1.1,acceptable_loser
T42,SKIP_STRUCTURAL,STOP_LOSS,-1.11,acceptable_loser
