plot_id,cris,old,corrected,visual_anchored,exit,realR,agree_cris
S1,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.46,-
S3,-,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.43,-
S4,-,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.43,-
S5,-,REVIEW,TAKE_CANDIDATE,REVIEW,WIN_HELD,2.09,-
S6,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_BE,0.9,-
S7,-,REVIEW,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_BE,0.9,-
S8,-,REVIEW,SKIP_STRUCTURAL,TAKE_CANDIDATE,WIN_BE,0.9,-
S9,-,SKIP_STRUCTURAL,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.78,-
S10,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.86,-
S12,-,REVIEW,TAKE_CANDIDATE,REVIEW,WIN_HELD,1.84,-
S13,-,SKIP_STRUCTURAL,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,3.54,-
S14,-,SKIP_STRUCTURAL,SKIP_STRUCTURAL,TAKE_CANDIDATE,WIN_HELD,2.75,-
S15,-,SKIP_STRUCTURAL,SKIP_STRUCTURAL,TAKE_CANDIDATE,WIN_HELD,2.76,-
S16,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.82,-
S17,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.17,-
S18,-,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.05,-
S19,BLOCK_acceptable_skip,SKIP_STRUCTURAL,SKIP_STRUCTURAL,SKIP_STRUCTURAL,WIN_HELD,1.96,SKIP-BLOCK
S20,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_RUNNER,3.9,TAKE-PROTECT
S21,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.7,-
S22,-,REVIEW,TAKE_CANDIDATE,REVIEW,WIN_BE,0.9,-
S23,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_BE,0.9,-
S24,PROTECT,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,3.16,TAKE-PROTECT
S25,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_RUNNER,3.9,TAKE-PROTECT
S26,PROTECT,SKIP_STRUCTURAL,REVIEW,TAKE_CANDIDATE,WIN_RUNNER,3.9,TAKE-PROTECT
S27,PROTECT,REVIEW,REVIEW,TAKE_CANDIDATE,WIN_HELD,1.78,TAKE-PROTECT
S28,-,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.01,-
S29,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.95,TAKE-PROTECT
S30,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.05,TAKE-PROTECT
S31,PROTECT,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.83,TAKE-PROTECT
S32,PROTECT,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_RUNNER,3.9,TAKE-PROTECT
S34,-,TAKE_CANDIDATE,TAKE_CANDIDATE,SKIP_STRUCTURAL,WIN_BE,0.9,-
S35,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_RUNNER,3.9,TAKE-PROTECT
S36,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,1.97,TAKE-PROTECT
S37,PROTECT,REVIEW,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,2.45,TAKE-PROTECT
S38,PROTECT,TAKE_CANDIDATE,TAKE_CANDIDATE,TAKE_CANDIDATE,WIN_HELD,3.16,TAKE-PROTECT
S39,REVIEW,REVIEW,TAKE_CANDIDATE,REVIEW,WIN_BE,0.9,mismatch
T2,-,REVIEW,TAKE_CANDIDATE,REVIEW,WIN_BE,0.79,-
T3,-,REVIEW,TAKE_CANDIDATE,REVIEW,STOP_LOSS,-1.1,-
T4,-,TAKE_CANDIDATE,TAKE_CANDIDATE,REVIEW,STOP_LOSS,-1.1,-
T9,-,TAKE_CANDIDATE,SKIP_STRUCTURAL,SKIP_STRUCTURAL,STOP_LOSS,-1.1,-
T11,-,REVIEW,SKIP_STRUCTURAL,SKIP_STRUCTURAL,STOP_LOSS,-1.1,-
