episode_id,plot_id,datetime,old_decision,agg_v1_decision,outcome,realR,exit_type,visual_verdict,policy_decision,setup_family,context_tags,failed_axis,acceptable_missed_winner,causal_predicate,anti_hindsight_ok,protect_reason,block_reason,review_reason,transform_reason,fuel_state,regime_state,timing_state,structure_state,risk_sl_state,supply_demand_state,notes
78,T1,2020-01-20 03:00,SKIP,TAKE,STOP,-1.1,STOP_LOSS,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,N/A,has_demand=1 & reclaim=0.74 & dist_supply=8.89 (entrada estrutural ok),true,boa entrada inicial demanda/reclaim antes da extensao,,,,forte,favoravel,ok,media,sl_atr=2.87/NORMAL_DEMAND_BASE,livre,
130,T2,2020-01-30 23:00,REVIEW,TAKE,WIN,0.79,WIN_BE,BLOCK,BLOCK,,late_top_exhaustion|supply_colada,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=69.2 (regime/late-top na entrada),true,,late/top exhaustion,,,fraco,hostil,ok,media,sl_atr=1.47/V_REVERSAL_DEMAND,colada,
237,T3,2020-02-25 23:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,late_top_exhaustion,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=65.4 (regime/late-top na entrada),true,,late/top exhaustion,,,medio,hostil,ok,media,sl_atr=0.49/V_REVERSAL_DEMAND,livre,
287,T4,2020-03-09 06:00,SKIP,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,late_top_exhaustion,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=72.8 (regime/late-top na entrada),true,,late/top exhaustion claro,,,medio,hostil,ok,media,sl_atr=1.24/V_REVERSAL_DEMAND,livre,
413,S1,2020-04-07 06:00,SKIP,SKIP,WIN,1.46,WIN_HELD,PROTECT,TAKE_CANDIDATE,demand_reclaim,supply_colada,none,false,has_demand=1 & reclaim=-0.9 & dist_supply=0.85 (entrada estrutural ok),true,bom bull continuation/demand_reclaim,,,,fraco,favoravel,esticado,media,sl_atr=3.39/TOP_EXHAUSTION,colada,
493,S2,2020-04-27 14:00,SKIP,SKIP,WIN,0.9,WIN_BE,BLOCK,BLOCK,,supply_colada,structure,true,has_demand=1 & reclaim=-0.37 (estrutura fraca),true,,sem qualidade estrutural; range/pullback fraco,,,fraco,incerto,ok,fraca,sl_atr=0.3/LATE_WIDE,colada,
702,S3,2020-06-15 14:00,TAKE,SKIP,WIN,2.43,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=1.26 & dist_supply=0.8 (entrada estrutural ok),true,exemplar,,,,fraco,favoravel,ok,media,sl_atr=1.38/V_REVERSAL_DEMAND,colada,
766,T5,2020-06-30 06:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=-0.03 & dist_supply=None (entrada estrutural ok),true,sequencia exemplar bull_pullback,,,,medio,favoravel,esticado,media,sl_atr=0.72/NORMAL_DEMAND_BASE,livre,
780,S4,2020-07-02 14:00,REVIEW,SKIP,WIN,1.43,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=0.36 & dist_supply=0.66 (entrada estrutural ok),true,exemplar,,,,fraco,favoravel,esticado,media,sl_atr=2.01/V_REVERSAL_DEMAND,colada,
833,T6,2020-07-15 14:00,REVIEW,TAKE,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=0.95 & dist_supply=None (entrada estrutural ok),true,exemplar,,,,medio,favoravel,esticado,media,sl_atr=2.86/NORMAL_DEMAND_BASE,livre,
845,T7,2020-07-17 14:00,REVIEW,TAKE,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=0.63 & dist_supply=None (entrada estrutural ok),true,exemplar,,,,medio,favoravel,esticado,media,sl_atr=2.9/NORMAL_DEMAND_BASE,livre,
866,S5,2020-07-23 02:00,SKIP,SKIP,WIN,2.09,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,false,has_demand=1 & reclaim=0.27 & dist_supply=None (entrada estrutural ok),true,exemplar (SL correto),,,,medio,favoravel,esticado,media,sl_atr=6.94/TOP_EXHAUSTION,livre,
901,S6,2020-07-30 22:00,REVIEW,SKIP,WIN,0.9,WIN_BE,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=0.67 & dist_supply=0.36 (entrada estrutural ok),true,exemplar,,,,fraco,favoravel,esticado,media,sl_atr=1.72/V_REVERSAL_DEMAND,colada,
