plot_id,episode_id,datetime,stage_a,causal_score_5,causal_verdict,fatal_reason_v1,regime,demand,reclaim,fuel,not_stretched
S12,3252,2022-02-08,bull_pullback_continuation,4,REAL_ERROR,FATAL:no_demand_bad_risk,True,False,True,True,True
S3,702,2020-06-15,liquidity_sweep_reversal,3,AMBIGUOUS,FATAL:exhaustion_hostile_no_bottom,True,False,True,False,True
S8,1941,2021-04-06,demand_reclaim,3,AMBIGUOUS,FATAL:exhaustion_hostile_no_bottom,True,False,False,True,True
S13,3949,2022-07-21,bottom_reversal_capitulation,3,AMBIGUOUS,FATAL:no_demand_bad_risk,True,False,True,False,True
S15,4401,2022-11-04,demand_reclaim,3,AMBIGUOUS,FATAL:exhaustion_hostile_no_bottom,True,False,True,False,True
S20,5842,2023-10-11,demand_reclaim,3,AMBIGUOUS,FATAL:exhaustion_hostile_no_bottom,True,False,True,False,True
S32,8905,2025-10-03,demand_reclaim,3,AMBIGUOUS,FATAL:exhaustion_hostile_no_bottom,True,False,True,True,False
S34,8940,2025-10-13,bull_pullback_continuation,3,AMBIGUOUS,FATAL:exhaustion_hostile_no_bottom,True,False,True,True,False
S4,780,2020-07-02,bull_pullback_continuation,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,True,False,False
S5,866,2020-07-23,late_top_exhaustion,2,HINDSIGHT,FATAL:late_top_context,False,False,True,True,False
S7,1298,2020-11-02,mid_range_noise,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,False,False,True,False,True
S16,4483,2022-11-23,mid_range_noise,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,False,False,True,False,True
S17,4644,2023-01-03,bull_pullback_continuation,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,True,False,False
S26,7232,2024-09-04,liquidity_sweep_reversal,2,HINDSIGHT,FATAL:no_demand_bad_risk,True,False,False,False,True
S27,8357,2025-05-28,bottom_reversal_capitulation,2,HINDSIGHT,FATAL:no_demand_bad_risk,True,False,False,False,True
S30,8823,2025-09-15,bull_pullback_continuation,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,False,True,False
S31,8893,2025-10-01,bull_pullback_continuation,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,False,True,False
S35,9215,2025-12-16,demand_reclaim,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,False,False,True
S36,9297,2026-01-06,bull_pullback_continuation,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,False,False,True
S38,9314,2026-01-09,bull_pullback_continuation,2,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,True,False,True,False,False
S39,9368,2026-01-22,late_top_exhaustion,2,HINDSIGHT,FATAL:late_top_context,False,False,True,True,False
S6,901,2020-07-30,late_top_exhaustion,1,HINDSIGHT,FATAL:late_top_context,False,False,True,False,False
S25,7149,2024-08-15,bear_bounce,1,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,False,False,False,False,True
S29,8765,2025-09-02,late_top_exhaustion,1,HINDSIGHT,FATAL:late_top_context,False,False,False,True,False
S37,9304,2026-01-08,mid_range_noise,1,HINDSIGHT,FATAL:exhaustion_hostile_no_bottom,False,False,False,False,True
S1,413,2020-04-07,late_top_exhaustion,0,HINDSIGHT,FATAL:late_top_context,False,False,False,False,False
