episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
,103,1361790000,2013-02-25 11:00,1588.76,7.99,REFERENCE_ONLY,REFERENCE_ONLY,-2.82,-9.77,-2.43,1.22,-2.07,below,30.2,,False,2.43,3.36,53.23,34.97,53.23,above,0.0,1,0,1.15,7.99,1.14,False,56.1,31.5,25.9,0,0,0,0,,53.23,0,0,0,0,1,2,0,0,0,3,0.0,2,0,1,2.36,0.87,,1,1,1,0.3,1,1.94,1,1,0,0,1,3.71,,,,,,,0,CHOCH,-0.58,1.49,1.94,2.46,demand,NORMAL_DEMAND_BASE,False,11,False
,170,1363096800,2013-03-12 14:00,1592.62,6.04,REFERENCE_ONLY,REFERENCE_ONLY,2.65,-1.89,1.78,1.96,2.18,above,38.7,36.5,False,0.21,3.25,68.53,49.58,68.53,above,0.0,1,0,1.34,6.04,0.76,False,84.5,53.3,57.9,0,0,0,0,1.87,68.53,0,0,2,0,0,0,0,0,2,0,2,0,2,1,5.17,1.19,,0,0,1,0.27,1,0.54,1,1,1,0,1,0.21,,,,,,,0,CHOCH,-0.2,3.97,0.54,5.26,swing,LATE_WIDE,False,14,False
,201,1363716000,2013-03-19 18:00,1612.68,6.98,REFERENCE_ONLY,REFERENCE_ONLY,2.85,-0.15,3.95,1.82,3.18,above,52.1,40.8,False,0.0,3.95,69.72,60.81,72.43,above,0.0,0,3,0.6,6.98,0.97,False,92.4,94.5,91.6,0,0,0,0,3.03,69.72,0,4,1,2,0,0,0,0,7,0,7,0,3,1,5.18,1.04,,0,0,1,1.74,1,0.05,1,1,1,0,1,3.24,,,,,,,,,0.02,4.15,0.05,5.28,swing,LATE_WIDE,False,18,True
,211,1363860000,2013-03-21 10:00,1614.1,5.37,REFERENCE_ONLY,REFERENCE_ONLY,5.4,4.87,3.27,1.12,3.22,above,54.5,43.7,False,0.0,3.27,60.08,56.71,69.49,below,4.8,0,4,1.83,5.37,0.77,False,93.6,95.4,95.4,1,0,0,0,1.95,60.08,0,2,1,1,0,0,0,0,4,0,4,0,4,1,2.47,1.29,,1,1,1,2.03,1,5.44,0,0,0,0,1,3.52,,,,,,,,,0.95,1.18,5.44,2.57,demand,NORMAL_DEMAND_BASE,False,10,False
,224,1364220000,2013-03-25 14:00,1602.92,6.53,REFERENCE_ONLY,REFERENCE_ONLY,-0.36,4.55,-1.26,-0.92,0.05,above,54.3,47.8,False,1.87,1.09,34.25,34.25,61.97,below,21.9,0,1,2.12,6.53,1.03,True,49.0,65.8,75.1,0,0,0,0,,34.25,0,1,0,0,1,0,0,0,1,1,1.0,0,0,1,4.05,1.11,,0,0,1,1.25,1,1.04,1,1,1,0,1,4.14,,,,,,,0,CHOCH,1.08,2.94,1.04,4.15,demand,NORMAL_DEMAND_BASE,False,14,False
,241,1364464800,2013-03-28 10:00,1599.66,5.31,REFERENCE_ONLY,REFERENCE_ONLY,-2.72,4.26,-2.12,-0.3,-1.2,below,52.2,50.5,False,2.12,1.03,52.68,37.0,54.53,above,1.9,3,0,2.06,5.31,0.9,False,36.9,57.7,69.2,0,0,0,0,0.53,52.68,0,0,0,0,1,0,0,0,0,1,0.0,0,0,1,1.57,1.27,,1,1,1,1.08,1,0.41,1,1,1,0,1,0.32,,,,,,,,,-1.02,0.3,0.41,1.67,demand,V_REVERSAL_DEMAND,False,10,False
,336,1366351200,2013-04-19 06:00,1413.33,19.36,REFERENCE_ONLY,REFERENCE_ONLY,-7.04,-9.59,3.45,1.49,-2.71,below,30.3,33.3,True,0.16,3.45,52.22,29.47,52.22,above,0.0,1,0,0.61,19.36,1.52,False,38.3,34.2,32.5,0,0,0,0,,52.22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.98,0.47,,1,0,1,1.87,1,7.65,0,0,0,0,1,3.38,,,,,,,0,CHOCH,-0.15,3.51,7.65,4.08,demand,NORMAL_DEMAND_BASE,False,6,False
,390,1367474400,2013-05-02 06:00,1455.64,10.84,REFERENCE_ONLY,REFERENCE_ONLY,0.73,-9.49,-1.29,-1.0,0.47,above,44.1,38.6,False,1.82,0.99,46.68,39.92,59.84,below,11.0,0,2,0.33,10.84,0.68,False,33.8,73.5,54.4,0,0,0,0,,46.68,0,0,0,0,4,2,0,0,0,6,0.0,2,0,1,1.4,0.95,,1,0,1,2.44,1,1.52,1,1,1,0,1,2.51,,,,,,,4,CHOCH,0.05,0.45,1.52,1.5,demand,V_REVERSAL_DEMAND,False,6,False
,409,1367920800,2013-05-07 10:00,1446.75,10.19,REFERENCE_ONLY,REFERENCE_ONLY,-2.07,5.65,-0.82,-2.12,-2.0,below,47.1,44.6,False,3.44,0.0,45.3,43.09,56.12,below,10.8,1,0,2.72,10.19,0.62,True,13.2,50.4,72.8,0,0,0,0,,45.3,0,0,0,0,1,1,0,0,0,2,0.0,1,0,1,4.11,0.98,,0,0,1,3.24,1,3.03,0,0,1,0,1,0.5,,,,,,,1,CHOCH,-1.42,3.13,3.03,0.72,demand,NORMAL_DEMAND_BASE,False,10,False
,423,1368122400,2013-05-09 18:00,1456.6,8.59,REFERENCE_ONLY,REFERENCE_ONLY,-1.13,7.66,-1.56,-0.69,-1.1,below,49.0,46.0,False,1.96,1.15,42.57,42.57,57.64,below,15.1,0,1,0.59,8.59,0.63,False,32.8,34.0,69.3,0,0,0,0,,42.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.78,1.2,,1,0,1,4.05,1,1.13,1,1,1,0,1,4.09,,,,,,,15,CHOCH,0.12,0.58,1.13,1.88,demand,V_REVERSAL_DEMAND,False,18,True
