bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
103,,2013-02-25 11:00,2.46,-1.1,STOP_LOSS,0,0,16.93,16.93,LOSERS
170,,2013-03-12 14:00,5.26,0.04,SCRATCH,0,0,28.95,28.95,LOSERS
201,,2013-03-19 18:00,5.28,-1.1,STOP_LOSS,0,0,41.65,41.65,LOSERS
211,,2013-03-21 10:00,2.57,-1.1,STOP_LOSS,0,0,42.01,42.01,LOSERS
224,,2013-03-25 14:00,4.15,-1.1,STOP_LOSS,0,0,31.33,31.33,LOSERS
241,,2013-03-28 10:00,1.67,-1.1,STOP_LOSS,0,0,29.73,29.73,LOSERS
336,,2013-04-19 06:00,4.08,0.77,SCRATCH,0,0,17.11,17.11,LOSERS
390,,2013-05-02 06:00,1.5,-1.1,STOP_LOSS,0,0,25.78,25.78,LOSERS
409,,2013-05-07 10:00,0.72,0.9,WIN_BE,0,0,32.11,32.11,LOSERS
423,,2013-05-09 18:00,1.88,-1.1,STOP_LOSS,0,0,30.9,30.9,LOSERS
467,,2013-05-21 02:00,3.88,0.15,SCRATCH,0,0,16.86,16.86,LOSERS
484,,2013-05-23 22:00,2.65,0.4,SCRATCH,0,0,20.6,20.6,LOSERS
491,,2013-05-27 02:00,4.02,-0.4,SCRATCH,0,0,24.8,24.8,LOSERS
507,,2013-05-29 18:00,2.24,-1.1,STOP_LOSS,0,0,22.82,22.82,LOSERS
568,,2013-06-12 22:00,3.85,-1.1,STOP_LOSS,0,0,25.82,25.82,LOSERS
577,,2013-06-14 10:00,1.81,-1.1,STOP_LOSS,0,0,22.44,22.44,LOSERS
708,,2013-07-16 06:00,2.14,-1.1,STOP_LOSS,0,0,40.89,40.89,LOSERS
729,,2013-07-19 18:00,4.16,0.5,SCRATCH,0,0,41.45,41.45,LOSERS
753,,2013-07-25 18:00,2.11,-1.1,STOP_LOSS,0,0,38.06,38.06,LOSERS
764,,2013-07-29 14:00,1.8,-1.1,STOP_LOSS,0,0,36.2,36.2,LOSERS
782,,2013-08-01 14:00,0.44,-1.29,STOP_LOSS,0,0,24.65,24.65,LOSERS
811,,2013-08-08 10:00,3.72,1.94,WIN_HELD,0,0,20.84,20.84,LOSERS
823,,2013-08-12 10:00,3.89,1.41,SCRATCH,0,0,40.69,40.69,LOSERS
879,,2013-08-23 18:00,4.6,-0.22,SCRATCH,0,0,43.12,43.12,LOSERS
937,,2013-09-06 10:00,1.67,-1.1,STOP_LOSS,0,0,19.34,19.34,LOSERS
988,,2013-09-18 22:00,5.44,-1.1,STOP_LOSS,0,0,23.79,23.79,LOSERS
996,,2013-09-20 06:00,5.12,-1.1,STOP_LOSS,0,0,31.18,31.18,LOSERS
1066,,2013-10-07 22:00,3.1,-1.1,STOP_LOSS,0,0,25.49,25.49,LOSERS
1112,,2013-10-17 14:00,3.76,-0.06,SCRATCH,0,0,32.73,32.73,LOSERS
1233,,2013-11-14 19:00,3.32,-1.1,STOP_LOSS,0,0,15.53,15.53,LOSERS
1265,,2013-11-22 03:00,1.17,-1.1,STOP_LOSS,0,0,10.4,10.4,LOSERS
1276,,2013-11-25 23:00,3.51,-1.1,STOP_LOSS,0,0,14.18,14.18,LOSERS
1296,,2013-11-29 11:00,3.16,-1.1,STOP_LOSS,0,0,19.75,19.75,LOSERS
1316,,2013-12-04 23:00,3.26,-0.81,SCRATCH,0,0,16.67,16.67,LOSERS
1363,,2013-12-16 19:00,2.69,-1.1,STOP_LOSS,0,0,25.4,25.4,LOSERS
1402,,2013-12-26 15:00,2.96,-1.1,STOP_LOSS,0,0,19.1,19.1,LOSERS
1423,,2014-01-02 07:00,2.89,0.49,SCRATCH,0,0,22.48,22.48,LOSERS
1433,,2014-01-05 23:00,4.77,0.11,SCRATCH,0,0,36.8,36.8,LOSERS
1461,,2014-01-10 15:00,3.54,0.8,SCRATCH,0,0,40.93,40.93,LOSERS
1490,,2014-01-17 11:00,2.82,-1.1,STOP_LOSS,0,0,38.6,38.6,LOSERS
1498,,2014-01-20 23:00,3.26,-1.1,STOP_LOSS,0,0,40.78,40.78,LOSERS
1515,,2014-01-23 19:00,5.89,-0.29,SCRATCH,0,0,39.07,39.07,LOSERS
1530,,2014-01-28 07:00,3.32,1.17,SCRATCH,0,0,28.72,28.72,LOSERS
1541,,2014-01-30 03:00,1.87,-1.1,STOP_LOSS,0,0,31.45,31.45,LOSERS
1548,,2014-01-31 07:00,1.08,3.9,WIN_RUNNER,0,0,19.16,19.16,LOSERS
1574,,2014-02-06 15:00,0.87,3.9,WIN_BE,0,0,28.08,28.08,LOSERS
1614,,2014-02-17 07:00,6.56,0.54,SCRATCH,0,0,46.29,46.29,LOSERS
1639,,2014-02-24 03:00,3.48,0.17,SCRATCH,0,0,43.18,43.18,LOSERS
1733,,2014-03-17 18:00,0.35,-1.1,STOP_LOSS,0,0,31.64,31.64,LOSERS
1754,,2014-03-21 06:00,2.27,-1.1,STOP_LOSS,0,0,13.65,13.65,LOSERS
1804,,2014-04-02 14:00,2.16,0.9,WIN_BE,0,0,12.31,12.31,LOSERS
1814,,2014-04-04 06:00,2.2,0.9,WIN_BE,0,0,17.41,17.41,LOSERS
1893,,2014-04-24 10:00,1.81,-1.1,STOP_LOSS,0,0,19.29,19.29,LOSERS
1931,,2014-05-02 18:00,2.95,-0.38,SCRATCH,0,0,23.13,23.13,LOSERS
2012,,2014-05-22 06:00,1.98,-1.1,STOP_LOSS,0,0,23.1,23.1,LOSERS
2073,,2014-06-05 14:00,3.26,3.13,WIN_HELD,0,0,15.89,15.89,LOSERS
2120,,2014-06-17 10:00,2.05,3.9,WIN_RUNNER,0,0,28.56,28.56,LOSERS
2141,,2014-06-22 22:00,0.77,0.9,WIN_BE,0,0,43.21,43.21,LOSERS
2166,,2014-06-27 02:00,2.44,1.2,SCRATCH,0,0,39.55,39.55,LOSERS
2253,,2014-07-17 18:00,3.57,-1.1,STOP_LOSS,0,0,22.98,22.98,LOSERS
2262,,2014-07-21 06:00,1.51,-1.1,STOP_LOSS,0,0,23.86,23.86,LOSERS
2336,,2014-08-06 14:00,4.61,-0.59,SCRATCH,0,0,27.59,27.59,LOSERS
2419,,2014-08-26 10:00,2.74,-1.1,STOP_LOSS,0,0,15.82,15.82,LOSERS
2436,,2014-08-29 06:00,1.29,-1.1,STOP_LOSS,0,0,22.88,22.88,LOSERS
2459,,2014-09-04 06:00,4.66,-1.1,STOP_LOSS,0,0,12.58,12.58,LOSERS
2538,,2014-09-23 10:00,2.21,-1.1,STOP_LOSS,0,0,13.46,13.46,LOSERS
2551,,2014-09-25 14:00,2.47,-1.1,STOP_LOSS,0,0,15.36,15.36,LOSERS
2578,,2014-10-02 02:00,2.66,-1.1,STOP_LOSS,0,0,19.71,19.71,LOSERS
2599,,2014-10-07 14:00,4.34,1.21,SCRATCH,0,0,22.94,22.94,LOSERS
2631,,2014-10-14 22:00,1.51,0.9,WIN_BE,0,0,35.93,35.93,LOSERS
2744,,2014-11-10 19:00,2.34,2.0,WIN_HELD,0,0,18.85,18.85,LOSERS
2764,,2014-11-14 03:00,0.3,-1.1,STOP_LOSS,0,0,20.27,20.27,LOSERS
2787,,2014-11-19 23:00,0.3,-1.1,STOP_LOSS,0,0,29.27,29.27,LOSERS
2825,,2014-11-28 11:00,1.46,-1.1,STOP_LOSS,0,0,27.15,27.15,LOSERS
2868,,2014-12-09 19:00,5.87,-1.1,STOP_LOSS,0,0,38.8,38.8,LOSERS
2875,,2014-12-10 23:00,4.34,-1.1,STOP_LOSS,0,0,41.07,41.07,LOSERS
2907,,2014-12-18 07:00,2.18,-1.1,STOP_LOSS,0,0,29.01,29.01,LOSERS
2935,,2014-12-26 03:00,2.65,-1.1,STOP_LOSS,0,0,14.78,14.78,LOSERS
2946,,2014-12-29 23:00,2.39,-1.1,STOP_LOSS,0,0,18.38,18.38,LOSERS
3005,,2015-01-13 19:00,1.73,3.04,WIN_HELD,0,0,39.22,39.22,LOSERS
3055,,2015-01-26 07:00,1.35,-1.1,STOP_LOSS,0,0,37.11,37.11,LOSERS
3096,,2015-02-04 07:00,1.77,-1.1,STOP_LOSS,0,0,25.23,25.23,LOSERS
3107,,2015-02-06 03:00,1.97,-1.1,STOP_LOSS,0,0,18.79,18.79,LOSERS
3143,,2015-02-16 03:00,3.01,-1.1,STOP_LOSS,0,0,16.35,16.35,LOSERS
3190,,2015-02-26 03:00,3.71,-1.1,STOP_LOSS,0,0,20.32,20.32,LOSERS
3198,,2015-02-27 11:00,2.32,-1.1,STOP_LOSS,0,0,21.94,21.94,LOSERS
3210,,2015-03-03 11:00,3.13,-1.1,STOP_LOSS,0,0,22.32,22.32,LOSERS
3278,,2015-03-18 18:00,3.57,1.62,WIN_HELD,0,0,18.41,18.41,LOSERS
3329,,2015-03-31 06:00,2.25,1.37,WIN_HELD,0,0,23.93,23.93,LOSERS
3339,,2015-04-01 22:00,4.18,-0.3,SCRATCH,0,0,33.85,33.85,LOSERS
3351,,2015-04-06 22:00,3.31,-1.1,STOP_LOSS,0,0,39.35,39.35,LOSERS
3427,,2015-04-23 14:00,1.9,-1.1,STOP_LOSS,0,0,16.61,16.61,LOSERS
3439,,2015-04-27 14:00,4.64,-1.1,STOP_LOSS,0,0,24.11,24.11,LOSERS
3476,,2015-05-05 18:00,1.47,-1.1,STOP_LOSS,0,0,26.17,26.17,LOSERS
3506,,2015-05-12 18:00,3.27,0.9,WIN_BE,0,0,25.36,25.36,LOSERS
3527,,2015-05-18 06:00,3.46,-1.1,STOP_LOSS,0,0,43.51,43.51,LOSERS
3546,,2015-05-21 10:00,5.0,-1.1,STOP_LOSS,0,0,26.01,26.01,LOSERS
3622,,2015-06-09 06:00,2.23,1.07,WIN_HELD,0,0,18.58,18.58,LOSERS
3676,,2015-06-22 06:00,4.68,-1.1,STOP_LOSS,0,0,36.44,36.44,LOSERS
3704,,2015-06-28 22:00,4.84,-1.1,STOP_LOSS,0,0,17.88,17.88,LOSERS
3851,,2015-07-31 14:00,3.67,0.5,SCRATCH,0,0,16.82,16.82,LOSERS
3881,,2015-08-07 14:00,2.33,3.9,WIN_RUNNER,0,0,21.77,21.77,LOSERS
3916,,2015-08-17 10:00,1.88,-1.1,STOP_LOSS,0,0,37.66,37.66,LOSERS
3936,,2015-08-20 18:00,7.11,-0.73,SCRATCH,0,0,44.64,44.64,LOSERS
3993,,2015-09-03 06:00,1.2,-1.1,STOP_LOSS,0,0,21.19,21.19,LOSERS
4049,,2015-09-16 18:00,4.24,0.9,WIN_BE,0,0,21.67,21.67,LOSERS
4140,,2015-10-07 22:00,2.82,1.68,WIN_HELD,0,0,35.92,35.92,LOSERS
4207,,2015-10-23 02:00,1.77,-1.1,STOP_LOSS,0,0,32.58,32.58,LOSERS
4225,,2015-10-28 02:00,3.03,-1.1,STOP_LOSS,0,0,28.61,28.61,LOSERS
4304,,2015-11-16 07:00,2.38,-1.1,STOP_LOSS,0,0,14.51,14.51,LOSERS
4388,,2015-12-04 15:00,4.63,-0.56,SCRATCH,0,0,29.24,29.24,LOSERS
4417,,2015-12-11 11:00,2.53,-1.1,STOP_LOSS,0,0,29.4,29.4,LOSERS
4435,,2015-12-16 11:00,4.65,-0.59,SCRATCH,0,0,30.64,30.64,LOSERS
4448,,2015-12-18 15:00,2.26,0.5,SCRATCH,0,0,21.31,21.31,LOSERS
4497,,2016-01-04 03:00,2.96,1.83,WIN_HELD,0,0,27.79,27.79,LOSERS
4536,,2016-01-12 15:00,1.92,-1.1,STOP_LOSS,0,0,25.87,25.87,LOSERS
4549,,2016-01-14 19:00,3.11,1.79,WIN_HELD,0,0,18.09,18.09,LOSERS
4571,,2016-01-20 15:00,4.18,1.65,SCRATCH,0,0,36.7,36.7,LOSERS
4585,,2016-01-24 23:00,1.66,3.9,WIN_RUNNER,0,0,34.99,34.99,LOSERS
4611,,2016-01-29 07:00,0.44,3.9,WIN_BE,0,0,34.01,34.01,LOSERS
4641,,2016-02-05 07:00,6.07,1.84,WIN_HELD,0,0,47.24,47.24,LOSERS
4723,,2016-02-25 03:00,3.38,0.17,SCRATCH,0,0,35.93,35.93,LOSERS
4774,,2016-03-08 15:00,1.3,-1.1,STOP_LOSS,0,0,37.44,37.44,LOSERS
4811,,2016-03-16 18:00,4.12,-1.1,STOP_LOSS,0,0,30.01,30.01,LOSERS
4858,,2016-03-29 14:00,4.71,0.52,SCRATCH,0,0,21.43,21.43,LOSERS
4884,,2016-04-04 22:00,1.63,0.9,WIN_BE,0,0,16.94,16.94,LOSERS
4909,,2016-04-11 02:00,2.97,-1.1,STOP_LOSS,0,0,33.93,33.93,LOSERS
4923,,2016-04-13 10:00,2.47,-1.1,STOP_LOSS,0,0,31.88,31.88,LOSERS
4931,,2016-04-14 18:00,1.46,2.63,WIN_HELD,0,0,18.97,18.97,LOSERS
4949,,2016-04-19 18:00,3.4,1.68,WIN_HELD,0,0,33.33,33.33,LOSERS
4975,,2016-04-26 02:00,1.63,3.9,WIN_RUNNER,0,0,21.02,21.02,LOSERS
5076,,2016-05-18 22:00,2.9,-1.1,STOP_LOSS,0,0,17.59,17.59,LOSERS
