candidate_id,ts,year,level,entry_close,source,variant,tipo,bos_mag_atr,label,gt_id,dist_pol_atr,sell_bub_10,large_sell_10,nas_near,nas_short_10,rsi,atr_pct,blk_false_tipo_B_dump_direto,blk_CHoCH_not_BOS,blk_first_retomada,blk_bear_flag,blk_BOS_fraco,blk_cluster_BUY_climax,blk_bear_macro,blk_volume_fraco,blk_no_absorption,blk_no_polarity_defense,blk_no_retest,blk_overextended_entry
C51,2013-02-12 19:00,2013,1648.58,1651.12,nivel_interno,classic_BOS,A,0.01,UNKNOWN,,0.39,11,5,SHORT,10,35.8,,0,0,0,0,1,0,0,1,0,0,0,0
C52,2013-02-12 23:00,2013,1651.09,1652.95,nivel_interno,classic_BOS,A,0.01,UNKNOWN,,0.3,10,5,SHORT,10,41.0,,0,0,0,0,1,0,0,1,0,0,0,0
C53,2013-02-13 03:00,2013,1648.58,1649.58,nivel_interno,classic_BOS,B_ctx,0.01,UNKNOWN,,0.16,10,5,SHORT,10,41.0,,0,0,0,0,1,0,0,0,0,0,0,0
C54,2013-02-13 07:00,2013,1646.76,1647.06,nivel_interno,classic_BOS,B,0.28,UNKNOWN,,0.05,10,4,SHORT,10,38.9,,0,0,0,0,1,0,0,0,0,0,0,0
C55,2013-02-13 11:00,2013,1646.76,1646.96,nivel_interno,classic_BOS,B,0.28,UNKNOWN,,0.03,10,3,SHORT,10,36.4,,0,0,0,0,1,0,0,0,0,0,0,0
C59,2013-02-14 03:00,2013,1646.76,1643.22,nivel_interno,classic_BOS,B_ctx,0.28,UNKNOWN,,-0.69,10,1,SHORT,10,37.2,,0,0,0,0,1,0,0,0,0,1,0,0
C60,2013-02-14 07:00,2013,1643.33,1643.65,nivel_interno,classic_BOS,A,0.26,UNKNOWN,,0.07,10,1,SHORT,10,35.7,,0,0,0,1,1,0,0,0,0,0,0,0
C61,2013-02-14 11:00,2013,1643.33,1646.2,nivel_interno,classic_BOS,A,0.26,UNKNOWN,,0.51,10,1,SHORT,10,36.5,,0,0,0,1,1,0,0,0,0,0,0,0
C71,2013-02-18 03:00,2013,1612.87,1614.08,nivel_interno,classic_BOS,B,0.5,UNKNOWN,,0.14,11,10,SHORT,10,31.2,,0,0,1,1,0,0,0,0,0,0,0,0
C72,2013-02-18 07:00,2013,1609.8,1610.35,nivel_interno,classic_BOS,B_ctx,0.87,UNKNOWN,,0.06,11,11,SHORT,10,29.5,,0,0,1,1,0,0,0,0,0,0,0,0
C73,2013-02-18 11:00,2013,1609.8,1611.27,nivel_interno,classic_BOS,A,0.87,UNKNOWN,,0.17,11,11,SHORT,10,27.6,,0,0,1,1,0,0,0,0,0,0,0,0
C74,2013-02-18 15:00,2013,1612.87,1609.4,nivel_interno,classic_BOS,B,0.5,UNKNOWN,,-0.4,11,11,SHORT,10,28.8,,0,0,1,1,0,0,0,1,0,1,0,0
C75,2013-02-18 19:00,2013,1612.87,1609.35,nivel_interno,classic_BOS,B,0.5,UNKNOWN,,-0.44,11,11,SHORT,10,28.0,,0,0,1,1,0,0,0,1,0,1,0,0
C76,2013-02-18 23:00,2013,1612.87,1614.87,nivel_interno,classic_BOS,A,0.5,UNKNOWN,,0.28,11,10,SHORT,10,28.7,,0,0,1,1,0,0,0,1,0,0,0,0
C77,2013-02-19 03:00,2013,1612.87,1613.73,nivel_interno,classic_BOS,B,0.5,UNKNOWN,,0.12,11,9,SHORT,10,35.8,,0,0,1,1,0,0,0,1,0,0,0,0
C78,2013-02-19 07:00,2013,1609.8,1612.21,nivel_interno,classic_BOS,B,0.87,UNKNOWN,,0.35,11,8,SHORT,10,35.0,,0,0,1,1,0,0,0,0,0,0,0,0
C79,2013-02-19 11:00,2013,1609.8,1607.15,nivel_interno,classic_BOS,B_ctx,0.87,UNKNOWN,,-0.36,11,8,SHORT,10,33.7,,0,0,1,1,0,0,0,0,0,1,0,0
