candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C103,2013-02-25 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C104,2013-02-25 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C105,2013-02-25 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C107,2013-02-26 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C109,2013-02-26 11:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C111,2013-02-26 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C114,2013-02-27 07:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C170,2013-03-12 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C176,2013-03-13 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C178,2013-03-13 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C179,2013-03-14 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C180,2013-03-14 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C181,2013-03-14 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C182,2013-03-14 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C183,2013-03-14 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C184,2013-03-14 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C185,2013-03-15 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C189,2013-03-15 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C191,2013-03-18 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C201,2013-03-19 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C202,2013-03-19 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C203,2013-03-20 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C204,2013-03-20 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C211,2013-03-21 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C212,2013-03-21 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C213,2013-03-21 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C215,2013-03-22 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C216,2013-03-22 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C224,2013-03-25 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C226,2013-03-25 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
