candidate_id,timestamp,source,label,gt_id,entry_price,polarity,atr4h,has_4h_demand_below,nearest_4h_demand_low,nearest_4h_demand_high,dist_4h_demand_top_atr,dist_4h_demand_mid_atr,dist_4h_demand_low_atr,demand_4h_width_atr,demand_4h_age_bars,demand_4h_touched_on_retest,demand_4h_origin_of_leg_cand,demand_4h_below_polarity,demand_4h_below_stop,has_4h_supply_overhead,nearest_4h_supply_low,nearest_4h_supply_high,dist_4h_supply_low_atr,dist_4h_supply_mid_atr,dist_4h_supply_high_atr,supply_4h_width_atr,supply_4h_age_bars,supply_4h_touched_before_entry,supply_4h_broken_before_entry,supply_4h_rejected_before_entry,supply_4h_blocks_target_2ATR,supply_4h_blocks_target_3ATR,supply_4h_blocks_target_4ATR,has_d1_demand_below,dist_d1_demand_atr,has_d1_supply_overhead,dist_d1_supply_atr,demand_dist_from_polarity_atr,supply_dist_from_polarity_atr,reclaim_close_dist_from_supply_atr,reclaim_close_dist_from_demand_atr,demand_category,supply_category,polarity_category,quality_score_exploratory,feature_availability
C103,2013-02-25 11:00,fractal_3_3,UNKNOWN,,1588.76,1587.13,7.99,1,1569.9,1576.84,1.49,1.93,2.36,0.87,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.29,1609,1.94,2.24,2.53,0.59,UNAVAILABLE(x1x2_ordinal),0,0,0,1,1,1,1,0.3,1,3.71,1.29,2.15,1.94,1.49,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C104,2013-02-25 15:00,fractal_3_3,UNKNOWN,,1589.45,1587.13,8.01,1,1569.9,1576.84,1.57,2.01,2.44,0.87,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.29,1609,1.85,2.15,2.44,0.59,UNAVAILABLE(x1x2_ordinal),0,0,0,1,1,1,1,0.33,1,3.67,1.28,2.14,1.85,1.57,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C105,2013-02-25 19:00,fractal_3_3,UNKNOWN,,1593.35,1587.13,7.82,1,1569.9,1576.84,2.11,2.56,3.0,0.89,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.29,1609,1.4,1.7,2.0,0.6,UNAVAILABLE(x1x2_ordinal),0,0,0,1,1,1,1,0.52,1,3.49,1.32,2.2,1.4,2.11,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C107,2013-02-26 03:00,fractal_3_3,UNKNOWN,,1592.51,1587.13,7.68,1,1569.9,1576.84,2.04,2.49,2.95,0.9,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.29,1609,1.53,1.84,2.15,0.61,UNAVAILABLE(x1x2_ordinal),0,0,0,1,1,1,1,0.44,1,3.26,1.34,2.24,1.53,2.04,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C109,2013-02-26 11:00,fractal_3_3,UNKNOWN,,1594.6,1587.13,8.44,1,1569.9,1576.84,2.1,2.52,2.93,0.82,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1604.29,1609,1.15,1.43,1.71,0.56,UNAVAILABLE(x1x2_ordinal),0,0,0,1,1,1,1,0.53,1,3.17,1.22,2.03,1.15,2.1,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C111,2013-02-26 19:00,fractal_3_3,UNKNOWN,,1613.76,1609.0,9.98,1,1569.9,1576.84,3.7,4.05,4.39,0.7,UNAVAILABLE(x1x2_ordinal),1,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1643.3,1649.99,2.96,3.29,3.63,0.67,UNAVAILABLE(x1x2_ordinal),0,0,0,0,1,1,1,1.37,1,2.33,3.22,3.44,2.96,3.7,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C114,2013-02-27 07:00,swing_high_simples,UNKNOWN,,1608.14,1602.06,9.25,1,1584.43,1591.4,1.81,2.19,2.56,0.75,UNAVAILABLE(x1x2_ordinal),1,1,1,UNAVAILABLE(no_SL_in_v2.2),1,1613.01,1619.98,0.53,0.9,1.28,0.75,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,1.12,1,2.56,1.15,1.18,0.53,1.81,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,0,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C170,2013-03-12 14:00,fractal_3_3,UNKNOWN,,1592.62,1587.13,6.04,1,1561.43,1568.63,3.97,4.57,5.17,1.19,UNAVAILABLE(x1x2_ordinal),0,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1595.87,1603,0.54,1.13,1.72,1.18,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,0.27,1,0.21,3.06,1.45,0.54,3.97,DEMAND_TOO_DEEP,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C176,2013-03-13 14:00,fractal_3_3,UNKNOWN,,1589.4,1587.13,5.25,1,1561.43,1568.63,3.95,4.64,5.33,1.37,UNAVAILABLE(x1x2_ordinal),0,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1591.18,1598.32,0.34,1.02,1.7,1.36,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,0.11,1,0.39,3.52,0.77,0.34,3.95,DEMAND_TOO_DEEP,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,-2,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
C178,2013-03-13 22:00,fractal_3_3,UNKNOWN,,1585.74,1585.49,5.25,1,1561.43,1568.63,3.26,3.95,4.63,1.37,UNAVAILABLE(x1x2_ordinal),0,0,1,UNAVAILABLE(no_SL_in_v2.2),1,1591.18,1598.32,1.04,1.72,2.4,1.36,UNAVAILABLE(x1x2_ordinal),1,0,1,1,1,1,1,5.49,1,0.58,3.21,1.08,1.04,3.26,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,0,4H_OB=yes;targets=ATR_proxy(no_SL);age=UNAVAILABLE
