candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C103,2013-02-25 11:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.3,2013-02-22T21:54:59+00:00,1,15.53,0,0,11.92,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C104,2013-02-25 15:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.33,2013-02-22T21:54:59+00:00,1,14.84,0,0,12.61,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C105,2013-02-25 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.52,2013-02-22T21:54:59+00:00,1,10.94,0,0,16.51,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C107,2013-02-26 03:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.44,2013-02-25T21:58:59+00:00,1,11.78,0,0,15.67,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C109,2013-02-26 11:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.53,2013-02-25T21:58:59+00:00,1,9.69,0,0,17.76,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C111,2013-02-26 19:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.37,2013-02-25T21:58:59+00:00,1,29.54,0,0,36.92,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C114,2013-02-27 07:00,swing_high_simples,UNKNOWN,no,no,,0,0,1.12,2013-02-26T21:58:59+00:00,1,4.87,0,0,16.74,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C170,2013-03-12 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.27,2013-03-11T20:58:59+00:00,1,3.25,0,0,23.99,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C176,2013-03-13 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.11,2013-03-12T20:58:59+00:00,1,1.78,0,0,20.77,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C178,2013-03-13 22:00,fractal_3_3,UNKNOWN,no,no,,1,1,5.49,2013-03-13T20:58:59+00:00,1,5.44,0,0,17.11,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C179,2013-03-14 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.01,2013-03-13T20:58:59+00:00,1,4.63,0,0,18.8,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C180,2013-03-14 06:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.04,2013-03-13T20:58:59+00:00,1,3.98,0,0,19.45,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C181,2013-03-14 10:00,fractal_3_3,UNKNOWN,no,no,,1,1,5.46,2013-03-13T20:58:59+00:00,1,6.95,0,0,16.48,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C182,2013-03-14 14:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.29,2013-03-13T20:58:59+00:00,0,20.33,0,0,24.05,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C183,2013-03-14 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.14,2013-03-13T20:58:59+00:00,1,2.16,0,0,21.27,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C184,2013-03-14 22:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.44,2013-03-14T20:58:59+00:00,1,0.25,0,0,23.18,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C185,2013-03-15 02:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.46,2013-03-14T20:58:59+00:00,0,20.86,0,0,8.41,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C189,2013-03-15 18:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.46,2013-03-14T20:58:59+00:00,0,20.91,0,0,8.36,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C191,2013-03-18 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.75,2013-03-15T20:54:59+00:00,1,16.46,0,0,12.81,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C201,2013-03-19 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.74,2013-03-18T20:58:59+00:00,1,0.33,0,0,28.94,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C202,2013-03-19 22:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.78,2013-03-19T20:58:59+00:00,1,1.5,0,0,27.77,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C203,2013-03-20 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.91,2013-03-19T20:58:59+00:00,0,29.7,0,0,8.4,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C204,2013-03-20 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.75,2013-03-19T20:58:59+00:00,0,32.12,0,0,5.98,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C211,2013-03-21 10:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.03,2013-03-20T20:58:59+00:00,0,29.2,0,0,6.31,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C212,2013-03-21 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.1,2013-03-20T20:58:59+00:00,0,28.16,0,0,7.35,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C213,2013-03-21 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.07,2013-03-20T20:58:59+00:00,0,28.75,0,0,6.76,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
