candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C51,2013-02-12 19:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C52,2013-02-12 23:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C53,2013-02-13 03:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B_ctx
C54,2013-02-13 07:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C55,2013-02-13 11:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C59,2013-02-14 03:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B_ctx
C60,2013-02-14 07:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/A
C61,2013-02-14 11:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/A
C71,2013-02-18 03:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C72,2013-02-18 07:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B_ctx
C73,2013-02-18 11:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/A
C74,2013-02-18 15:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C75,2013-02-18 19:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C76,2013-02-18 23:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/A
C77,2013-02-19 03:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C78,2013-02-19 07:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C79,2013-02-19 11:00,nivel_interno,proximity,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B_ctx
C90,2013-02-21 07:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,contextual_no_BOS/B_ctx
C92,2013-02-21 15:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C93,2013-02-21 19:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C94,2013-02-21 23:00,nivel_interno,proximity,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C95,2013-02-22 03:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C96,2013-02-22 07:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C97,2013-02-22 11:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C98,2013-02-22 15:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C99,2013-02-22 19:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C100,2013-02-24 23:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C101,2013-02-25 03:00,fractal_2_2,fractal,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C102,2013-02-25 07:00,fractal_2_2,fractal,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C106,2013-02-25 23:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C110,2013-02-26 15:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C117,2013-02-27 19:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C118,2013-02-27 23:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C119,2013-02-28 03:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C122,2013-02-28 15:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B_ctx
C123,2013-02-28 19:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C124,2013-02-28 23:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C125,2013-03-01 03:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C126,2013-03-01 07:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C127,2013-03-01 11:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C129,2013-03-01 19:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C130,2013-03-03 23:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C131,2013-03-04 03:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C132,2013-03-04 07:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C133,2013-03-04 11:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B_ctx
C134,2013-03-04 15:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C135,2013-03-04 19:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C136,2013-03-04 23:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C137,2013-03-05 03:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C138,2013-03-05 07:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C139,2013-03-05 11:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C140,2013-03-05 15:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C141,2013-03-05 19:00,nivel_interno,proximity,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B_ctx
