t,date,entry,sl,exit,R,win
1578985200,2020-01-14,1545.06,1535.42,1571.48,2.74,True
1579489200,2020-01-20,1561.52,1554.22,1554.22,-1.0,False
1580223600,2020-01-28,1569.64,1566.35,1566.35,-1.0,False
1580425200,2020-01-30,1572.31,1570.3,1570.3,-1.0,False
1580742000,2020-02-03,1576.49,1568.86,1568.86,-1.0,False
1580871600,2020-02-05,1559.59,1548.33,1548.33,-1.0,False
1581015600,2020-02-06,1566.66,1557.0,1670.49,10.74,True
1582210800,2020-02-20,1618.92,1608.12,1608.12,-1.0,False
1582671600,2020-02-25,1640.25,1623.49,1623.49,-1.0,False
1583733600,2020-03-09,1665.14,1639.83,1639.83,-1.0,False
1585000800,2020-03-23,1572.68,1538.67,1687.51,3.38,True
1585634400,2020-03-31,1606.56,1600.06,1600.06,-1.0,False
1585749600,2020-04-01,1582.37,1566.52,1683.8,6.4,True
1586239200,2020-04-07,1650.38,1630.56,1701.06,2.56,True
1587146400,2020-04-17,1681.43,1676.96,1676.96,-1.0,False
1587996000,2020-04-27,1711.67,1705.0,1705.0,-1.0,False
1588572000,2020-05-04,1707.14,1687.85,1687.85,-1.0,False
1588874400,2020-05-07,1715.73,1699.61,1699.61,-1.0,False
1589810400,2020-05-18,1731.95,1726.11,1726.11,-1.0,False
1590012000,2020-05-20,1743.95,1741.43,1741.43,-1.0,False
1590688800,2020-05-28,1717.98,1704.25,1704.25,-1.0,False
1591812000,2020-06-10,1738.41,1722.79,1722.79,-1.0,False
1592229600,2020-06-15,1722.29,1705.42,1802.39,4.75,True
1593496800,2020-06-30,1770.39,1764.78,1764.78,-1.0,False
1593698400,2020-07-02,1776.95,1762.97,1955.92,12.8,True
1594821600,2020-07-15,1811.22,1801.68,1801.68,-1.0,False
1594994400,2020-07-17,1810.96,1802.35,1942.13,15.24,True
1595469600,2020-07-23,1869.42,1853.08,1943.31,4.52,True
1595930400,2020-07-28,1934.93,1904.96,1904.96,-1.0,False
1596146400,2020-07-30,1965.13,1943.17,1943.17,-1.0,False
1596578400,2020-08-04,2016.48,1998.73,1998.73,-1.0,False
1596794400,2020-08-07,2046.15,2040.07,2040.07,-1.0,False
1597658400,2020-08-17,1972.76,1948.15,1948.15,-1.0,False
1598824800,2020-08-30,1971.96,1947.54,1947.54,-1.0,False
1599660000,2020-09-09,1945.95,1926.56,1926.56,-1.0,False
1601316000,2020-09-28,1881.56,1862.65,1902.18,1.09,True
1602194400,2020-10-08,1906.54,1890.87,1890.87,-1.0,False
1602525600,2020-10-12,1922.49,1917.33,1917.33,-1.0,False
1602669600,2020-10-14,1912.26,1895.91,1895.91,-1.0,False
1604300400,2020-11-02,1888.35,1873.22,1873.22,-1.0,False
1604559600,2020-11-05,1918.17,1899.02,1899.02,-1.0,False
1604876400,2020-11-08,1957.25,1940.51,1940.51,-1.0,False
1605265200,2020-11-13,1891.33,1877.42,1877.42,-1.0,False
1606906800,2020-12-02,1818.52,1803.79,1893.71,5.1,True
1608231600,2020-12-17,1885.39,1869.3,1869.3,-1.0,False
1608764400,2020-12-23,1876.96,1862.39,1862.39,-1.0,False
1609959600,2021-01-06,1918.77,1899.4,1899.4,-1.0,False
1611111600,2021-01-20,1852.75,1837.87,1837.87,-1.0,False
1611831600,2021-01-28,1854.61,1839.08,1839.08,-1.0,False
1613977200,2021-02-22,1796.23,1779.92,1779.92,-1.0,False
1614178800,2021-02-24,1797.64,1782.46,1782.46,-1.0,False
1615402800,2021-03-10,1726.65,1712.7,1712.7,-1.0,False
1616104800,2021-03-18,1731.25,1718.18,1718.18,-1.0,False
1616680800,2021-03-25,1727.61,1720.88,1720.88,-1.0,False
1617688800,2021-04-06,1732.04,1721.13,1782.93,4.66,True
1619546400,2021-04-27,1776.55,1772.94,1772.94,-1.0,False
1619992800,2021-05-02,1771.67,1763.31,1907.83,16.3,True
1620842400,2021-05-12,1815.44,1812.28,1812.28,-1.0,False
1620986400,2021-05-14,1838.72,1823.38,1875.32,2.39,True
1622426400,2021-05-31,1906.82,1894.76,1894.76,-1.0,False
1622642400,2021-06-02,1906.86,1895.75,1895.75,-1.0,False
1623045600,2021-06-07,1884.35,1868.34,1868.34,-1.0,False
1623304800,2021-06-10,1880.76,1875.79,1875.79,-1.0,False
