candidate_id,timestamp,old_selected,new_selected,status,old_regime,new_regime,r_label,label_source,outcome_known,classification,old_state,new_state,rsi_vs_ma,exhaustion_blocked,key_case,notes
1,2020-01-29T23:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,3.16,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
2,2020-03-30T02:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-2.84,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
3,2020-06-18T02:00,True,True,BOTH,BULL,BULL,2.44,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,-0.56,False,#1_preserved,old trade #1 cls=KEEP
4,2020-06-19T06:00,True,True,BOTH,BULL,BULL,2.12,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,2.7,False,,old trade #2 cls=KEEP
5,2020-07-09T18:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,blocked_exhaustion,-12.91,True,#3_rsi_block,old trade #3 cls=KEEP
6,2020-07-30T22:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-4.3,False,,old trade #4 cls=KEEP
7,2020-08-04T18:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,10.21,False,,old trade #5 cls=BLOCK_STOP
8,2020-09-15T22:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-3.35,False,,old trade #6 cls=BLOCK_TOP
9,2020-09-16T02:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-1.52,False,,old trade #7 cls=BLOCK_TOP
10,2020-12-06T23:00,False,True,NEW_ONLY,NO_DATA(>2026-05-25),BULL,,,no,NEW_UNKNOWN,NO_DATA(>2026-05-25),operational_candidate,-4.33,False,,regime_l1_v4 admitiu; regime_B_v3=NO_DATA(>2026-05-25)
11,2020-12-30T19:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,6.5,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
12,2021-06-02T18:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,2.3,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
13,2021-09-01T02:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-4.57,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
14,2021-09-01T18:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-2.68,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
15,2022-02-21T15:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-5.99,False,,old trade #8 cls=KEEP
16,2022-05-27T06:00,False,True,NEW_ONLY,BEAR,BULL,,,no,NEW_UNKNOWN,BEAR,operational_candidate,1.98,False,,regime_l1_v4 admitiu; regime_B_v3=BEAR
17,2022-05-29T22:00,False,True,NEW_ONLY,NO_DATA(>2026-05-25),BULL,,,no,NEW_UNKNOWN,NO_DATA(>2026-05-25),operational_candidate,-0.14,False,,regime_l1_v4 admitiu; regime_B_v3=NO_DATA(>2026-05-25)
18,2022-05-30T02:00,False,True,NEW_ONLY,BEAR,BULL,,,no,NEW_UNKNOWN,BEAR,operational_candidate,3.31,False,,regime_l1_v4 admitiu; regime_B_v3=BEAR
19,2022-12-20T19:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,12.86,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
20,2023-01-03T03:00,True,True,BOTH,BULL,BULL,2.19,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,14.6,False,,old trade #9 cls=KEEP
21,2023-01-24T19:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-0.8,False,,old trade #10 cls=BLOCK_TOP
22,2023-01-25T19:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,4.42,False,#11_preserved,old trade #11 cls=BLOCK_TOP
23,2023-04-04T18:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,17.07,False,,old trade #12 cls=BLOCK_TOP
24,2023-05-04T22:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,3.55,False,,old trade #13 cls=BLOCK_TOP
25,2023-10-19T22:00,True,True,BOTH,BULL,BULL,0.08,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,4.55,False,,old trade #14 cls=BLOCK_TOP
26,2023-10-23T22:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,blocked_exhaustion,-9.35,True,#15_rsi_block,old trade #15 cls=BLOCK_TOP
27,2023-12-21T19:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-1.48,False,,old trade #16 cls=KEEP
28,2024-01-30T19:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-1.49,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
29,2024-01-31T23:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,0.47,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
30,2024-04-02T18:00,True,True,BOTH,BULL,BULL,2.89,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,0.53,False,,old trade #17 cls=KEEP
31,2024-04-10T22:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,blocked_exhaustion,-11.32,True,#18_rsi_block,old trade #18 cls=KEEP
32,2024-04-11T18:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,6.63,False,,old trade #19 cls=BLOCK_TOP
33,2024-04-11T22:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,5.97,False,,old trade #20 cls=BLOCK_TOP
34,2024-05-14T18:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,2.74,False,,old trade #21 cls=KEEP
35,2024-08-12T06:00,True,True,BOTH,BULL,BULL,2.93,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,4.23,False,,old trade #22 cls=KEEP
36,2024-08-12T10:00,True,True,BOTH,BULL,BULL,1.84,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,6.03,False,,old trade #23 cls=KEEP
37,2024-10-04T02:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,2.21,False,,old trade #24 cls=BLOCK_TOP
38,2024-10-22T18:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,0.66,False,,old trade #25 cls=BLOCK_TOP
39,2024-10-28T02:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-2.28,False,,old trade #26 cls=BLOCK_TOP
40,2024-11-29T03:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,6.64,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
41,2025-01-02T19:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,18.36,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
42,2025-02-12T23:00,True,True,BOTH,BULL,BULL,-0.15,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-1.28,False,,old trade #27 cls=BLOCK_TOP
43,2025-02-24T19:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,4.35,False,,old trade #28 cls=BLOCK_TOP
44,2025-03-13T18:00,True,True,BOTH,BULL,BULL,1.08,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,15.44,False,,old trade #29 cls=KEEP
45,2025-03-17T18:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-4.08,False,,old trade #30 cls=KEEP
46,2025-03-20T18:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,-6.46,False,,old trade #31 cls=REVIEW
47,2025-04-01T22:00,True,True,BOTH,BULL,BULL,-1.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,blocked_exhaustion,-12.39,True,#32_rsi_block,old trade #32 cls=BLOCK_TOP
48,2025-04-15T14:00,True,True,BOTH,BULL,BULL,0.9,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,-6.95,False,,old trade #33 cls=KEEP
49,2025-04-16T02:00,True,True,BOTH,BULL,BULL,-0.1,rebuild_v3/trades.jsonl,yes,NEUTRAL,selected_regimeB_v3,operational_candidate,5.2,False,,old trade #34 cls=KEEP
