id,role,family,parent_fam,start,end,start_d,end_d,dur_days,hi,lo
k9cYyF,MACRO,BULL,,1585144800,1597183200,2020-03-25,2020-08-11,139.3,2070.51,1445.39
x9bb4e,MACRO,BEAR,,1597154400,1618279200,2020-08-11,2021-04-13,244.5,2067.82,1444.05
DlnPJb,PULLBACK,BULL,BEAR,1606777200,1609988400,2020-11-30,2021-01-07,37.2,1960.1,1819.89
QbBY8a,MACRO,BULL,,1618221600,1624024800,2021-04-12,2021-06-18,67.2,1913.36,1707.73
pXF6sU,MACRO,RANGE,,1624269600,1644346800,2021-06-21,2022-02-08,232.4,1874.66,1706.98
FMYMok,MACRO,BEAR,,1646780400,1667512800,2022-03-08,2022-11-03,240.0,2063.32,1620.41
f49FEm,PULLBACK,BULL,BEAR,1658714400,1660312800,2022-07-25,2022-08-12,18.5,1806.48,1714.76
NP71QK,MACRO,BULL,,1667556000,1675364400,2022-11-04,2023-02-02,90.4,1960.23,1667.58
xRYAeE,MACRO,BEAR,,1675350000,1678201200,2023-02-02,2023-03-07,33.0,1960.23,1807.36
MkUdMC,MACRO,BULL,,1677596400,1683525600,2023-02-28,2023-05-08,68.6,2078.17,1807.36
rd5XkL,MACRO,BEAR,,1683309600,1696975200,2023-05-05,2023-10-10,158.2,2040.6,1807.36
Ld9omJ,MACRO,BULL,,1696960800,1701716400,2023-10-10,2023-12-04,55.0,2141.94,1884.23
QXb1s9,MACRO,BEAR,,1701716400,1702897200,2023-12-04,2023-12-18,13.7,2141.94,1885.98
Cr8lB6,MACRO,RANGE,,1702897200,1708498800,2023-12-18,2024-02-21,64.8,2087.47,1984.4
fEjQFW,MACRO,BULL,,1708484400,1713146400,2024-02-21,2024-04-15,54.0,2429.35,2065.06
R7sW6a,MACRO,BEAR,,1712944800,1714629600,2024-04-12,2024-05-02,19.5,2433.72,2272.55
ctpXPs,MACRO,RANGE,,1714629600,1723442400,2024-05-02,2024-08-12,102.0,2446.55,2272.55
uxjSl6,MACRO,BULL,,1723413600,1745416800,2024-08-11,2025-04-23,254.7,3501.28,2444.33
UhaHKi,PULLBACK,BEAR,BULL,1730412000,1731639600,2024-10-31,2024-11-15,14.2,2759.94,2536.95
FmARNx,PULLBACK,BEAR,BULL,1740466800,1740754800,2025-02-25,2025-02-28,3.3,2925.52,2824.04
nUVqkV,PULLBACK,BEAR,BULL,1743703200,1744164000,2025-04-03,2025-04-09,5.3,3124.48,2964.24
MDd3Qx,MACRO,BEAR,,1745416800,1747418400,2025-04-23,2025-05-16,23.2,3450.1,3121.78
VGDk89,MACRO,RANGE,,1747418400,1756490400,2025-05-16,2025-08-29,105.0,3453.01,3180.11
NV0uga,MACRO,BULL,,1756476000,1769742000,2025-08-29,2026-01-30,153.5,5587.13,3453.68
YqCzoc,PULLBACK,BEAR,BULL,1760983200,1762354800,2025-10-20,2025-11-05,15.9,4376.99,3901.62
ju8H9y,PULLBACK,BEAR,BULL,1766761200,1767380400,2025-12-26,2026-01-02,7.2,4537.23,4275.51
gilSKe,MACRO,BEAR,,1769727600,1782770400,2026-01-29,2026-06-29,151.0,5446.73,3955.25
NHUqdI,PULLBACK,BULL,BEAR,1774274400,1776708000,2026-03-23,2026-04-20,28.2,4889.94,4099.31
wI1rsJ,PULLBACK,BULL,BEAR,1777917600,1778637600,2026-05-04,2026-05-13,8.3,4779.02,4500.53
nj89el,PULLBACK,BULL,BEAR,1781157600,1781632800,2026-06-11,2026-06-16,5.5,4373.08,4023.79
