num,entry_t,entry,sl,exit,R,win,regime,mfe,risk_pts,bar_idx,date
1,1678273200,1820.38,1803.98,2022.59,11.98,1,RANGE,12.9,16.4,4918,2023-03-08
2,1678388400,1830.74,1811.09,2007.0,8.62,1,RANGE,10.24,19.6,4926,2023-03-09
3,1680199200,1980.15,1954.35,1954.35,-1.35,0,BULL,2.66,25.8,5016,2023-03-30
4,1682056800,1986.1,1968.12,1968.12,-1.35,0,BULL,5.13,18.0,5103,2023-04-21
5,1696615200,1831.58,1812.3,1992.38,7.99,1,BEAR,9.23,19.3,5826,2023-10-06
6,1697666400,1948.22,1911.3,1960.77,-0.01,0,BULL,1.66,36.9,5875,2023-10-18
7,1708009200,2004.51,1983.38,2160.24,7.02,1,RANGE,9.02,21.1,6376,2024-02-15
8,1716487200,2328.45,2304.96,2304.96,-1.35,0,RANGE,2.52,23.5,6791,2024-05-23
9,1723716000,2444.52,2422.3,2545.4,4.19,1,BULL,4.82,22.2,7149,2024-08-15
10,1731898800,2585.94,2552.52,2653.78,1.68,1,RANGE,4.19,33.4,7549,2024-11-18
11,1743775200,3025.74,2995.69,2995.69,-1.35,0,RANGE,15.78,30.1,8133,2025-04-04
12,1745575200,3280.88,3255.63,3255.63,-1.35,0,RANGE,6.09,25.2,8216,2025-04-25
13,1746036000,3288.61,3191.06,3191.06,-1.35,0,RANGE,1.5,97.5,8236,2025-04-30
14,1759312800,3872.95,3790.3,4012.63,1.34,1,BULL,6.15,82.7,8893,2025-10-01
15,1759485600,3882.64,3816.71,4016.48,1.68,1,BULL,7.57,65.9,8905,2025-10-03
16,1761055200,4111.19,3938.11,3938.11,-1.35,0,RANGE,0.77,173.1,8978,2025-10-21
17,1761645600,3938.71,3814.11,4125.61,1.15,1,RANGE,2.46,124.6,9007,2025-10-28
