bar_idx,entry,regime,pos,zone,R
4918,1820.38,RANGE,0.14,pos<0.34,11.98
4926,1830.74,RANGE,0.232,pos<0.34,8.62
5016,1980.15,BULL,0.61,"top[1977.9,1999.7]",-1.35
5103,1986.1,BULL,0.402,"top[1977.9,1999.7]",-1.35
5826,1831.58,BEAR,0.12,"deep(1804.7, 1861.53)",7.99
5875,1948.22,BULL,0.411,"top[1923.1,1962.6]",-0.01
6376,2004.51,RANGE,0.273,pos<0.34,7.02
6791,2328.45,RANGE,0.042,pos<0.34,-1.35
7149,2444.52,BULL,0.261,"top[2436.8,2473.1]",4.19
7549,2585.94,RANGE,0.219,pos<0.34,1.68
8133,3025.74,RANGE,0.083,pos<0.34,-1.35
8216,3280.88,RANGE,0.165,pos<0.34,-1.35
8236,3288.61,RANGE,0.226,pos<0.34,-1.35
8893,3872.95,BULL,0.468,"top[3861.2,3895.3]",1.34
8905,3882.64,BULL,0.817,"top[3861.2,3895.3]",1.68
8978,4111.19,RANGE,0.099,pos<0.34,-1.35
9007,3938.71,RANGE,0.105,pos<0.34,1.15
