num,date,regime,entry,sl,risk,letrun_exit,R_letrun,profitLevel,point2,alvo_cris,R_cris,delta_R
1,2023-03-08,RANGE,1820.38,1803.98,16.4,2022.59,11.98,20221,1820.38,2022.59,11.98,0.0
2,2023-03-09,RANGE,1830.74,1811.09,19.7,2007.0,8.62,17626,1830.74,2007.0,8.62,0.0
3,2023-03-30,BULL,1980.15,1954.35,25.8,1954.35,-1.35,2580,1980.15,2005.95,0.65,2.0
4,2023-04-21,BULL,1986.1,1968.12,18.0,1968.12,-1.35,1798,1986.1,2004.08,0.65,2.0
5,2023-10-06,BEAR,1831.58,1812.3,19.3,1992.38,7.99,16080,1831.58,1992.38,7.99,0.0
6,2023-10-18,BULL,1948.22,1911.3,36.9,1960.77,-0.01,13377,1948.22,2081.99,3.27,3.28
7,2024-02-15,RANGE,2004.51,1983.38,21.1,2160.24,7.02,33791,2004.51,2342.42,15.64,8.62
8,2024-05-23,RANGE,2328.45,2304.96,23.5,2304.96,-1.35,2349,2328.45,2351.94,0.65,2.0
9,2024-08-15,BULL,2444.52,2422.3,22.2,2545.4,4.19,22187,2444.52,2666.39,9.64,5.45
10,2024-11-18,RANGE,2585.94,2552.52,33.4,2653.78,1.68,34068,2585.94,2926.62,9.84,8.16
11,2025-04-04,RANGE,3025.74,2995.69,30.0,2995.69,-1.35,3005,3025.74,3055.79,0.65,2.0
12,2025-04-25,RANGE,3280.88,3255.63,25.2,3255.63,-1.35,2525,3280.88,3306.13,0.65,2.0
13,2025-04-30,RANGE,3288.61,3191.06,97.6,3191.06,-1.35,9755,3288.61,3386.16,0.65,2.0
14,2025-10-01,BULL,3872.95,3790.3,82.6,4012.63,1.34,33288,3872.95,4205.83,3.68,2.34
15,2025-10-03,BULL,3882.64,3816.71,65.9,4016.48,1.68,32319,3882.64,4205.83,4.55,2.87
16,2025-10-21,RANGE,4111.19,3938.11,173.1,3938.11,-1.35,17308,4111.19,4284.27,0.65,2.0
17,2025-10-28,RANGE,3938.71,3814.11,124.6,4125.61,1.15,102438,3938.71,4963.09,7.87,6.72
