variant,universe,N,sumR,WR,maxDD,streak,retDD,avg_hold,max_hold,exposure_days,worst,#6
BASELINE regime-flip cap500,SELECT-17,17,105.3,59,-4.1,3,26.0,284,500,805,-1.35,1.15
BASELINE regime-flip cap500,FULL-245,245,399.2,31,-71.8,22,5.6,165,500,6729,-1.35,
hold-cap 360,SELECT-17,17,76.3,59,-4.1,3,18.9,225,360,638,-1.35,2.55
hold-cap 360,FULL-245,245,282.8,31,-65.9,22,4.3,129,360,5284,-1.35,
hold-cap 240,SELECT-17,17,65.8,59,-4.1,3,16.2,159,240,449,-1.35,2.01
hold-cap 240,FULL-245,245,225.1,31,-53.1,14,4.2,97,240,3947,-1.35,
stop-width cap <=100pt,SELECT-17,15,95.8,60,-4.1,3,23.7,294,500,735,-1.35,1.15
stop-width cap <=100pt,FULL-245,220,360.4,30,-69.7,20,5.2,167,500,6135,-1.35,
stop-width cap <=80pt,SELECT-17,13,77.4,62,-2.7,2,28.7,296,500,642,-1.35,1.15
stop-width cap <=80pt,FULL-245,205,319.8,29,-68.3,19,4.7,167,500,5720,-1.35,
stop-width cap <=60pt,SELECT-17,12,55.6,58,-2.7,2,20.6,280,500,560,-1.35,1.15
stop-width cap <=60pt,FULL-245,190,262.2,28,-65.6,17,4.0,161,500,5091,-1.35,
gap-buffer -0.5R (stops>80pt),SELECT-17,17,104.3,59,-4.6,3,22.9,284,500,805,-1.85,1.15
gap-buffer -0.5R (stops>80pt),FULL-245,245,392.7,31,-72.8,22,5.4,165,500,6729,-1.85,
gap-buffer -1.0R (stops>80pt),SELECT-17,17,103.3,59,-5.1,3,20.5,284,500,805,-2.35,1.15
gap-buffer -1.0R (stops>80pt),FULL-245,245,386.2,31,-73.8,22,5.2,165,500,6729,-2.35,
partial 50%@+2R + BE,SELECT-17,17,56.0,76,-2.1,1,27.3,262,500,742,-1.35,1.4
partial 50%@+2R + BE,FULL-245,245,170.5,45,-50.0,12,3.4,144,500,5872,-1.35,
DD-guard halt@-15R,SELECT-17,17,105.3,59,-4.1,3,26.0,284,500,805,-1.35,1.15
DD-guard halt@-15R,FULL-245,37,41.7,32,-15.6,12,2.7,219,500,1350,-1.35,
streak-pause after 3,SELECT-17,17,105.3,59,-4.1,3,26.0,284,500,805,-1.35,1.15
streak-pause after 3,FULL-245,245,399.2,31,-71.8,22,5.6,165,500,6729,-1.35,
max-concurrent 2,SELECT-17,13,98.5,69,-4.1,3,24.3,330,500,714,-1.35,1.15
max-concurrent 2,FULL-245,93,119.1,30,-18.4,12,6.5,157,500,2438,-1.35,
max-concurrent 1,SELECT-17,7,60.0,71,-2.7,2,22.2,336,500,392,-1.35,
max-concurrent 1,FULL-245,59,68.9,27,-9.7,12,7.1,130,500,1277,-1.35,
