block,nas_id,dir,nas_t,entry_t,entry_dt,entry_close,zone_id,zone_type,zone_low,zone_high,zone_width_atr,zone_age_bars,zone_pre_existing,zone_virgin,mitig_count,penetration_pct,bars_in_zone,acceptance_beyond_mid,arrival_atr,nas_dist_ema_atr,dist_edge_atr,nas_count_in_zone,nas_cluster_span_bars,nas_before_touch,op_flow,setup_vs_flow,last_smc,bars_since_smc,smc_bos_choch_50,rsi,hour_utc,dow,macro,macro_swing_dir,macro_ema_pos,leg_dir,setup_vs_macro,is_pullback,sweep_reclaim,sweep_depth_atr,failed_breakdown,brk_exc_atr,micro_choch,nas_density50,room_to_run_atr
2024-05-25_to_2024-08-25,1194,LONG,1716885000,1716885900,2024-05-28T08:45,2344.9,4484,DEMAND,2338.1,2340.64,0.933,82,False,True,0,0.134,3,False,2.245,-3.01,1.565,1,0,False,0,neutral,CHoCH,9,6,31.98,8,1,NEUTRAL,0,1,-1,neutral_macro,False,0,4.41,0,-0.81,1,4,0.42
2024-05-25_to_2024-08-25,1196,LONG,1716885900,1716886800,2024-05-28T09:00,2343.6,4484,DEMAND,2338.1,2340.64,0.88,83,False,False,1,0.0,1,False,1.056,-2.64,1.025,2,1,True,0,neutral,CHoCH,10,6,34.55,9,1,NEUTRAL,0,1,1,neutral_macro,False,0,4.16,0,-1.2,1,5,0.85
2024-05-25_to_2024-08-25,1198,SHORT,1716901200,1716902100,2024-05-28T13:15,2360.83,4505,SUPPLY,2355.66,2358.5,1.03,26,False,False,1,0.451,1,False,4.401,2.02,-1.874,1,0,False,1,reversal,CHoCH,2,5,65.43,13,1,NEUTRAL,0,1,-1,neutral_macro,False,1,1.26,0,-0.57,1,6,3.09
2024-05-25_to_2024-08-25,1202,LONG,1716975900,1716976800,2024-05-29T10:00,2344.22,4508,DEMAND,2340.3,2342.1,0.572,94,False,True,0,0.767,4,False,3.762,-3.33,0.674,2,0,False,-1,reversal,CHoCH,5,5,28.37,10,2,BULL,1,1,1,with_macro,False,0,0.0,0,-0.13,1,2,0.58
2024-05-25_to_2024-08-25,1204,LONG,1716975900,1716976800,2024-05-29T10:00,2344.22,4508,DEMAND,2340.3,2342.1,0.572,94,False,True,0,0.767,4,False,3.762,-3.33,0.674,2,0,False,-1,reversal,CHoCH,5,5,28.37,10,2,BULL,1,1,1,with_macro,False,0,0.0,0,-0.13,1,2,0.58
2024-05-25_to_2024-08-25,1205,LONG,1716976800,1716977700,2024-05-29T10:15,2344.76,4529,DEMAND,2340.72,2343.53,0.919,0,False,True,0,0.046,1,False,2.313,-2.73,0.402,1,0,False,-1,reversal,CHoCH,6,5,34.06,10,2,BULL,1,1,1,with_macro,False,0,0.0,0,-0.88,1,3,0.42
2024-05-25_to_2024-08-25,1208,LONG,1716978600,1716979500,2024-05-29T10:45,2346.46,4529,DEMAND,2340.72,2343.53,0.895,2,False,False,1,0.242,1,False,0.102,-2.93,0.934,2,2,True,-1,reversal,CHoCH,8,5,33.37,10,2,BULL,1,1,-1,with_macro,True,0,0.0,0,-0.68,1,4,2.26
2024-05-25_to_2024-08-25,1218,SHORT,1717163100,1717164000,2024-05-31T14:00,2338,4528,SUPPLY,2353.85,2356.25,0.585,207,False,True,0,1.5,5,False,2.625,0.75,3.862,1,0,False,1,reversal,CHoCH,4,7,53.7,14,4,NEUTRAL,0,1,-1,neutral_macro,False,0,2.91,0,0.83,1,2,0.49
2024-05-25_to_2024-08-25,1220,LONG,1717177500,1717178400,2024-05-31T18:00,2325.79,4549,DEMAND,2322.58,2325.42,0.613,136,False,True,0,0.525,3,False,1.268,-3.09,0.08,1,0,False,-1,reversal,BOS,1,6,29.94,18,4,NEUTRAL,0,-1,-1,neutral_macro,False,0,0.0,0,-0.29,1,3,1.74
2024-05-25_to_2024-08-25,1222,LONG,1717178400,1717179300,2024-05-31T18:15,2326.04,4549,DEMAND,2322.58,2325.42,0.662,137,False,True,0,0.525,4,False,1.37,-2.92,0.144,2,1,False,-1,reversal,BOS,2,6,30.84,18,4,NEUTRAL,0,-1,1,neutral_macro,False,0,0.0,0,-0.31,1,4,1.82
