block,t,dir,macro,rsi,sweep_depth,reclaim_str,nas_near,in_zone,R,mfe_R,runner,win
2024-08-25_to_2024-11-25,1724709600,LONG,BULL,48.88,0.18,0.08,0,0,-0.9999999999997747,0.4046242774565532,False,False
2024-08-25_to_2024-11-25,1724765400,LONG,BULL,39.89,0.33,1.04,0,0,1.8342478102634772,2.6706436211058544,False,True
2024-08-25_to_2024-11-25,1724982300,LONG,BULL,41.39,0.38,0.61,0,0,0.34537919602150374,3.8176543721507903,True,True
2024-08-25_to_2024-11-25,1725237900,SHORT,BEAR,54.73,0.19,2.04,0,0,1.0115210960608279,3.770823602677373,True,True
2024-08-25_to_2024-11-25,1725281100,SHORT,BEAR,58.5,0.35,0.35,0,0,0.925734581853659,3.0829835324510104,True,True
2024-08-25_to_2024-11-25,1725288300,SHORT,BEAR,53.03,0.09,0.09,0,0,2.064938900579817,5.7680806290840865,True,True
2024-08-25_to_2024-11-25,1725336900,SHORT,BEAR,45.85,0.1,0.06,0,1,-1.0,1.711878990988172,False,False
2024-08-25_to_2024-11-25,1725344100,SHORT,BEAR,46.71,0.12,0.52,0,0,-0.9999999999998886,1.1458551941239032,False,False
2024-08-25_to_2024-11-25,1725364800,SHORT,BEAR,32.2,0.1,0.82,0,0,0.3551838328946923,2.1797494345682713,False,True
2024-08-25_to_2024-11-25,1725385500,SHORT,BEAR,55.61,0.68,0.01,0,0,-1.0,0.28688034698857706,False,False
2024-08-25_to_2024-11-25,1725392700,SHORT,BEAR,55.66,0.29,0.04,0,0,-1.0000000000000486,0.2546816479401894,False,False
2024-08-25_to_2024-11-25,1725403500,SHORT,BEAR,58.01,0.27,0.03,0,1,-1.0,0.12352941176465632,False,False
2024-08-25_to_2024-11-25,1725445800,SHORT,BEAR,49.19,0.18,0.01,0,0,-0.9999999999999919,0.8946329204809413,False,False
2024-08-25_to_2024-11-25,1725482700,SHORT,BEAR,57.65,0.85,0.14,0,0,-1.0,0.18195884264276935,False,False
2024-08-25_to_2024-11-25,1726079400,LONG,BULL,46.31,0.29,0.19,0,0,-1.0000000000001164,0.1041618228318032,False,False
2024-08-25_to_2024-11-25,1726101000,LONG,BULL,43.29,0.21,0.3,0,1,-0.2807059961314016,2.640232108317869,False,False
2024-08-25_to_2024-11-25,1726109100,LONG,BULL,51.63,0.63,0.27,0,0,1.3489345747674928,4.015497094294937,True,True
2024-08-25_to_2024-11-25,1726183800,LONG,BULL,63.47,0.24,0.45,0,1,4.598049082603381,6.44344662073098,True,True
2024-08-25_to_2024-11-25,1726208100,LONG,BULL,49.52,1.65,0.23,0,0,-0.38034226323800047,1.5152764089239146,False,False
2024-08-25_to_2024-11-25,1726227900,LONG,BULL,42.86,0.6,0.58,0,0,3.2171672294292306,4.6077838990577,True,True
2024-08-25_to_2024-11-25,1726254900,LONG,BULL,50.38,0.73,0.3,0,0,-1.0,0.48431881287269735,False,False
2024-08-25_to_2024-11-25,1726483500,LONG,BULL,35.96,1.58,0.08,0,0,-0.4250726699239613,1.5117818046880327,False,False
2024-08-25_to_2024-11-25,1726496100,LONG,BULL,46.38,0.23,0.18,0,1,-0.2052671181340452,1.8066215199397386,False,False
