block,t,entry,sl,R,mfe,win,runner
block,t,entry,sl,R,mfe,win,runner
2024-05-25_to_2024-08-25,1717760700,2336.66,2328.66,-0.5,0.3362967078761039,False,False
2024-05-25_to_2024-08-25,1718983800,2327.18,2324.0,-0.5000000000000147,1.1385483870968744,False,False
2024-05-25_to_2024-08-25,1718985600,2324.65,2321.43,-0.5000000000000008,0.8760948616599195,False,False
2024-05-25_to_2024-08-25,1720782000,2401.82,2400.08,-0.5,1.433434250213891,False,False
2024-08-25_to_2024-11-25,1724728500,2507.59,2505.51,2.080693571283832,4.756371256675785,True,True
2024-08-25_to_2024-11-25,1729525500,2720.35,2713.12,1.6689261393900048,2.481031464146938,True,False
2024-08-25_to_2024-11-25,1729528200,2721.96,2716.31,-0.5,0.6373031802824737,False,False
2024-08-25_to_2024-11-25,1729650600,2739.71,2736.65,2.375685892662895,4.41399851079699,True,True
2024-08-25_to_2024-11-25,1729691100,2737.55,2729.1,-0.5,0.14323406925666557,False,False
2024-08-25_to_2024-11-25,1729698300,2721.74,2704.12,2.565106010374927,3.8550793097588305,True,True
2024-08-25_to_2024-11-25,1729709100,2714.05,2708.17,2.744691554390381,4.678885859615085,True,True
2024-08-25_to_2024-11-25,1730389500,2740.59,2730.43,1.459299168612466,2.130944589647484,True,False
2024-08-25_to_2024-11-25,1732091400,2621.8,2617.42,4.3165187792741895,8.803930410496093,True,True
2024-08-25_to_2024-11-25,1732094100,2621.86,2618.23,5.0130064880820076,10.603457449851062,True,True
2024-08-25_to_2024-11-25,1732096800,2623.25,2618.26,3.7498636045090814,7.427463275538256,True,True
2024-11-25_to_2025-02-25,1732509900,2672.43,2658.34,-0.5,0.11283898048460972,False,False
2024-11-25_to_2025-02-25,1732509900,2672.43,2667.2,-0.5,0.30390735491663295,False,False
2024-11-25_to_2025-02-25,1732511700,2672.78,2667.25,-0.5,0.0,False,False
2024-11-25_to_2025-02-25,1732516200,2667.4,2658.29,1.577592504489001,2.337282647063244,True,False
2024-11-25_to_2025-02-25,1732517100,2666.91,2658.29,1.6445077892483309,2.5269197395203924,True,False
2024-11-25_to_2025-02-25,1732520700,2667.89,2663.09,2.1366203737366156,4.3396408056421985,True,True
2024-11-25_to_2025-02-25,1732523400,2671.19,2663.11,1.4295261853793129,2.166355959343832,True,False
