num,cj_t,entry,sl,exit,R,win,yr
1,1724827500,2508.48,2502.78,2502.78,-1.0,0,2024
2,1724850900,2509.9,2493.13,2523.13,0.79,1,2024
3,1725443100,2481.58,2471.31,2492.44,1.06,1,2024
4,1725866100,2493.52,2485.2,2499.06,0.67,1,2024
5,1728404100,2613.48,2603.82,2620.71,0.75,1,2024
6,1738856700,2850.62,2833.44,2865.2,0.85,1,2025
7,1740582900,2911.14,2890.32,2890.32,-1.0,0,2025
8,1740636900,2895.26,2887.97,2887.97,-1.0,0,2025
9,1740649500,2887.37,2876.29,2876.29,-1.0,0,2025
10,1742537700,3031.37,3021.3,3021.3,-1.0,0,2025
11,1743526800,3108.63,3100.06,3112.54,0.46,1,2025
12,1745332200,3431.48,3407.13,3407.13,-1.0,0,2025
13,1745342100,3407.36,3370.36,3370.36,-1.0,0,2025
14,1745419500,3287.49,3258.67,3324.18,1.27,1,2025
15,1746103500,3226.78,3201.0,3249.21,0.87,1,2025
16,1748579400,3292.55,3290.82,3290.82,-1.0,0,2025
17,1759464900,3844.76,3837.44,3859.59,2.02,1,2025
18,1766593800,4475.4,4446.94,4496.27,0.73,1,2025
19,1772540100,5204.31,5069.84,5069.84,-1.0,0,2026
20,1772553600,5108.19,4991.78,5219.08,0.95,1,2026
21,1772730900,5075.11,5051.15,5051.15,-1.0,0,2026
