num,cj_t,entry,sl,exit,R,win,label,yr
1,1717031700,2338.24,2333.62,2333.62,-1.0,0,NONE,2024
2,1717038900,2332.5,2327.73,2327.73,-1.0,0,NONE,2024
3,1717050600,2329.64,2322.27,2331.51,0.25,1,MEDIO,2024
4,1717185600,2328.96,2320.25,2320.25,-1.0,0,NONE,2024
5,1717377300,2328.8,2323.71,2323.71,-1.0,0,NONE,2024
6,1717503300,2333.05,2325.02,2325.02,-1.0,0,NONE,2024
7,1717551900,2330.49,2325.75,2335.73,1.1,1,NONE,2024
8,1717793100,2293.04,2286.34,2294.47,0.21,1,MEDIO,2024
9,1718244900,2315.74,2307.86,2307.86,-1.0,0,NONE,2024
10,1718259300,2313.12,2308.71,2313.7,0.13,1,NONE,2024
11,1718281800,2318.74,2303.6,2303.6,-1.0,0,NONE,2024
12,1718325900,2304.91,2301.4,2304.08,-0.24,0,NONE,2024
13,1719182700,2321.52,2317.7,2317.7,-1.0,0,NONE,2024
14,1719189000,2321.08,2317.53,2324.65,1.01,1,NONE,2024
15,1719197100,2324.81,2319.39,2321.48,-0.61,0,NONE,2024
16,1719282600,2326.42,2322.98,2322.98,-1.0,0,NONE,2024
17,1719290700,2327.43,2322.47,2327.12,-0.06,0,NONE,2024
18,1719297900,2327.21,2323.22,2323.22,-1.0,0,NONE,2024
19,1719360000,2321.62,2318.48,2318.48,-1.0,0,NONE,2024
20,1719369000,2320.4,2310.24,2310.24,-1.0,0,NONE,2024
21,1719384300,2317.15,2309.46,2309.46,-1.0,0,NONE,2024
22,1719403200,2315.6,2304.1,2304.1,-1.0,0,NONE,2024
23,1719447300,2299.28,2296.68,2296.68,-1.0,0,NONE,2024
24,1719454500,2298.86,2296.66,2297.91,-0.43,0,NONE,2024
25,1719470700,2301.14,2296.31,2323.82,4.7,1,NONE,2024
26,1719607500,2326.39,2322.64,2322.64,-1.0,0,NONE,2024
27,1719795600,2325.95,2321.99,2321.99,-1.0,0,NONE,2024
28,1719803700,2327.58,2324.25,2324.25,-1.0,0,NONE,2024
29,1719814500,2327.25,2318.34,2325.87,-0.16,0,MEDIO,2024
30,1720487700,2363.29,2360.67,2360.67,-1.0,0,NONE,2024
31,1720493100,2363.99,2360.28,2363.16,-0.22,0,NONE,2024
32,1720659600,2374.47,2371.38,2382.24,2.51,1,NONE,2024
33,1721259000,2461.43,2457.85,2457.85,-1.0,0,NONE,2024
34,1721265300,2462.96,2457.21,2465.69,0.47,1,NONE,2024
35,1721354400,2426.49,2420.07,2420.07,-1.0,0,NONE,2024
36,1721617200,2407.75,2403.04,2403.04,-1.0,0,NONE,2024
37,1721862000,2398.13,2392.67,2392.67,-1.0,0,NONE,2024
38,1721911500,2371.11,2362.37,2362.37,-1.0,0,NONE,2024
39,1722627900,2437.55,2425.01,2425.01,-1.0,0,NONE,2024
40,1722819600,2432.35,2412.98,2432.5,0.01,1,NONE,2024
41,1722886200,2410.85,2403.29,2403.29,-1.0,0,NONE,2024
42,1722991500,2386.53,2380.68,2380.68,-1.0,0,NONE,2024
43,1722996000,2385.88,2378.67,2388.29,0.33,1,FORTE,2024
44,1723012200,2394.22,2388.32,2388.32,-1.0,0,NONE,2024
45,1723580100,2466.43,2462.06,2464.96,-0.34,0,NONE,2024
46,1723594500,2466.13,2462.8,2465.01,-0.34,0,NONE,2024
47,1723605300,2459.93,2454.98,2470.77,2.19,1,NONE,2024
48,1723689000,2452.48,2447.91,2457.31,1.06,1,NONE,2024
49,1723702500,2457.41,2450.18,2457.37,-0.0,0,NONE,2024
50,1724068800,2493.63,2485.98,2485.98,-1.0,0,NONE,2024
51,1724356800,2484.82,2478.24,2487.47,0.4,1,NONE,2024
52,1724736600,2511.72,2506.02,2512.28,0.1,1,NONE,2024
53,1724827500,2508.48,2502.78,2502.78,-1.0,0,NONE,2024
54,1724883300,2507.53,2502.56,2514.93,1.49,1,NONE,2024
55,1725257700,2500.84,2494.91,2497.91,-0.49,0,NONE,2024
56,1725328800,2495.11,2489.37,2492.56,-0.44,0,NONE,2024
57,1725345000,2497.16,2492.51,2492.51,-1.0,0,NONE,2024
58,1725366600,2495.08,2484.43,2484.43,-1.0,0,NONE,2024
59,1725846300,2497.78,2494.57,2494.57,-1.0,0,NONE,2024
60,1726103700,2514.55,2510.92,2510.92,-1.0,0,NONE,2024
61,1726111800,2514.49,2510.73,2516.1,0.43,1,MONSTRO,2024
62,1726712100,2561.31,2550.74,2583.93,2.14,1,FORTE,2024
63,1726722000,2567.16,2559.2,2583.88,2.1,1,NONE,2024
64,1727303400,2659.17,2656.07,2656.07,-1.0,0,NONE,2024
65,1727311500,2659.06,2655.18,2659.62,0.14,1,FORTE,2024
66,1727403300,2669.33,2665.98,2665.98,-1.0,0,NONE,2024
67,1727417700,2667.92,2662.09,2662.09,-1.0,0,NONE,2024
68,1727663400,2653.89,2647.2,2655.4,0.23,1,NONE,2024
69,1727727300,2632.81,2626.13,2634.65,0.28,1,NONE,2024
70,1727745300,2637.63,2633.75,2647.99,2.67,1,NONE,2024
71,1727756100,2638.36,2634.3,2647.93,2.35,1,NONE,2024
72,1727850600,2649.31,2644.2,2648.4,-0.18,0,NONE,2024
73,1728275400,2648.27,2643.68,2643.68,-1.0,0,NONE,2024
74,1728283500,2643.28,2639.58,2654.89,3.13,1,NONE,2024
75,1728358200,2644.98,2633.41,2633.41,-1.0,0,NONE,2024
76,1728451800,2620.85,2615.16,2615.16,-1.0,0,NONE,2024
77,1728522000,2609.55,2605.75,2612.31,0.73,1,NONE,2024
78,1728526500,2610.95,2606.56,2612.27,0.3,1,NONE,2024
79,1728935100,2652.38,2646.72,2646.72,-1.0,0,NONE,2024
80,1728945000,2650.04,2645.83,2645.83,-1.0,0,NONE,2024
81,1728972900,2644.93,2637.82,2652.29,1.03,1,FORTE,2024
82,1729539900,2719.89,2713.84,2731.18,1.87,1,MEDIO,2024
83,1729557900,2724.78,2720.41,2731.32,1.5,1,NONE,2024
84,1729730700,2721.29,2717.62,2735.57,3.89,1,NONE,2024
85,1730080800,2732.09,2724.27,2735.37,0.42,1,NONE,2024
86,1730425500,2749.68,2744.63,2751.27,0.31,1,NONE,2024
87,1730430900,2749.94,2745.55,2751.22,0.29,1,NONE,2024
88,1730677500,2738.32,2729.32,2738.43,0.01,1,NONE,2024
89,1730684700,2739.86,2735.06,2735.47,-0.91,0,NONE,2024
90,1730777400,2733.83,2724.44,2735.99,0.23,1,MEDIO,2024
91,1730935800,2663.27,2658.46,2658.46,-1.0,0,NONE,2024
92,1730944800,2654.98,2642.74,2690.26,2.88,1,FORTE,2024
93,1731282300,2685.54,2681.35,2681.35,-1.0,0,NONE,2024
94,1731351600,2619.22,2610.25,2610.25,-1.0,0,NONE,2024
95,1731376800,2622.48,2618.87,2618.87,-1.0,0,NONE,2024
96,1732104000,2628.56,2621.11,2651.43,3.07,1,NONE,2024
97,1732601700,2623.24,2617.64,2617.64,-1.0,0,NONE,2024
98,1732760100,2627.4,2620.48,2644.57,2.48,1,FRACO,2024
99,1733104800,2632.24,2622.35,2622.35,-1.0,0,NONE,2024
100,1733276700,2642.18,2637.61,2647.39,1.14,1,NONE,2024
101,1733449500,2617.61,2612.83,2637.51,4.17,1,FORTE,2024
102,1734050700,2685.36,2678.75,2685.26,-0.02,0,NONE,2024
103,1734093900,2672.49,2662.39,2662.39,-1.0,0,NONE,2024
104,1734312600,2652.89,2643.11,2657.43,0.46,1,FRACO,2024
105,1734414300,2653.73,2648.86,2648.86,-1.0,0,NONE,2024
106,1734590700,2612.85,2602.79,2617.39,0.45,1,NONE,2024
107,1734633000,2599.02,2590.2,2590.2,-1.0,0,NONE,2024
108,1734659100,2603.84,2589.44,2623.17,1.34,1,FORTE,2024
109,1734674400,2601.5,2596.17,2603.93,0.46,1,NONE,2024
110,1734989400,2613.05,2608.88,2617.05,0.96,1,NONE,2024
111,1735619400,2606.7,2603.29,2603.29,-1.0,0,NONE,2024
112,1735626600,2606.55,2602.3,2612.79,1.47,1,NONE,2024
113,1736118900,2641.83,2636.48,2639.45,-0.45,0,NONE,2025
114,1736125200,2644.45,2638.36,2638.36,-1.0,0,NONE,2025
115,1736131500,2644.43,2639.35,2639.35,-1.0,0,NONE,2025
116,1736314200,2649.6,2645.1,2652.22,0.58,1,FORTE,2025
117,1737331200,2696.07,2690.86,2690.86,-1.0,0,NONE,2025
118,1737605700,2753.21,2749.27,2749.27,-1.0,0,NONE,2025
119,1737935100,2767.55,2763.46,2766.01,-0.38,0,NONE,2025
120,1737938700,2769.71,2766.0,2766.0,-1.0,0,NONE,2025
121,1738541700,2793.53,2783.42,2783.42,-1.0,0,NONE,2025
122,1739144700,2867.5,2855.41,2898.01,2.52,1,FORTE,2025
123,1739308500,2898.87,2893.74,2893.74,-1.0,0,NONE,2025
124,1739326500,2896.14,2882.95,2882.95,-1.0,0,NONE,2025
125,1739340000,2891.18,2883.47,2883.47,-1.0,0,NONE,2025
126,1739364300,2885.24,2878.26,2878.26,-1.0,0,NONE,2025
127,1739567700,2883.37,2876.38,2881.71,-0.24,0,FORTE,2025
128,1739844900,2897.11,2891.57,2910.6,2.44,1,NONE,2025
129,1739991600,2926.97,2918.0,2951.73,2.76,1,NONE,2025
130,1740105900,2939.12,2925.71,2925.71,-1.0,0,NONE,2025
131,1740362400,2927.97,2920.73,2938.11,1.4,1,NONE,2025
132,1740636900,2895.26,2887.97,2887.97,-1.0,0,NONE,2025
133,1740769200,2847.21,2837.49,2863.92,1.72,1,NONE,2025
134,1741308300,2904.65,2896.58,2916.65,1.49,1,MEDIO,2025
135,1741561200,2914.49,2909.53,2909.53,-1.0,0,NONE,2025
