cj_t,date,yr,reg,entry,sl,R,capped
1716908400,2024-05-28 15:00,2024,RANGE,2355.88,2347.49,-1.0,0
1716919200,2024-05-28 18:00,2024,RANGE,2355.73,2352.82,-1.0,0
1716923700,2024-05-28 19:15,2024,RANGE,2357.77,2352.48,-1.0,0
1716939000,2024-05-28 23:30,2024,RANGE,2359.58,2357.82,-1.0,0
1716948900,2024-05-29 02:15,2024,RANGE,2359.77,2355.46,-1.0,0
1716953400,2024-05-29 03:30,2024,RANGE,2357.02,2354.18,-1.0,0
1717159500,2024-05-31 12:45,2024,RANGE,2354.78,2342.25,-1.0,0
1717460100,2024-06-04 00:15,2024,RANGE,2351.81,2349.56,-1.0,0
1717608600,2024-06-05 17:30,2024,RANGE,2352.81,2350.77,6.609,0
1717619400,2024-06-05 20:30,2024,RANGE,2354.04,2352.43,7.852,0
1717636500,2024-06-06 01:15,2024,RANGE,2367.26,2354.42,-1.0,0
1717649100,2024-06-06 04:45,2024,RANGE,2369.43,2366.48,-1.0,0
1717658100,2024-06-06 07:15,2024,RANGE,2365.77,2362.79,-1.0,0
1717665300,2024-06-06 09:15,2024,RANGE,2360.58,2359.53,-1.0,0
1717668900,2024-06-06 10:15,2024,RANGE,2361.24,2358.27,-1.0,0
1717681500,2024-06-06 13:45,2024,RANGE,2360.52,2353.01,1.312,0
1717686000,2024-06-06 15:00,2024,RANGE,2370.3,2357.76,0.169,0
1717693200,2024-06-06 17:00,2024,RANGE,2371.29,2369.8,-0.772,0
1717699500,2024-06-06 18:45,2024,RANGE,2372.09,2368.56,1.014,0
1717721100,2024-06-07 00:45,2024,RANGE,2378.37,2375.94,-1.0,0
1717728300,2024-06-07 02:45,2024,RANGE,2376.62,2369.17,-0.529,0
1717743600,2024-06-07 07:00,2024,RANGE,2379.13,2372.54,-1.0,0
1718845200,2024-06-20 01:00,2024,RANGE,2333.88,2327.62,0.978,0
1718855100,2024-06-20 03:45,2024,RANGE,2333.92,2332.14,3.348,0
1718876700,2024-06-20 09:45,2024,RANGE,2334.62,2331.32,0.86,0
1718890200,2024-06-20 13:30,2024,RANGE,2345.17,2334.96,1.239,0
1718900100,2024-06-20 16:15,2024,RANGE,2355.5,2350.68,0.418,0
1718912700,2024-06-20 19:45,2024,RANGE,2358.9,2357.43,-0.675,0
1718916300,2024-06-20 20:45,2024,RANGE,2360.01,2357.96,-1.0,0
1718923500,2024-06-20 22:45,2024,RANGE,2359.34,2357.95,-1.0,0
1718936100,2024-06-21 02:15,2024,RANGE,2360.57,2356.88,0.074,0
1718940600,2024-06-21 03:30,2024,RANGE,2361.17,2357.93,-0.106,0
1718956800,2024-06-21 08:00,2024,RANGE,2364.8,2354.94,-1.0,0
1718966700,2024-06-21 10:45,2024,RANGE,2363.65,2361.08,-1.0,0
1719855000,2024-07-01 17:30,2024,RANGE,2329.45,2326.18,0.509,0
1719860400,2024-07-01 19:00,2024,RANGE,2329.75,2326.75,0.528,0
1719880200,2024-07-02 00:30,2024,RANGE,2331.93,2331.5,-1.0,0
1719885600,2024-07-02 02:00,2024,RANGE,2333.18,2331.06,-1.0,0
1719907200,2024-07-02 08:00,2024,RANGE,2331.31,2322.94,-1.0,0
1719957600,2024-07-02 22:00,2024,RANGE,2330.64,2328.49,-1.0,0
1719965700,2024-07-03 00:15,2024,RANGE,2331.52,2329.56,-1.0,0
1719977400,2024-07-03 03:30,2024,RANGE,2330.56,2326.73,6.38,0
1719988200,2024-07-03 06:30,2024,RANGE,2336.99,2331.81,3.479,0
1720008000,2024-07-03 12:00,2024,RANGE,2346.2,2342.13,2.142,0
1720028700,2024-07-03 17:45,2024,RANGE,2356.64,2353.46,0.134,0
1720038600,2024-07-03 20:30,2024,RANGE,2355.88,2353.45,0.557,0
1720053900,2024-07-04 00:45,2024,RANGE,2358.54,2356.33,-0.543,0
1720063800,2024-07-04 03:30,2024,RANGE,2359.8,2357.26,-1.0,0
1720067400,2024-07-04 04:30,2024,RANGE,2358.39,2356.87,-1.0,0
1720077300,2024-07-04 07:15,2024,RANGE,2355.99,2350.18,0.178,0
1720084500,2024-07-04 09:15,2024,RANGE,2357.19,2355.28,-0.103,0
1720098900,2024-07-04 13:15,2024,RANGE,2357.46,2356.8,-0.59,0
1720108800,2024-07-04 16:00,2024,RANGE,2358.23,2355.12,-1.0,0
1720134900,2024-07-04 23:15,2024,RANGE,2356.85,2354.02,1.851,0
1720140300,2024-07-05 00:45,2024,RANGE,2358.85,2355.91,1.109,0
1720146600,2024-07-05 02:30,2024,RANGE,2361.61,2356.68,0.094,0
1720152900,2024-07-05 04:15,2024,RANGE,2362.8,2359.36,-0.228,0
1720166400,2024-07-05 08:00,2024,RANGE,2367.41,2362.06,-1.0,0
1720176300,2024-07-05 10:45,2024,RANGE,2365,2361.59,-0.859,0
1720181700,2024-07-05 12:15,2024,RANGE,2365.98,2362.1,-1.0,0
1720185300,2024-07-05 13:15,2024,RANGE,2374.4,2348.33,1.471,0
1720203300,2024-07-05 18:15,2024,RANGE,2389.99,2384.18,-1.0,0
1720211400,2024-07-05 20:30,2024,RANGE,2391.25,2387.83,-1.0,0
1720395900,2024-07-07 23:45,2024,RANGE,2386.06,2384.55,-1.0,0
1720399500,2024-07-08 00:45,2024,RANGE,2386.67,2384.32,-1.0,0
1720403100,2024-07-08 01:45,2024,RANGE,2386.48,2383.92,-1.0,0
1720409400,2024-07-08 03:30,2024,RANGE,2382.37,2381.18,-1.0,0
1720413000,2024-07-08 04:30,2024,RANGE,2384.44,2380.45,-1.0,0
