num,yr,win,R,mae_R,mfe_R,near_sl,bars_uw,hold,dem_atr,mae_in_dem
1,2024,0,-1.0,-1.12,0.66,1.12,30,90,0.48,1
2,2024,1,0.08,-0.47,1.03,0.47,9,105,0.0,1
3,2024,1,1.08,-0.16,0.61,0.16,1,21,0.18,1
4,2024,1,0.14,-1.14,1.01,1.14,0,64,0.37,1
5,2024,1,0.88,-0.42,1.83,0.42,37,211,2.29,0
6,2024,1,1.12,-0.58,1.48,0.58,4,155,0.1,1
7,2024,1,0.92,-0.14,1.47,0.14,0,44,0.08,1
8,2024,1,1.35,-0.13,1.73,0.13,2,397,0.18,1
9,2024,0,-1.0,-1.16,0.14,1.16,14,16,0.18,1
10,2024,0,-1.0,-1.14,1.53,1.14,32,75,0.22,1
11,2024,1,1.71,-0.96,2.2,0.96,171,401,0.03,1
12,2024,1,0.65,-0.43,1.7,0.43,27,118,0.16,1
13,2024,1,1.8,-0.19,2.73,0.19,1,42,2.8,0
14,2024,0,-0.48,-1.13,1.46,1.13,0,9,1.98,1
15,2024,0,-1.0,-0.11,0.64,0.11,7,58,0.09,1
16,2024,1,1.07,-0.38,0.13,0.38,60,66,0.18,1
17,2024,0,-1.0,-1.02,0.78,1.02,11,46,0.56,1
18,2024,0,-1.0,-1.11,0.07,1.11,27,27,0.15,1
19,2024,1,1.04,-0.9,1.2,0.9,81,134,0.04,1
20,2024,1,0.74,-0.49,1.03,0.49,42,79,0.38,1
21,2024,1,1.41,-0.6,1.99,0.6,3,40,1.77,1
22,2024,0,-1.0,-1.19,0.03,1.19,47,47,0.05,1
23,2024,0,-1.0,-1.23,0.09,1.23,19,19,2.34,1
24,2024,0,-1.0,-1.57,0.86,1.57,6,11,0.01,1
25,2024,1,2.38,-0.17,2.82,0.17,2,52,0.26,1
26,2024,1,1.06,-0.3,1.66,0.3,20,88,0.55,1
27,2024,1,0.62,-0.22,2.14,0.22,1,33,1.69,0
28,2024,0,-1.0,-1.03,0.23,1.03,41,62,0.16,1
29,2024,1,0.79,-0.92,1.26,0.92,14,73,0.15,1
30,2024,0,-1.0,-1.08,0.43,1.08,22,31,0.66,1
31,2024,1,0.37,-0.04,0.61,0.04,1,28,0.17,1
32,2024,1,3.67,-0.2,4.52,0.2,0,15,0.09,1
33,2024,1,0.84,-0.41,1.44,0.41,1,19,2.26,0
34,2024,1,0.68,-0.21,1.07,0.21,1,69,3.91,0
35,2024,0,-1.0,-1.13,0.19,1.13,4,5,1.19,1
36,2024,1,0.75,-0.43,1.04,0.43,14,113,0.18,1
37,2024,1,1.7,-0.43,2.11,0.43,47,220,2.6,0
38,2024,0,-1.0,-1.05,0.01,1.05,12,12,4.9,1
39,2024,0,-1.0,-0.27,0.84,0.27,5,19,2.73,0
40,2024,1,0.68,-0.17,1.48,0.17,5,35,0.5,1
41,2024,0,-1.0,-3.33,0.94,3.33,21,41,0.1,1
42,2024,1,1.1,-0.28,1.31,0.28,6,67,0.0,1
43,2024,1,0.92,-0.34,1.02,0.34,137,424,0.02,1
44,2024,1,0.63,-0.13,1.04,0.13,3,66,1.56,0
45,2024,1,0.4,-0.48,1.01,0.48,16,76,2.56,0
46,2024,1,0.58,-0.42,1.09,0.42,4,33,0.24,1
47,2024,1,1.93,-0.27,2.27,0.27,30,135,0.77,1
48,2024,0,-1.0,-1.0,0.52,1.0,20,31,1.69,1
49,2024,0,-1.0,-1.29,0.07,1.29,6,6,2.61,1
50,2024,0,-1.0,-1.08,0.41,1.08,61,69,0.49,1
51,2024,1,0.93,-0.02,1.09,0.02,3,320,0.04,1
52,2024,1,0.42,-0.17,0.48,0.17,7,18,0.39,1
53,2024,0,-0.07,-0.75,0.29,0.75,406,480,0.79,1
54,2024,0,-1.0,-1.02,0.17,1.02,5,5,0.23,1
55,2024,1,0.72,-0.1,1.13,0.1,2,36,0.17,1
56,2024,1,1.9,-0.31,2.38,0.31,4,61,0.77,1
57,2024,0,-1.0,-0.85,0.5,0.85,27,88,1.14,1
58,2025,0,-1.0,-1.04,0.23,1.04,5,9,0.03,1
59,2025,1,2.88,-0.29,4.39,0.29,7,54,0.03,1
60,2025,1,0.61,-0.63,1.34,0.63,1,18,0.1,1
61,2025,1,0.04,-0.54,1.01,0.54,14,37,0.14,1
62,2025,0,-1.0,-1.13,0.79,1.13,26,100,0.39,1
63,2025,1,0.82,-0.14,1.16,0.14,2,89,0.15,1
64,2025,1,0.93,-0.47,1.11,0.47,21,259,0.22,1
65,2025,0,-1.0,-1.19,0.95,1.19,27,128,1.25,1
66,2025,1,0.95,-0.13,1.31,0.13,7,57,0.02,1
67,2025,0,-1.0,-1.48,0.33,1.48,30,35,3.25,1
68,2025,1,1.16,-0.47,1.31,0.47,18,175,0.06,1
69,2025,1,1.0,-0.24,1.07,0.24,23,302,2.6,1
70,2025,1,1.25,-0.32,1.57,0.32,8,330,0.53,1
71,2025,1,1.03,-0.67,1.15,0.67,129,430,0.04,1
72,2025,0,-1.0,-1.53,0.55,1.53,11,33,2.08,1
73,2025,0,-1.0,-0.43,0.02,0.43,1,1,1.67,1
74,2025,1,0.46,-0.51,0.77,0.51,20,81,0.01,1
75,2025,1,0.21,-0.05,0.42,0.05,1,29,1.75,0
76,2025,1,1.64,-0.34,1.75,0.34,90,221,0.0,1
77,2025,0,-1.0,-1.05,0.31,1.05,20,22,3.49,1
78,2025,1,1.4,-0.12,1.7,0.12,1,84,0.49,1
79,2025,0,-1.0,-0.85,0.4,0.85,24,58,2.47,1
