num,win0,mode,entry0,entry_eff,sl,R0,R,win,risk0,risk_eff
1,0,LIMIT_demanda,2354.49,2353.16,2340.08,-1.0,-1.0,0,14.41,13.08
2,1,LIMIT_demanda,2340.64,2338.96,2322.27,0.08,0.189,1,18.37,16.69
3,1,LIMIT_demanda,2339.43,2338.96,2314.36,1.08,1.124,1,25.07,24.6
4,1,LIMIT_demanda,2370.3,2369.14,2353.08,0.14,0.215,1,17.22,16.06
5,1,LIMIT_demanda,2305.87,2297.1,2286.34,0.88,0.622,1,19.53,10.76
6,1,LIMIT_demanda,2322.16,2321.91,2306.32,1.12,1.152,1,15.84,15.59
7,1,LIMIT_demanda,2345.17,2344.94,2331.32,0.92,0.95,1,13.85,13.62
8,1,LIMIT_demanda,2319.41,2318.89,2293.16,1.35,1.399,1,26.25,25.73
9,0,LIMIT_demanda,2361.55,2361.33,2356.33,-1.0,-1.0,0,5.22,5.0
10,0,LIMIT_demanda,2360.4,2359.94,2350.18,-1.0,-1.0,0,10.22,9.76
11,1,LIMIT_demanda,2372.12,2372.02,2348.33,1.71,1.719,1,23.79,23.69
12,1,LIMIT_demanda,2409.04,2408.54,2391.03,0.65,0.698,1,18.01,17.51
13,1,LIMIT_demanda,2426.33,2422.44,2419.85,1.8,1.371,1,6.48,2.59
14,0,5ATR,2472.6,2472.6,2465.9,-0.48,-0.48,0,6.7,6.7
15,0,LIMIT_demanda,2413.01,2412.83,2383.42,-1.0,-1.0,0,29.59,29.41
16,1,LIMIT_demanda,2397.36,2396.91,2352.49,1.07,1.102,1,44.87,44.42
17,0,LIMIT_demanda,2458.69,2456.15,2434.27,-1.0,-1.0,0,24.42,21.88
18,0,LIMIT_demanda,2455.78,2454.86,2412.92,-1.0,-1.0,0,42.86,41.94
19,1,LIMIT_demanda,2401.06,2400.93,2378.7,1.04,1.05,1,22.36,22.23
20,1,LIMIT_demanda,2430.61,2429.48,2416.52,0.74,0.895,1,14.09,12.96
21,1,LIMIT_demanda,2451.99,2448.08,2439.45,1.41,2.507,1,12.54,8.63
22,0,LIMIT_demanda,2472.94,2472.79,2458.15,-1.0,-1.0,0,14.79,14.64
23,0,LIMIT_demanda,2477.66,2472.79,2454.89,-1.0,-1.0,0,22.77,17.9
24,0,LIMIT_demanda,2459.81,2459.79,2447.91,-1.0,-1.0,0,11.9,11.88
25,1,LIMIT_demanda,2466.1,2465.5,2450.55,2.38,2.516,1,15.55,14.95
26,1,LIMIT_demanda,2502.61,2500.89,2485.07,1.06,1.282,1,17.54,15.82
27,1,5ATR,2496.58,2496.58,2486.39,0.62,0.62,1,10.19,10.19
28,0,LIMIT_demanda,2524.05,2523.47,2502.96,-1.0,-1.0,0,21.09,20.51
29,1,LIMIT_demanda,2514.11,2513.76,2502.56,0.79,0.842,1,11.55,11.2
30,0,LIMIT_demanda,2522.41,2521.14,2511.94,-1.0,-1.0,0,10.47,9.2
31,1,LIMIT_demanda,2503.67,2503.24,2471.38,0.37,0.395,1,32.29,31.86
32,1,LIMIT_demanda,2520.32,2520.17,2512.61,3.67,3.766,1,7.71,7.56
33,1,LIMIT_demanda,2562.19,2558.62,2556.57,0.84,-1.0,0,5.62,2.05
34,1,5ATR,2575.88,2575.88,2562.94,0.68,0.68,1,12.94,12.94
35,0,LIMIT_demanda,2584.99,2583.43,2578.28,-1.0,-1.0,0,6.71,5.15
36,1,LIMIT_demanda,2584.33,2583.43,2550.51,0.75,0.799,1,33.82,32.92
37,1,5ATR,2622.25,2622.25,2602.24,1.7,1.7,1,20.01,20.01
38,0,LIMIT_demanda,2670.02,2659.46,2655.03,-1.0,-1.0,0,14.99,4.43
39,0,LIMIT_demanda,2668.93,2662.94,2649.24,-1.0,0.64,1,19.69,13.7
40,1,LIMIT_demanda,2644.57,2642.75,2626.13,0.68,0.858,1,18.44,16.62
41,0,LIMIT_demanda,2661.25,2661.13,2654.18,-1.0,-1.0,0,7.07,6.95
42,1,LIMIT_demanda,2621.21,2621.13,2601.49,1.1,1.113,1,19.72,19.64
43,1,LIMIT_demanda,2657.11,2657.02,2601.41,0.92,0.924,1,55.7,55.61
44,1,LIMIT_demanda,2722.2,2716.7,2704.5,0.63,1.182,1,17.7,12.2
45,1,LIMIT_demanda,2743.82,2736.45,2729.29,0.4,-1.0,0,14.53,7.16
46,1,LIMIT_demanda,2731.44,2730.72,2716.68,0.58,0.66,1,14.76,14.04
47,1,LIMIT_demanda,2744.25,2741.82,2727.55,1.93,0.474,1,16.7,14.27
48,0,LIMIT_demanda,2783.16,2778.71,2770.69,-1.0,-0.661,0,12.47,8.02
49,0,LIMIT_demanda,2761.09,2752.62,2744.51,-1.0,-1.0,0,16.58,8.11
50,0,LIMIT_demanda,2744.62,2743.38,2731.53,-1.0,-1.0,0,13.09,11.85
51,1,LIMIT_demanda,2619.32,2619.12,2536.05,0.93,0.931,1,83.27,83.07
52,1,LIMIT_demanda,2709.16,2707.75,2683.9,0.42,0.501,1,25.26,23.85
53,0,LIMIT_demanda,2653.47,2648.74,2610.17,-0.07,0.065,1,43.3,38.57
54,0,LIMIT_demanda,2642.71,2642.21,2630.88,-1.0,-1.0,0,11.83,11.33
55,1,LIMIT_demanda,2648.51,2648.03,2623.83,0.72,0.756,1,24.68,24.2
56,1,LIMIT_demanda,2673.76,2671.59,2660.86,1.9,2.487,1,12.9,10.73
57,0,LIMIT_demanda,2712.57,2708.5,2685.81,-1.0,-1.0,0,26.76,22.69
58,0,LIMIT_demanda,2644.74,2644.65,2624.84,-1.0,-1.0,0,19.9,19.81
59,1,LIMIT_demanda,2638.6,2638.56,2632.75,2.88,2.905,1,5.85,5.81
60,1,LIMIT_demanda,2655.98,2655.75,2645.57,0.61,0.645,1,10.41,10.18
61,1,LIMIT_demanda,2666.59,2666.28,2655.15,0.04,0.064,1,11.44,11.13
62,0,LIMIT_demanda,2682.7,2681.31,2663.52,-1.0,-1.0,0,19.18,17.79
63,1,LIMIT_demanda,2679.29,2678.86,2659.57,0.82,0.855,1,19.72,19.29
64,1,LIMIT_demanda,2701.33,2700.16,2675.93,0.93,0.585,1,25.4,24.23
65,0,LIMIT_demanda,2751.81,2748.86,2739.58,-1.0,0.764,1,12.23,9.28
66,1,LIMIT_demanda,2753.93,2753.83,2735.33,0.95,0.964,1,18.6,18.5
67,0,LIMIT_demanda,2781.88,2773.53,2769.57,-1.0,-1.0,0,12.31,3.96
68,1,LIMIT_demanda,2753.99,2753.83,2734.46,1.16,1.178,1,19.53,19.37
69,1,LIMIT_demanda,2785.68,2778.75,2730.04,1.0,0.71,1,55.64,48.71
70,1,LIMIT_demanda,2847.08,2843.56,2806.55,1.25,0.51,1,40.53,37.01
71,1,LIMIT_demanda,2902.56,2902.4,2863.88,1.03,1.036,1,38.68,38.52
72,0,LIMIT_demanda,2946.8,2941.47,2931.91,-1.0,-1.0,0,14.89,9.56
73,0,LIMIT_demanda,2945.47,2941.93,2923.51,-1.0,-1.0,0,21.96,18.42
74,1,LIMIT_demanda,2940.79,2940.77,2920.73,0.46,0.464,1,20.06,20.04
75,1,LIMIT_demanda,2899.34,2894.59,2831.84,0.21,0.662,1,67.5,62.75
76,1,LIMIT_demanda,2919.6,2919.59,2879.57,1.64,1.64,1,40.03,40.02
77,0,LIMIT_demanda,2998.99,2987.24,2980.43,-1.0,0.832,1,18.56,6.81
78,1,LIMIT_demanda,3004.22,3002.25,2984.27,1.4,1.667,1,19.95,17.98
79,0,LIMIT_demanda,3047.27,3037.42,3021.94,-1.0,-1.0,0,25.33,15.48
80,1,LIMIT_demanda,3025.19,3025.03,2998.54,0.86,0.889,1,26.65,26.49
81,1,LIMIT_demanda,3055.16,3051.87,2998.65,1.11,1.244,1,56.51,53.22
82,1,LIMIT_demanda,3132.73,3124.64,3099.32,0.28,0.693,1,33.41,25.32
83,0,LIMIT_demanda,3111.29,3111.13,3077.77,-1.0,-1.0,0,33.52,33.36
84,1,LIMIT_demanda,3060.34,3059.27,2955.72,0.89,0.898,1,104.62,103.55
85,1,5ATR,3194.67,3194.67,3167.56,0.6,0.6,1,27.11,27.11
86,1,LIMIT_demanda,3225.13,3224.6,3200.91,3.06,3.147,1,24.22,23.69
87,1,LIMIT_demanda,3321.86,3303.29,3288.12,0.78,-1.0,0,33.74,15.17
88,1,LIMIT_demanda,3369.85,3348.21,3283.31,1.26,-1.0,0,86.54,64.9
89,0,LIMIT_demanda,3348.14,3343.07,3267.47,-1.0,-1.0,0,80.67,75.6
90,0,LIMIT_demanda,3338.1,3338.05,3267.17,-1.0,-1.0,0,70.93,70.88
91,1,LIMIT_demanda,3271.94,3269.28,3222.18,0.78,-1.0,0,49.76,47.1
92,0,LIMIT_demanda,3336.22,3334.77,3201.14,-0.79,-0.881,0,135.08,133.63
93,1,LIMIT_demanda,3195.34,3186.19,3119.89,1.06,1.349,1,75.45,66.3
94,1,LIMIT_demanda,3316.35,3315.77,3274.38,1.05,1.077,1,41.97,41.39
95,1,LIMIT_demanda,3298.3,3297.89,3244.62,1.48,1.502,1,53.68,53.27
96,1,LIMIT_demanda,3367.14,3364.91,3332.76,0.1,0.176,1,34.38,32.15
97,1,LIMIT_demanda,3345.84,3344.44,3292.63,1.45,0.663,1,53.21,51.81
98,0,LIMIT_demanda,3449.71,3433.5,3428.73,-1.0,0.667,1,20.98,4.77
99,0,LIMIT_demanda,3394.81,3388.3,3369.97,-1.0,-1.0,0,24.84,18.33
100,0,LIMIT_demanda,3339.47,3338.96,3311.51,-1.0,-1.0,0,27.96,27.45
101,1,LIMIT_demanda,3288.99,3288.07,3245.64,1.32,1.379,1,43.35,42.43
102,0,LIMIT_demanda,3342.24,3342,3328.06,-1.0,-1.0,0,14.18,13.94
103,1,LIMIT_demanda,3320.19,3319.08,3281.73,0.77,0.817,1,38.46,37.35
104,0,LIMIT_demanda,3370.71,3370.45,3353.08,-1.0,-1.0,0,17.63,17.37
105,1,LIMIT_demanda,3343.35,3342.67,3309.29,1.52,1.57,1,34.06,33.38
106,1,LIMIT_demanda,3400.36,3399,3383.11,1.62,1.848,1,17.25,15.89
107,0,LIMIT_demanda,3329.91,3329.79,3311.52,-1.0,-1.0,0,18.39,18.27
108,0,LIMIT_demanda,3387.82,3387.58,3357.77,-1.0,-1.0,0,30.05,29.81
109,0,LIMIT_demanda,3366.78,3366.5,3330.26,-1.0,-1.0,0,36.52,36.24
110,1,LIMIT_demanda,3340.34,3340.09,3323.25,0.35,0.368,1,17.09,16.84
111,1,LIMIT_demanda,3329.05,3329.01,3311.98,0.62,0.626,1,17.07,17.03
112,1,LIMIT_demanda,3350.95,3350.87,3311.14,0.46,0.461,1,39.81,39.73
113,1,LIMIT_demanda,3377.24,3374.29,3351.0,1.54,0.867,1,26.24,23.29
114,1,LIMIT_demanda,3418.73,3417.05,3403.96,1.57,1.9,1,14.77,13.09
115,1,5ATR,3457.1,3457.1,3436.69,0.82,0.82,1,20.41,20.41
116,1,LIMIT_demanda,3488.52,3478.01,3466.68,2.03,0.013,1,21.84,11.33
117,1,LIMIT_demanda,3537.32,3529.46,3526.05,2.48,0.571,1,11.27,3.41
118,1,LIMIT_demanda,3624.04,3617.54,3572.0,1.11,1.332,1,52.04,45.54
119,0,LIMIT_demanda,3693.38,3683.14,3674.16,-1.0,0.995,1,19.22,8.98
120,1,LIMIT_demanda,3659.09,3656.46,3631.85,1.0,0.996,1,27.24,24.61
121,1,5ATR,3706.24,3706.24,3685.2,1.81,1.81,1,21.04,21.04
122,0,LIMIT_demanda,3754.66,3746.94,3737.93,-1.0,-1.0,0,16.73,9.01
123,0,LIMIT_demanda,3777.43,3773.96,3750.2,-1.0,-1.0,0,27.23,23.76
124,0,LIMIT_demanda,3757.43,3756.75,3729.16,-1.0,-1.0,0,28.27,27.59
125,1,LIMIT_demanda,3764.45,3763.86,3734.03,1.95,2.005,1,30.42,29.83
126,1,LIMIT_demanda,3838.51,3830.52,3805.76,0.72,-1.0,0,32.75,24.76
127,1,LIMIT_demanda,3843.94,3830.52,3791.97,0.68,1.27,1,51.97,38.55
128,1,LIMIT_demanda,3877.26,3869.36,3854.21,2.51,0.715,1,23.05,15.15
129,1,5ATR,3957.78,3957.78,3921.73,0.83,0.83,1,36.05,36.05
130,1,5ATR,4003.68,4003.68,3983.85,1.41,1.41,1,19.83,19.83
131,0,LIMIT_demanda,4053.35,4043.62,4021.94,-1.0,-1.0,0,31.41,21.68
132,1,LIMIT_demanda,4009.15,4007.94,3945.67,1.44,1.49,1,63.48,62.27
133,1,LIMIT_demanda,4128.46,4110.02,4090.1,0.69,0.546,1,38.36,19.92
134,1,LIMIT_demanda,4168.57,4163.96,4088.92,2.15,0.845,1,79.65,75.04
135,1,LIMIT_demanda,4293.83,4288.47,4217.63,0.82,-1.0,0,76.2,70.84
136,0,LIMIT_demanda,4129.93,4127.38,4009.08,-1.0,-1.0,0,120.85,118.3
137,0,LIMIT_demanda,4004.91,4000.76,3914.05,-0.24,-0.162,0,90.86,86.71
138,1,5ATR,4027.02,4027.02,3965.32,0.78,0.78,1,61.7,61.7
139,1,LIMIT_demanda,4114.15,4112.99,4073.5,1.9,1.987,1,40.65,39.49
140,0,LIMIT_demanda,4217.6,4213.84,4179.15,-1.0,-1.0,0,38.45,34.69
141,1,LIMIT_demanda,4063.47,4061.75,3996.61,0.56,0.605,1,66.86,65.14
142,1,LIMIT_demanda,4112.73,4112.72,4021.6,0.34,0.342,1,91.13,91.12
143,1,LIMIT_demanda,4170.55,4165.95,4142.1,1.59,2.089,1,28.45,23.85
144,0,LIMIT_demanda,4238.71,4225.01,4204.92,-1.0,1.117,1,33.79,20.09
145,0,LIMIT_demanda,4220.37,4218.19,4194.09,-1.0,-1.0,0,26.28,24.1
146,1,LIMIT_demanda,4210.37,4209.9,4182.97,0.63,0.657,1,27.4,26.93
147,1,LIMIT_demanda,4218.48,4218.19,4169.1,1.08,1.097,1,49.38,49.09
148,1,LIMIT_demanda,4285.78,4279.07,4265.75,2.3,3.859,1,20.03,13.32
149,0,LIMIT_demanda,4328.99,4327.4,4294.67,-1.0,-1.0,0,34.32,32.73
150,1,LIMIT_demanda,4325.75,4324.23,4271.08,1.93,2.011,1,54.67,53.15
151,1,LIMIT_demanda,4454.93,4437.61,4411.29,0.77,1.941,1,43.64,26.32
152,0,LIMIT_demanda,4521.43,4489.85,4429.63,-1.0,-1.0,0,91.8,60.22
153,0,LIMIT_demanda,4399.84,4368.88,4348.89,-1.0,-1.0,0,50.95,19.99
154,1,LIMIT_demanda,4370.03,4368.88,4308.64,0.97,1.009,1,61.39,60.24
155,1,LIMIT_demanda,4436.61,4435.54,4395.49,1.08,0.524,1,41.12,40.05
156,0,LIMIT_demanda,4498.46,4492.53,4441.61,-1.0,-1.0,0,56.85,50.92
