num,cris_exit,cris_Rpot,TGT1_R,TGT2_R,TGT3_R,LETRUN_R,SWING_R,CHAND2_R,CHAND3_R,EMA21_R,NASs_R,SELLb_R,STRUCT_R
1,2368.9,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2,2342.11,0.08,1.0,-1.0,-1.0,0.08,0.1,0.67,0.41,-0.14,0.77,0.77,0.77
3,2366.53,1.08,1.0,-1.0,-1.0,1.08,1.09,1.1,1.06,1.06,1.11,1.11,1.11
4,2372.66,0.14,1.0,-1.0,-1.0,0.13,0.15,0.55,0.33,0.33,0.71,0.71,0.71
5,2323.06,0.88,1.0,0.43,0.43,0.88,0.9,1.15,1.15,1.03,1.21,1.21,1.21
6,2339.9,1.12,1.0,2.0,-0.23,1.12,1.13,0.73,0.76,1.04,0.96,0.96,0.96
7,2357.88,0.92,1.0,-1.0,-1.0,0.92,0.94,0.9,0.48,1.06,0.75,0.75,0.94
8,2354.9,1.35,1.0,1.44,1.44,1.35,1.36,1.16,1.4,1.42,0.99,0.99,1.36
9,2366.77,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,2370.62,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,2412.75,1.71,1.0,2.0,1.92,1.71,1.72,1.16,1.16,1.71,1.49,1.49,1.49
12,2420.76,0.65,1.0,2.0,3.0,0.65,0.67,1.34,1.17,0.94,1.25,1.25,1.25
13,2438.0,1.8,1.0,2.0,3.0,1.8,1.82,1.36,1.91,1.25,0.94,0.94,1.82
14,2475.85,0.49,1.0,-1.0,-1.0,-0.49,-0.46,0.03,0.03,-0.24,1.03,1.03,-0.46
15,2442.6,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,2445.51,1.07,1.0,1.03,1.03,1.08,1.09,1.07,1.15,1.04,1.0,1.0,1.0
17,2483.11,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,2498.64,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,2424.27,1.04,1.0,2.0,3.0,1.04,1.05,0.57,0.57,1.0,1.02,1.02,1.02
20,2441.08,0.74,1.0,2.0,3.0,0.74,0.76,1.29,2.48,2.78,0.82,0.82,0.82
21,2469.72,1.41,1.0,2.0,-1.0,1.41,1.43,1.42,1.42,1.42,1.0,1.0,1.43
22,2487.73,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,2500.43,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,2471.71,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,2503.11,2.38,1.0,2.0,3.0,2.38,2.4,1.29,1.52,2.35,1.63,1.63,2.4
26,2521.17,1.06,1.0,-1.0,-1.0,1.06,1.08,1.18,0.43,1.18,0.79,0.79,0.79
27,2502.92,0.62,1.0,2.0,1.48,0.62,0.64,1.39,1.39,0.69,2.0,2.0,0.64
28,2545.14,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,2523.19,0.79,1.0,-1.0,-1.0,0.79,0.81,0.44,0.61,0.71,0.82,0.82,0.81
30,2532.88,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31,2515.65,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37
32,2548.63,3.67,1.0,2.0,3.0,3.67,3.7,1.07,1.07,5.69,0.93,0.93,3.7
33,2566.91,0.84,1.0,2.0,3.0,0.84,0.87,0.77,0.36,0.36,0.77,0.77,0.87
34,2584.71,0.68,1.0,-1.0,-1.0,0.68,0.7,0.45,0.45,0.73,0.65,0.65,0.65
35,2591.7,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,2609.73,0.75,1.0,2.0,2.75,0.75,0.77,0.62,0.91,0.75,0.98,0.98,0.98
37,2656.33,1.7,1.0,2.0,3.0,1.7,1.72,1.74,1.84,1.76,0.9,0.9,0.9
38,2685.01,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,2688.62,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,2657.02,0.68,1.0,0.21,0.21,0.67,0.69,1.0,0.8,0.78,0.98,0.98,0.69
41,2668.32,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,2642.94,1.1,1.0,2.0,3.0,1.1,1.12,0.94,0.94,0.94,1.04,1.04,1.04
43,2708.41,0.92,1.0,1.16,1.16,0.92,0.93,0.84,0.81,0.84,1.0,1.0,1.0
44,2733.35,0.63,1.0,2.0,0.67,0.63,0.65,0.63,0.31,0.63,0.86,0.86,0.65
45,2749.65,0.4,1.0,-1.0,-1.0,0.4,0.42,0.61,0.31,0.53,0.95,0.95,0.42
46,2739.99,0.58,1.0,2.0,3.0,0.58,0.6,0.29,0.29,0.29,1.0,1.0,0.6
47,2776.55,1.93,1.0,2.0,-0.41,1.93,1.95,0.99,0.99,2.26,1.0,1.0,1.0
48,2795.63,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
49,2777.67,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,2757.71,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,2696.51,0.93,1.0,1.21,1.21,0.93,0.93,0.95,0.87,0.95,1.03,1.03,0.93
52,2719.69,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42
53,2656.33,0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07
54,2654.54,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,2666.33,0.72,1.0,2.0,3.0,0.72,0.73,0.81,0.78,0.69,1.04,1.04,0.73
56,2698.27,1.9,1.0,2.0,3.0,1.9,1.34,0.94,1.67,1.67,1.21,1.21,1.21
57,2739.33,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
58,2664.64,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
59,2655.42,2.88,1.0,2.0,3.0,2.88,2.9,0.86,0.29,0.29,0.99,0.99,2.9
60,2662.32,0.61,1.0,2.0,3.0,0.61,0.63,0.52,0.67,-0.24,0.91,0.91,0.91
61,2667.02,0.04,1.0,2.0,3.0,0.04,0.05,0.53,0.27,0.27,0.94,0.94,0.05
62,2701.88,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,2695.4,0.82,1.0,2.0,3.0,0.81,0.83,0.86,0.62,0.83,1.01,1.01,1.01
64,2724.93,0.93,1.0,2.0,1.78,0.93,0.95,0.68,1.67,0.84,0.91,0.91,0.95
65,2764.04,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,2771.67,0.95,1.0,-1.0,-1.0,0.95,0.91,1.11,0.97,0.94,1.01,1.01,0.91
67,2794.19,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
68,2776.66,1.16,1.0,2.0,3.0,1.16,1.17,1.91,1.87,1.9,0.92,0.92,0.92
69,2841.54,1.0,1.0,1.2,1.2,1.0,1.01,0.9,0.9,1.0,0.95,0.95,0.95
70,2897.62,1.25,1.0,2.0,1.0,1.25,1.26,1.73,1.73,1.31,1.02,1.02,1.02
71,2942.32,1.03,1.0,0.99,0.99,1.03,1.04,0.84,0.84,0.84,1.12,1.12,1.12
72,2961.69,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,2967.43,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,2950.06,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
75,2913.58,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21
76,2985.37,1.64,1.0,2.0,2.89,1.64,1.65,1.63,1.76,1.61,1.13,1.13,1.13
77,3017.55,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78,3032.23,1.4,1.0,2.0,0.63,1.4,1.42,0.81,1.08,1.08,1.02,1.02,1.42
79,3072.6,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,3048.24,0.86,1.0,2.0,3.0,0.88,0.89,0.98,0.78,0.64,1.01,1.01,1.01
81,3118.06,1.11,1.0,0.88,0.88,1.11,1.12,1.07,0.87,1.07,0.95,0.95,1.12
82,3141.95,0.28,1.0,-1.0,-1.0,0.28,0.29,0.88,0.53,0.37,0.88,0.88,0.88
83,3144.81,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,3153.24,0.89,1.0,2.0,2.6,0.88,0.9,1.42,2.6,1.23,1.05,1.05,1.05
85,3210.96,0.6,1.0,2.0,3.0,0.6,0.62,0.78,0.78,0.78,0.91,0.91,0.62
86,3299.15,3.06,1.0,2.0,3.0,3.06,3.08,1.64,3.09,2.89,1.11,1.11,1.11
87,3348.24,0.78,1.0,-1.0,-1.0,0.78,0.8,0.62,0.06,0.62,0.96,0.96,0.96
88,3478.98,1.26,1.0,-1.0,-1.0,1.26,1.27,1.27,1.07,1.07,1.0,1.0,1.0
89,3428.81,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,3409.03,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
91,3310.85,0.78,1.0,2.0,3.0,0.78,0.79,0.89,0.82,0.71,0.96,0.96,0.79
92,3442.8,0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79,-0.79
93,3275.62,1.06,1.0,1.36,1.36,1.06,1.07,1.29,1.36,1.25,1.1,1.1,1.1
94,3360.33,1.05,1.0,0.87,0.87,1.05,1.07,0.69,0.87,0.57,0.99,0.99,0.99
95,3377.59,1.48,1.0,1.18,1.18,1.48,1.33,0.93,1.47,1.56,0.99,0.99,0.99
96,3370.58,0.1,1.0,-1.0,-1.0,0.1,0.11,0.73,0.46,0.46,1.03,1.03,1.03
97,3423.15,1.45,1.0,0.82,0.82,1.45,1.46,1.61,1.5,1.39,1.06,1.06,1.06
98,3470.69,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
99,3419.65,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
100,3367.43,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,3346.3,1.32,1.0,0.67,0.67,1.33,1.34,1.35,1.23,1.34,0.95,0.95,0.95
102,3356.42,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
103,3349.61,0.76,1.0,0.5,0.5,0.76,0.78,0.87,0.82,0.87,0.86,0.86,0.86
104,3388.34,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,3395.05,1.52,1.0,2.0,0.47,1.52,1.53,1.46,1.32,1.5,1.13,1.13,1.13
106,3428.36,1.62,1.0,2.0,-1.0,1.62,1.64,0.69,0.69,1.6,0.93,0.93,1.64
107,3348.3,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
108,3417.87,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
109,3403.3,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
110,3357.23,0.99,1.0,-1.0,-1.0,0.35,0.36,0.64,0.46,0.51,1.0,1.0,1.0
111,3373.24,4.2,1.0,2.0,2.35,0.62,0.64,0.34,0.34,0.34,1.02,1.02,1.02
112,3369.18,0.88,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
113,3563.25,7.09,1.0,2.0,3.0,1.54,1.55,0.76,0.76,0.76,1.03,1.03,1.03
114,3560.91,9.63,1.0,2.0,3.0,1.57,1.59,1.75,1.64,1.8,1.1,1.1,1.59
115,3560.91,5.09,1.0,2.0,3.0,0.82,0.84,0.8,0.8,0.74,1.29,1.29,1.29
116,3560.33,3.29,1.0,2.0,3.0,2.04,2.05,1.06,2.03,1.84,1.04,1.04,2.05
117,3573.26,2.77,1.0,2.0,3.0,2.48,2.51,1.29,1.29,2.35,1.02,1.02,1.02
118,3670.36,3.02,1.0,1.11,1.11,1.11,1.11,1.11,1.11,1.11,1.09,1.09,1.09
119,3712.6,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
120,3776.76,4.07,1.0,2.0,3.0,1.0,1.02,1.14,1.02,1.02,1.06,1.06,1.02
121,3780.19,5.73,1.0,2.0,3.0,1.81,0.29,0.74,0.43,0.43,1.01,1.01,1.01
122,3785.22,1.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
123,3804.66,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
124,3785.7,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,3865.01,4.94,1.0,2.0,3.0,1.95,1.96,1.29,1.37,1.42,0.95,0.95,0.95
126,3868.81,1.59,1.0,-1.0,-1.0,0.72,0.74,0.53,0.44,0.53,0.86,0.86,0.86
127,3879.12,1.33,1.0,2.0,2.62,0.68,0.7,0.53,-0.12,0.6,0.75,0.75,0.7
128,4047.17,7.37,1.0,2.0,3.0,2.51,2.53,1.41,1.18,2.59,0.94,0.94,2.53
129,4047.98,2.78,1.0,2.0,3.0,0.83,0.85,2.18,2.0,0.85,1.02,1.02,1.02
130,4054.79,2.58,1.0,2.0,-1.0,1.41,1.37,1.2,1.64,1.57,1.16,1.16,1.37
131,4084.76,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
132,4171.67,3.7,1.0,2.0,3.0,1.44,1.46,1.74,1.74,1.4,0.97,0.97,0.97
133,4177.42,2.01,1.0,2.0,3.0,0.69,0.71,-0.24,-0.24,-0.24,1.01,1.01,1.01
134,4373.09,5.58,1.0,2.0,-1.0,2.15,0.83,2.24,1.53,0.85,0.86,0.86,0.83
135,4370.35,2.07,1.0,-1.0,-1.0,0.82,0.83,0.87,0.79,0.85,1.11,1.11,0.83
136,4250.78,1.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
137,4117.4,1.81,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24
138,4216.31,4.2,1.0,2.0,3.0,0.78,0.79,1.05,0.96,0.96,1.01,1.01,0.79
139,4229.59,2.84,1.0,2.0,3.0,1.9,1.92,2.01,1.89,1.89,1.17,1.17,1.17
140,4256.05,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
141,4126.31,1.73,1.0,1.2,1.2,0.56,0.57,0.79,0.69,0.69,0.79,0.79,0.79
142,4253.24,1.85,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34
143,4251.9,2.86,1.0,2.0,3.0,1.59,1.6,1.02,0.67,2.19,0.91,0.91,0.91
144,4272.5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
145,4246.65,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146,4251.9,1.52,1.0,-1.0,-1.0,0.63,0.65,1.21,-0.25,-0.25,0.85,0.85,0.85
147,4271.91,1.08,1.0,2.0,1.7,1.08,1.1,1.01,1.01,1.03,1.12,1.12,1.12
148,4348.09,3.11,1.0,2.0,3.0,2.3,2.32,2.12,1.99,0.75,1.11,1.11,2.32
149,4363.31,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
150,4524.83,3.64,1.0,2.0,3.0,1.93,1.94,2.83,2.67,1.49,1.03,1.03,1.03
151,4543.74,2.04,1.0,2.0,-1.0,0.77,0.79,1.19,0.51,0.68,0.98,0.98,0.79
152,4613.23,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
153,4450.79,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
154,5230.3,14.01,1.0,2.0,3.0,0.97,0.99,0.77,0.48,0.77,0.98,0.98,0.99
155,4488.79,1.27,1.0,2.0,3.0,1.08,1.1,0.84,0.84,1.08,1.04,1.04,1.1
156,4555.31,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
157,5280.4,12.8,1.0,2.0,2.05,1.82,1.83,1.77,1.64,1.82,1.07,1.07,1.07
158,4746.81,3.16,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
159,5520.89,11.12,1.0,2.0,3.0,1.68,1.69,1.39,1.74,1.63,1.0,1.0,1.69
160,5510.87,8.1,1.0,2.0,3.0,1.14,1.14,1.1,1.09,1.11,1.05,1.05,1.14
161,5500.85,6.59,1.0,2.0,3.0,1.1,1.11,1.16,1.99,1.99,0.97,0.97,0.97
162,5572.03,3.83,1.0,2.0,-1.0,1.37,1.39,2.24,2.24,2.35,0.99,0.99,0.99
163,5074.37,1.83,1.0,0.61,0.61,0.88,0.9,0.52,0.49,0.78,0.99,0.99,0.99
164,5154.53,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,5378.91,5.12,1.0,0.69,0.69,1.12,1.13,0.98,1.11,1.11,0.97,0.97,0.97
166,5476.81,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
167,5225.88,1.07,1.0,-1.0,-1.0,1.02,1.04,0.69,0.65,0.95,1.02,1.02,1.04
168,4854.41,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
169,4854.23,2.15,1.0,2.0,1.06,1.84,1.85,1.02,1.94,1.74,0.91,0.91,1.85
170,4934.68,0.55,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
