trade_id,source_pdf,page,winner_loser,direction,entry,stop,risk_points,result_points,r_multiple,zone_type,zone_high,zone_low,zone_width_points,nas_count,nas_direction,trend_alignment,reversal_or_continuation,entry_location_in_zone,bars_to_exit,duration_text,duration_hours_if_known,retests_pre_entry,time_inside_zone_before_entry,post_entry_behavior,failure_type_if_loser,exit_reason,notes,confidence,needs_manual_review
W01,Analise 15M BB + NAS.pdf,trade01,winner,short,4590.58,4606.21,15.63,176,11.26,supply,UNKNOWN,UNKNOWN,UNKNOWN,5,short,counter_trend,reversal,near_edge_INFERRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,consolidated_then_reversed_down,,UNKNOWN,~5 NAS SHORT cluster; came from strong up move into supply; counter-trend reversal,HIGH_numeric_text,yes
W02,Analise 15M BB + NAS.pdf,trade02,winner,short,4545.24,4572.48,27.24,89.46,3.3,supply,UNKNOWN,UNKNOWN,UNKNOWN,2,short,counter_trend,reversal,below_zone_edge_INFERRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,rejected_zone_moved_down,,opposite_zone_demand_INFERRED,entry just below zone; stop above; largest risk in winner set,HIGH_numeric_text,yes
W03,Analise 15M BB + NAS.pdf,trade03,winner,long,4586.91,4566.92,19.99,223.87,11.2,demand,UNKNOWN,UNKNOWN,UNKNOWN,2,long,counter_trend,reversal,near_edge_INFERRED,UNKNOWN,extended several days,UNKNOWN,UNKNOWN,UNKNOWN,impulsive_up_leg_multi_day,,UNKNOWN,demand after strong drop; uptrend lasted several days,HIGH_numeric_text,yes
W04,Analise 15M BB + NAS.pdf,trade04,winner,short,4839.29,4859.77,20.48,106.80,5.21,supply,UNKNOWN,UNKNOWN,UNKNOWN,7,short,counter_trend,reversal,multi_zone_INFERRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,reversal_after_exhaustion,,UNKNOWN,~7 NAS SHORT across 2 nearby zones (~5 first +2 second),HIGH_numeric_text,yes
W05,Analise 15M BB + NAS.pdf,trade05,winner,short,4789.92,4807.75,17.83,130.25,7.31,supply,4806.15,4791.01,15.14,2,short,with_trend,continuation,pullback_to_zone_INFERRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,pullback_in_downtrend_then_continued,,opposite_NAS_long_cluster,explicit continuation: pullback in established downtrend; exit on NAS LONG cluster,HIGH_numeric_text,yes
W06,Analise 15M BB + NAS.pdf,trade06,winner,short,4887.07,4900.36,13.29,137.76,10.37,supply,4899.34,4888.05,11.29,3,short,counter_trend,reversal,near_edge_INFERRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,exhaustion_after_strong_up_impulse,,UNKNOWN,strong up impulse into supply; 3 NAS SHORT,HIGH_numeric_text,yes
W07,Analise 15M BB + NAS.pdf,trade07,winner,long,4750.51,4744.75,5.76,72.69,12.62,demand,4749.65,4745.82,3.83,4,long,counter_trend,reversal,near_edge_INFERRED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,bounce_from_demand_tiny_risk,,UNKNOWN,smallest risk (5.76) -> high R; narrow zone; doc notes wick-stop risk,HIGH_numeric_text,yes
W08,Analise 15M BB + NAS.pdf,trade08,winner,short,4741.15,4754.79,13.64,47.80,3.5,supply,4753.68,4744.09,9.59,1,short,counter_trend,reversal,near_edge_INFERRED,38,10h30,10.5,UNKNOWN,UNKNOWN,single_NAS_quick_reaction,,UNKNOWN,only 1 NAS; doc: timing must be precise with few NAS,HIGH_numeric_text,yes
W09,Analise 15M BB + NAS.pdf,trade09,winner,long,4677.30,4665.63,11.67,29.58,2.81,demand,4676.16,4666.64,9.52,6,long,counter_trend,reversal,near_edge_INFERRED,37,9h15,9.25,UNKNOWN,UNKNOWN,biggest_cluster_lowest_R,,UNKNOWN,6 NAS (largest LONG cluster) yet lowest R -> NAS count != magnitude; SOURCE_R_INCONSISTENT 29.58/11.67=2.53 vs PDF 2.81,MEDIUM_source_mismatch,yes
W10,Analise 15M BB + NAS.pdf,trade10,winner,short,4764.03,4775.17,11.14,60.81,19.05,supply,4772.47,4765.34,7.13,3,short,counter_trend,reversal,near_edge_INFERRED,UNKNOWN,~3 days 9 hours,81,UNKNOWN,UNKNOWN,long_runner_mega_R,,UNKNOWN,mega-winner; narrow zone + very long hold; bar count not given; SOURCE_R_INCONSISTENT result_points 60.81 vs +19.05R irreconcilable (19.05*11.14=~212pts) - trust R per PDF headline verify in print,MEDIUM_source_mismatch,yes
