i,j,t,d,ent,sl,tgt,risk,oc,out,bars,regime,px_vs_ema_1d,leg_state,matched_n96
28030,28031,1754008200,2025-08-01,3292.96,3286.1,3313.54,6.86,SL,0,4,RANGE,-14.526,MARKUP_CANDIDATE_LIVE,
28036,28037,1754013600,2025-08-01,3291.07,3281.04,3321.16,10.03,TGT,1,42,RANGE,-10.293,MARKUP_CANDIDATE_LIVE,1
28188,28205,1754344800,2025-08-04,3374.86,3369.96,3389.55,4.9,SL,0,28,RANGE,17.395,MARKUP_CANDIDATE_LIVE,
28234,28236,1754372700,2025-08-05,3373.95,3367.35,3393.75,6.6,SL,0,3,RANGE,13.077,MARKUP_CANDIDATE_LIVE,
28240,28242,1754378100,2025-08-05,3374.27,3365.17,3401.58,9.1,SL,0,7,RANGE,10.627,MARKUP_CANDIDATE_LIVE,
28259,28262,1754396100,2025-08-05,3360.77,3349.49,3394.6,11.28,TGT,1,165,RANGE,4.577,MARKUP_CANDIDATE_LIVE,2
28279,28299,1754433000,2025-08-05,3379.71,3376.16,3390.35,3.55,SL,0,11,RANGE,19.06,MARKUP_CANDIDATE_LIVE,
28326,28329,1754460000,2025-08-06,3375.51,3370.25,3391.29,5.26,SL,0,5,RANGE,11.513,MARKUP_CANDIDATE_LIVE,
28345,28356,1754484300,2025-08-06,3367.41,3357.68,3396.59,9.73,TGT,1,72,RANGE,5.642,MARKUP_CANDIDATE_LIVE,3
28534,28538,1754655300,2025-08-08,3394.6,3379.99,3438.43,14.61,SL,0,23,RANGE,7.894,MARKUP_CANDIDATE_LIVE,
28561,28563,1754677800,2025-08-08,3395.58,3375.59,3455.56,19.99,SL,0,22,RANGE,6.147,MARKUP_CANDIDATE_LIVE,
28838,28844,1755114300,2025-08-13,3357.75,3349.45,3382.65,8.3,SL,0,44,RANGE,1.212,MARKUP_CANDIDATE_LIVE,5
28871,28884,1755153900,2025-08-14,3361.91,3355.23,3381.95,6.68,SL,0,3,RANGE,2.46,MARKUP_CANDIDATE_LIVE,
29004,29028,1755287100,2025-08-15,3339.05,3332.39,3359.03,6.66,SL,0,9,RANGE,-6.713,MARKUP_CANDIDATE_LIVE,
29117,29126,1755555300,2025-08-18,3333.98,3330.07,3345.72,3.91,SL,0,7,RANGE,-10.608,MARKUP_CANDIDATE_LIVE,
29133,29134,1755562500,2025-08-19,3337.25,3325.64,3372.07,11.61,SL,0,57,RANGE,-5.335,MARKUP_CANDIDATE_LIVE,6
29342,29347,1755761400,2025-08-21,3340.05,3334.1,3357.91,5.95,SL,0,12,RANGE,-2.652,MARKUP_CANDIDATE_LIVE,
29361,29365,1755777600,2025-08-21,3341.37,3324.83,3390.98,16.54,SL,0,94,RANGE,-1.304,MARKUP_CANDIDATE_LIVE,7
29389,29402,1755814500,2025-08-21,3340.32,3336.16,3352.81,4.16,SL,0,8,RANGE,-3.68,MARKUP_CANDIDATE_LIVE,
29410,29412,1755823500,2025-08-22,3339.53,3334.87,3353.52,4.66,SL,0,4,RANGE,-3.59,MARKUP_CANDIDATE_LIVE,
29436,29437,1755846000,2025-08-22,3333.05,3325.55,3355.56,7.5,SL,0,5,RANGE,-5.195,MARKUP_CANDIDATE_LIVE,
29496,29500,1756079100,2025-08-24,3369.18,3365.77,3379.41,3.41,SL,0,2,RANGE,9.866,MARKUP_CANDIDATE_LIVE,
29509,29513,1756090800,2025-08-25,3366.5,3359.01,3388.97,7.49,SL,0,76,RANGE,6.504,MARKUP_CANDIDATE_LIVE,8
29704,29710,1756275300,2025-08-27,3380.92,3373.61,3402.84,7.31,SL,0,4,RANGE,10.895,MARKUP_CANDIDATE_LIVE,
29714,29716,1756280700,2025-08-27,3381.52,3373.22,3406.43,8.3,TGT,1,107,RANGE,8.785,MARKUP_CANDIDATE_LIVE,9
29890,29893,1756447200,2025-08-29,3411.43,3406.63,3425.82,4.8,SL,0,5,RANGE,21.639,MARKUP_CANDIDATE_LIVE,
29899,29900,1756453500,2025-08-29,3412.21,3406.37,3429.74,5.84,SL,0,9,RANGE,20.765,MARKUP_CANDIDATE_LIVE,
29913,29916,1756467900,2025-08-29,3410.69,3403.92,3431.0,6.77,TGT,1,9,RANGE,20.091,MARKUP_CANDIDATE_LIVE,10
30075,30085,1756809000,2025-09-02,3483.36,3469.49,3524.98,13.87,TGT,1,22,BULL,19.404,MARKUP_CANDIDATE_LIVE,12
30227,30230,1756946700,2025-09-04,3561.59,3551.49,3591.89,10.1,SL,0,3,BULL,33.416,MARKUP_CANDIDATE_LIVE,
30239,30252,1756966500,2025-09-04,3537.61,3510.4,3619.23,27.21,TGT,1,199,BULL,18.477,MARKUP_CANDIDATE_LIVE,13
30500,30502,1757375100,2025-09-08,3634.86,3627.84,3655.91,7.02,TGT,1,20,BULL,57.648,MARKUP_CANDIDATE_LIVE,15
30673,30684,1757546100,2025-09-10,3642.71,3634.96,3665.96,7.75,SL,0,14,BULL,49.331,MARKUP_CANDIDATE_LIVE,
30711,30713,1757572200,2025-09-11,3636.33,3622.29,3678.46,14.04,SL,0,10,BULL,36.533,MARKUP_CANDIDATE_LIVE,
30875,30879,1757901600,2025-09-15,3640.69,3626.15,3684.3,14.54,TGT,1,57,BULL,29.585,MARKUP_CANDIDATE_LIVE,16
31525,31528,1758683700,2025-09-24,3760.93,3750.08,3793.49,10.85,SL,0,46,BULL,30.018,MARKUP_CANDIDATE_LIVE,18
31922,31934,1759236300,2025-09-30,3819.34,3791.97,3901.46,27.37,TGT,1,313,BULL,22.407,MARKUP_CANDIDATE_LIVE,19
32047,32053,1759347000,2025-10-01,3869.13,3854.29,3913.66,14.84,SL,0,18,BULL,42.446,MARKUP_CANDIDATE_LIVE,
32071,32072,1759367700,2025-10-02,3863.98,3852.38,3898.79,11.6,SL,0,53,BULL,32.481,MARKUP_CANDIDATE_LIVE,20
32526,32532,1759972500,2025-10-09,4031.26,4000.53,4123.46,30.73,SL,0,61,BULL,23.035,MARKUP_CANDIDATE_LIVE,21
33147,33152,1760724900,2025-10-17,4244.43,4184.06,4425.53,60.37,SL,0,166,BULL,15.573,MARKUP_CANDIDATE_LIVE,23
33287,33290,1761029100,2025-10-21,4343.21,4316.21,4424.2,27.0,SL,0,3,BULL,39.57,MARKUP_CANDIDATE_LIVE,
33399,33407,1761138000,2025-10-22,4064.5,4012.24,4221.27,52.26,SL,0,7,BEAR,1.948,MARKUP_CANDIDATE_LIVE,
33414,33421,1761150600,2025-10-22,4050.73,4009.08,4175.69,41.65,SL,0,266,BEAR,1.386,MARKUP_CANDIDATE_LIVE,24
33583,33589,1761309000,2025-10-24,4083.5,4042.92,4205.23,40.58,SL,0,77,BEAR,4.534,MARKUP_CANDIDATE_LIVE,25
33631,33635,1761526800,2025-10-27,4090.08,4056.72,4190.17,33.36,SL,0,12,BEAR,2.979,MARKUP_CANDIDATE_LIVE,
33647,33652,1761542100,2025-10-27,4081.86,4052.36,4170.35,29.5,SL,0,14,BEAR,3.886,MARKUP_CANDIDATE_LIVE,
33899,33907,1761782400,2025-10-30,3956.77,3914.98,4082.13,41.79,TGT,1,672,BEAR,-4.731,MARKUP_CANDIDATE_LIVE,
33919,33923,1761796800,2025-10-30,3943.49,3913.94,4032.15,29.55,TGT,1,71,BEAR,-6.148,MARKUP_CANDIDATE_LIVE,26
34064,34080,1761941700,2025-10-31,4002.16,3970.96,4095.77,31.2,SL,0,7,RANGE,-2.328,MARKUP_CANDIDATE_LIVE,
34088,34092,1762132500,2025-11-03,3998.81,3961.54,4110.61,37.27,SL,0,144,RANGE,-1.747,MARKUP_CANDIDATE_LIVE,27
