i,conf_i,j,t,d,ent,sl,risk,risk_atr,oc,out,bars,regime,px_vs_ema_1d,entry_lag_from_low,conf_lag
28036,28078,28078,1754050500,2025-08-01,3301.67,3281.04,20.63,5.99,TGT,1,35,RANGE,-10.093,42,42
28259,28267,28267,1754400600,2025-08-05,3376.82,3349.49,27.33,6.01,SL,0,363,RANGE,7.647,8,8
28345,28389,28389,1754517600,2025-08-06,3371.77,3357.68,14.09,5.64,SL,0,223,RANGE,9.638,44,44
28734,28804,28806,1755080100,2025-08-13,3364.1,3340.79,23.31,5.81,SL,0,107,RANGE,2.426,72,70
28838,28855,28855,1755127800,2025-08-13,3362.76,3349.45,13.31,6.51,SL,0,33,RANGE,4.028,17,17
29133,29173,29173,1755597600,2025-08-19,3342.66,3325.64,17.02,6.15,SL,0,18,RANGE,-2.501,40,40
29361,29393,29393,1755802800,2025-08-21,3340.21,3324.83,15.38,6.84,SL,0,66,RANGE,-2.862,32,32
29509,29570,29573,1756144800,2025-08-25,3372.29,3359.01,13.28,6.73,SL,0,16,RANGE,12.175,64,61
29714,29751,29751,1756312200,2025-08-27,3394.65,3373.22,21.43,5.77,TGT,1,217,RANGE,10.982,37,37
29913,29924,29924,1756475100,2025-08-29,3428.56,3403.92,24.64,6.12,TGT,1,125,RANGE,16.24,11,11
30001,30035,30035,1756764000,2025-09-01,3477.61,3465.66,11.95,5.23,TGT,1,67,RANGE,42.536,34,34
30075,30107,30107,1756828800,2025-09-02,3525.96,3469.49,56.47,7.01,TGT,1,888,BULL,18.061,32,32
30239,30259,30259,1756972800,2025-09-04,3544.22,3510.4,33.82,6.47,TGT,1,212,BULL,25.815,20,20
30283,30318,30318,1757029500,2025-09-04,3552.7,3534.3,18.4,5.77,TGT,1,122,BULL,41.076,35,35
30500,30513,30515,1757386800,2025-09-09,3648.27,3627.84,20.43,4.04,SL,0,49,BULL,38.234,15,13
30875,30892,30892,1757913300,2025-09-15,3645.33,3626.15,19.18,6.01,TGT,1,128,BULL,41.637,17,17
31025,31047,31047,1758060000,2025-09-16,3691.44,3678.06,13.38,6.6,SL,0,14,BULL,73.568,22,22
31525,31537,31537,1758691800,2025-09-24,3774.48,3750.08,24.4,6.02,SL,0,37,BULL,41.978,12,12
31922,31939,31939,1759240800,2025-09-30,3843.72,3791.97,51.75,5.86,TGT,1,497,BULL,21.022,17,17
32071,32092,32092,1759385700,2025-10-02,3872.02,3852.38,19.64,6.09,SL,0,33,BULL,55.318,21,21
32526,32549,32550,1759988700,2025-10-09,4039.83,4000.53,39.3,6.62,SL,0,43,BULL,41.636,24,23
32828,32875,32875,1760464800,2025-10-14,4148.27,4088.92,59.35,5.96,TGT,1,195,BULL,29.569,47,47
33147,33163,33163,1760911200,2025-10-19,4259.23,4184.06,75.17,5.48,SL,0,155,BULL,20.711,16,16
33414,33432,33432,1761160500,2025-10-22,4105.31,4009.08,96.23,6.72,SL,0,255,BEAR,5.95,18,18
33583,33592,33592,1761311700,2025-10-24,4114.01,4042.92,71.09,5.72,SL,0,74,BEAR,6.258,9,9
33919,33943,33943,1761814800,2025-10-30,4004.91,3913.94,90.97,7.64,TIME,0,1440,BEAR,-1.334,24,24
34088,34108,34108,1762146900,2025-11-03,4012.14,3961.54,50.6,6.32,SL,0,128,RANGE,-0.917,20,20
34432,34457,34459,1762477200,2025-11-07,3998.94,3964.81,34.13,6.47,TGT,1,140,RANGE,-1.041,27,25
34700,34719,34719,1762891200,2025-11-11,4127.19,4096.07,31.12,6.2,TGT,1,136,RANGE,22.475,19,19
34753,34780,34780,1762949700,2025-11-12,4136.32,4098.02,38.3,5.94,SL,0,187,RANGE,17.349,27,27
34897,34924,34924,1763086500,2025-11-14,4199.59,4143.98,55.61,6.33,SL,0,36,RANGE,16.789,27,27
35259,35282,35282,1763595900,2025-11-19,4104.53,4054.19,50.34,6.41,SL,0,10,BULL,6.003,23,23
35488,35517,35517,1763987400,2025-11-24,4079.1,4039.19,39.91,6.55,TGT,1,365,BULL,3.165,29,29
35643,35671,35671,1764133200,2025-11-26,4166.07,4126.86,39.21,6.13,TGT,1,1046,BULL,14.633,28,28
35711,35821,35821,1764284400,2025-11-27,4162.66,4135.81,26.85,10.02,TGT,1,94,BULL,27.953,110,110
36005,36025,36048,1764675900,2025-12-02,4205.29,4198.17,7.12,0.9,TGT,1,10,BULL,11.832,43,20
36134,36148,36148,1764769500,2025-12-03,4237.17,4194.09,43.08,6.61,SL,0,49,BULL,17.933,14,14
36281,36301,36301,1764914400,2025-12-05,4225.61,4194.34,31.27,6.78,SL,0,61,BULL,19.616,20,20
36631,36645,36645,1765411200,2025-12-11,4242.89,4180.86,62.03,6.4,TGT,1,701,BULL,8.754,14,14
36669,36712,36712,1765471500,2025-12-11,4273.58,4203.86,69.72,6.26,TGT,1,673,BULL,10.384,43,43
36803,36822,36822,1765574100,2025-12-12,4303.04,4255.39,47.65,6.48,TGT,1,552,BULL,18.214,19,19
36895,36927,36927,1765848600,2025-12-16,4314.56,4284.07,30.49,5.88,SL,0,6,BULL,23.575,32,32
36987,37016,37016,1765932300,2025-12-17,4313.15,4289.99,23.16,6.01,TGT,1,279,BULL,28.77,29,29
37164,37270,37270,1766168100,2025-12-19,4354.44,4307.55,46.89,6.24,TGT,1,121,BULL,17.18,106,106
37203,37278,37278,1766175300,2025-12-19,4345.25,4308.82,36.43,7.08,TGT,1,99,BULL,23.308,75,75
37536,37549,37549,1766703600,2025-12-25,4488.94,4446.94,42.0,4.98,SL,0,124,BULL,23.113,13,13
37987,38001,38001,1767567600,2026-01-04,4370.03,4308.64,61.39,7.94,TGT,1,464,RANGE,6.513,14,14
38250,38276,38276,1767822300,2026-01-07,4456.51,4421.89,34.62,6.29,SL,0,27,RANGE,20.04,26,26
38583,38611,38611,1768311000,2026-01-13,4617.97,4572.96,45.01,5.87,SL,0,28,BULL,28.42,28,28
38762,38783,38783,1768473000,2026-01-15,4617.9,4580.0,37.9,6.19,SL,0,111,BULL,29.721,21,21
38933,39002,39010,1768870800,2026-01-20,4670.04,4651.47,18.57,3.32,TGT,1,28,BULL,33.226,77,69
39177,39210,39210,1769058000,2026-01-22,4800.38,4753.47,46.91,6.18,TGT,1,68,BULL,34.482,33,33
39194,39213,39213,1769060700,2026-01-22,4821.16,4770.81,50.35,6.23,TGT,1,133,BULL,34.972,19,19
39319,39347,39347,1769184900,2026-01-23,4985.43,4898.49,86.94,6.19,TGT,1,223,BULL,29.237,28,28
39711,39732,39732,1769718600,2026-01-29,5354.63,5093.54,261.09,6.61,SL,0,44,BEAR,14.994,21,21
40085,40106,40106,1770246000,2026-02-04,5009.81,4849.18,160.63,6.96,SL,0,15,BEAR,7.612,21,21
40382,40443,40443,1770732900,2026-02-10,5070.08,4985.63,84.45,6.35,SL,0,191,BEAR,15.74,61,61
40448,40500,40500,1770787800,2026-02-11,5062.33,4997.16,65.17,7.46,SL,0,134,BEAR,21.346,52,52
40532,40609,40609,1770889500,2026-02-12,5073.14,5015.55,57.59,6.26,SL,0,25,BEAR,19.406,77,77
40774,40793,40793,1771235100,2026-02-16,5013.41,4964.13,49.28,5.81,SL,0,46,RANGE,12.146,19,19
41016,41043,41043,1771479900,2026-02-19,4996.92,4959.16,37.76,6.17,TGT,1,157,RANGE,12.554,27,27
41352,41368,41368,1771956000,2026-02-24,5164.4,5092.05,72.35,6.18,TGT,1,294,BULL,16.711,16,16
41384,41390,41390,1771979400,2026-02-25,5147.65,5119.63,28.02,5.6,TGT,1,235,BULL,32.572,6,6
41433,41463,41464,1772046000,2026-02-25,5207.06,5154.15,52.91,7.07,SL,0,7,BULL,29.681,31,30
41728,41752,41752,1772492400,2026-03-02,5338.57,5257.49,81.08,6.09,SL,0,41,BULL,20.384,24,24
41922,41941,41941,1772669700,2026-03-05,5173.31,5106.91,66.4,6.2,SL,0,52,BEAR,9.121,19,19
42293,42315,42315,1773189900,2026-03-11,5215.65,5159.37,56.28,5.95,SL,0,52,BEAR,12.359,22,22
42529,42547,42547,1773405900,2026-03-13,5118.39,5060.2,58.19,5.87,SL,0,8,RANGE,1.508,18,18
42742,42772,42772,1773792000,2026-03-18,5010.07,4972.36,37.71,7.01,SL,0,42,RANGE,-13.06,30,30
43148,43179,43179,1774345500,2026-03-24,4426.54,4302.61,123.93,5.98,TGT,1,602,BEAR,-23.863,31,31
43404,43426,43427,1774579500,2026-03-27,4431.89,4349.38,82.51,5.93,TGT,1,250,BEAR,-26.731,23,22
43460,43476,43476,1774623600,2026-03-27,4525.2,4403.13,122.07,5.8,TIME,0,1440,BEAR,-13.231,16,16
43508,43528,43528,1774846800,2026-03-30,4504.93,4418.09,86.84,6.02,TGT,1,223,BEAR,-18.774,20,20
43601,43606,43606,1774920600,2026-03-31,4617.9,4481.19,136.71,6.59,TIME,0,1440,BEAR,-6.443,5,5
43642,43666,43666,1774974600,2026-03-31,4641.62,4528.33,113.29,5.83,TIME,0,1440,BEAR,-5.652,24,24
43808,43856,43856,1775152800,2026-04-02,4653.48,4552.19,101.29,6.45,TIME,0,1440,BEAR,-5.84,48,48
43877,43907,43907,1775461500,2026-04-06,4684.9,4598.6,86.3,6.12,TIME,0,1440,BEAR,-3.827,30,30
43975,44005,44005,1775553300,2026-04-07,4686.85,4614.84,72.01,5.52,SL,0,19,BEAR,-3.373,30,30
44152,44197,44197,1775733300,2026-04-09,4745.71,4697.4,48.31,6.07,SL,0,131,BEAR,2.264,45,45
44559,44611,44611,1776296700,2026-04-15,4823.54,4785.12,38.42,5.98,SL,0,56,BEAR,11.823,52,52
45256,45270,45270,1777260600,2026-04-27,4728.4,4671.35,57.05,6.02,SL,0,46,BEAR,-2.154,14,14
45663,45680,45680,1777644000,2026-05-01,4656.09,4559.28,96.81,6.74,SL,0,76,BEAR,-3.357,17,17
45894,45902,45902,1778027400,2026-05-06,4610.39,4545.69,64.7,6.26,SL,0,679,BEAR,-5.712,8,8
45949,45984,45984,1778104800,2026-05-06,4697.33,4659.21,38.12,6.31,SL,0,215,BEAR,4.289,35,35
46079,46128,46128,1778238000,2026-05-08,4722.14,4680.5,41.64,5.54,SL,0,40,BEAR,6.559,49,49
46415,46448,46448,1778713200,2026-05-13,4701.39,4668.46,32.93,6.58,SL,0,58,BEAR,3.204,33,33
46966,46982,46982,1779384600,2026-05-21,4548.15,4487.53,60.62,6.08,SL,0,268,BEAR,-8.672,16,16
47061,47088,47088,1779660000,2026-05-24,4555.22,4490.86,64.36,7.68,SL,0,161,BEAR,-7.194,27,27
47453,47496,47496,1780050600,2026-05-29,4537.84,4488.47,49.37,5.76,SL,0,102,BEAR,-8.589,43,43
47939,47955,47955,1780654500,2026-06-05,4465.91,4427.79,38.12,5.81,SL,0,10,BEAR,-22.167,16,16
48404,48457,48457,1781297100,2026-06-12,4216.98,4169.22,47.76,6.31,TGT,1,63,BEAR,-52.104,53,53
48551,48594,48596,1781602200,2026-06-16,4342.22,4305.49,36.73,5.57,SL,0,126,BEAR,-40.825,45,43
48616,48651,48653,1781657100,2026-06-17,4337.24,4312.15,25.09,5.3,SL,0,69,BEAR,-57.954,37,35
48909,48914,48914,1782090000,2026-06-22,4211.81,4135.54,76.27,6.48,SL,0,101,BEAR,-33.977,5,5
48973,49000,49000,1782171000,2026-06-22,4194.76,4168.76,26.0,6.43,SL,0,8,BEAR,-102.984,27,27
49583,49598,49598,1782903600,2026-07-01,4015.82,3958.8,57.02,6.95,TGT,1,145,BEAR,-72.632,15,15
49634,49670,49670,1782972000,2026-07-02,4068.26,4027.67,40.59,5.37,TGT,1,73,BEAR,-71.865,36,36
