DD,N,WR_liq,blocked,blocked_NET,conc_max,config,dd_q95,dd_q95_base,delta_entry_attr,extra,fn_fail,fn_pass,line,losers_cut,p_calshuffle,p_episode,p_random,rDD,retention,runner_kill,runner_kill_NET,runners,streak,sumNET,top10_killed,worst_month,worst_week,yr2024,yr2025,yr2026
-14.2,435,46.0,0,0,0.0,BASELINE,,,,,WR>=50;stk<=6,4,BASE,0,,,,16.4,100.0,0,0,53,8,233.6,0,-5.0,-4.9,13.6,183.4,36.6
-16.5,362,45.3,73,40.3,0.0,F1_cd8,,,,,WR>=50;stk<=6;run>=48;sum>=200,2,BASE,37,,0.554,0.534,11.71,82.8,7,41.5,46,7,193.4,1,-6.6,-5.5,14.5,146.7,32.2
-15.3,332,45.2,103,45.0,0.0,F1_cd24,,,,,WR>=50;stk<=6;run>=48;sum>=200,2,BASE,53,,0.386,0.32,12.33,80.7,9,50.6,44,8,188.6,1,-6.4,-5.2,11.0,151.6,26.0
-13.1,250,45.2,185,73.0,0.0,F1_cd96,,,,,WR>=50;stk<=6;run>=48;sum>=200,2,BASE,98,,0.182,0.128,12.25,68.8,18,96.8,35,7,160.7,2,-7.2,-4.2,11.3,132.9,16.5
-5.4,122,49.2,313,155.2,0.0,F2_max1c,,,,,WR>=50;run>=48;sum>=200;anos+2024>=10,2,BASE,173,,0.412,0.344,14.6,33.6,38,215.4,15,5,78.5,7,-4.3,-2.7,-1.4,79.0,0.9
-8.6,205,47.8,230,112.3,0.0,F2_max2c,,,,,WR>=50;run>=48;sum>=200;anos+2024>=10,2,BASE,128,,0.396,0.3,14.06,51.9,28,160.0,25,5,121.4,5,-2.2,-3.9,-0.5,117.9,4.0
-14.7,349,44.4,86,62.5,0.0,F2_max2day,,,,,WR>=50;stk<=6;run>=48;sum>=200;anos+2024>=10,1,BASE,41,,0.822,0.812,11.67,73.2,11,64.9,42,7,171.1,2,-4.7,-6.2,-4.2,152.9,22.4
-16.9,336,46.7,99,53.7,0.0,F3_br2,,,,,WR>=50;stk<=6;run>=48;sum>=200;anos+2024>=10,1,BASE,56,,0.568,0.5,10.65,77.0,12,70.9,41,7,180.0,2,-4.7,-4.7,-10.0,157.5,32.5
-16.7,390,46.4,45,31.0,0.0,F3_br3,,,,,WR>=50;stk<=6;run>=48;anos+2024>=10,2,BASE,26,,0.748,0.694,12.16,86.7,7,43.8,46,9,202.7,1,-5.0,-5.3,-4.1,176.3,30.4
-13.2,423,46.1,12,2.9,0.0,F5_daily3,,,1.6,,WR>=50;stk<=6,4,BASE,7,0.478,0.384,0.38,17.43,98.8,1,6.8,52,7,230.7,0,-5.0,-4.9,16.2,177.9,36.6
