n,out,regime,subfam,1D_px_vs_ema,1D_ema_trend,1D_rsi,1H_rsi_slope,absorption,displacement_15m,cut_intraBEAR
27,0,RANGE,D3_lower_high_bounce,-1.747,-1.416,51.06,-6.490000000000002,0.0,0.83,nao
49,0,BULL,D5_outro,23.494,9.943,70.03,-6.130000000000003,-1.0,0.3,nao
50,0,BULL,D5_outro,16.103,8.533,70.86,-7.619999999999997,-1.0,0.28,nao
66,0,BEAR,D2_repique_raso,5.178,6.92,52.53,-2.030000000000001,0.0,0.92,SIM
67,0,BEAR,D2_repique_raso,12.21,3.402,55.84,-17.08,0.0,0.27,SIM
68,0,RANGE,D3_lower_high_bounce,-0.893,2.277,50.42,-9.009999999999998,1.0,0.04,nao
69,0,RANGE,D5_outro,-7.295,0.275,47.16,-3.1599999999999966,1.0,0.38,nao
80,0,BEAR,D5_outro,-6.402,-0.343,46.34,-16.46,0.0,0.48,nao
86,0,BEAR,D4_capitulacao_valida,-9.877,-4.057,36.9,1.6499999999999986,-1.0,0.76,nao
87,0,BEAR,D5_outro,-9.66,-5.318,42.13,-7.560000000000002,-1.0,1.53,nao
89,0,BEAR,D4_capitulacao_valida,-20.944,-7.431,45.43,17.21,0.0,0.35,nao
92,0,BEAR,D4_capitulacao_valida,-27.256,-5.715,45.43,17.21,3.0,1.21,nao
93,0,BEAR,D4_capitulacao_valida,-51.375,-6.599,45.43,17.21,0.0,1.01,nao
94,0,BEAR,D4_capitulacao_valida,-53.704,-7.375,45.43,17.21,0.0,0.7,nao
26,1,BEAR,WIN_bear,-6.148,0.051,46.4,-3.6699999999999946,0.0,0.79,nao
70,1,BEAR,WIN_bear,-24.001,-7.483,27.45,-7.909999999999997,0.0,1.23,nao
71,1,BEAR,WIN_bear,-21.432,-11.362,33.26,-9.730000000000004,-1.0,0.42,nao
72,1,BEAR,WIN_bear,-35.537,-24.031,29.79,-9.68,3.0,0.18,nao
73,1,BEAR,WIN_bear,-12.845,-10.303,36.32,-14.490000000000002,-1.0,1.01,nao
74,1,BEAR,WIN_bear,-14.006,-14.368,36.32,-1.009999999999998,0.0,0.19,nao
75,1,BEAR,WIN_bear,-13.063,-16.33,36.32,-6.420000000000002,0.0,1.2,nao
76,1,BEAR,WIN_bear,-4.342,-4.792,45.76,-10.770000000000003,0.0,1.08,nao
78,1,BEAR,WIN_bear,-0.557,-1.836,48.05,3.3900000000000006,0.0,0.83,nao
81,1,BEAR,WIN_bear,-17.095,-7.41,43.2,-14.030000000000001,-1.0,0.72,nao
82,1,BEAR,WIN_bear,-14.151,-10.742,,-6.839999999999996,0.0,0.99,nao
88,1,BEAR,WIN_bear,-23.139,-11.734,45.43,17.21,1.0,0.77,nao
90,1,BEAR,WIN_bear,-41.255,-5.725,45.43,17.21,-1.0,0.21,nao
91,1,BEAR,WIN_bear,-47.39,-9.392,45.43,17.21,-1.0,0.27,nao
95,1,BEAR,WIN_bear,-70.736,-6.445,45.43,17.21,-1.0,0.44,nao
96,1,BEAR,WIN_bear,-80.078,-8.205,45.43,17.21,-1.0,1.08,nao
