n,out,fam,15M_atr_rel,15M_dem_below,15M_ema_trend,15M_nas_long,15M_nas_short,15M_px_vs_ema,15M_rsi,15M_rsi_slope,15M_smc_BOS,15M_smc_CHoCH,15M_smc_EQH,15M_smc_EQL,15M_sup_above,1D_atr_rel,1D_dem_below,1D_ema_trend,1D_nas_long,1D_nas_short,1D_px_vs_ema,1D_rsi,1D_rsi_slope,1D_smc_BOS,1D_smc_CHoCH,1D_smc_EQH,1D_smc_EQL,1D_sup_above,1H_atr_rel,1H_dem_below,1H_ema_trend,1H_nas_long,1H_nas_short,1H_px_vs_ema,1H_rsi,1H_rsi_slope,1H_smc_BOS,1H_smc_CHoCH,1H_smc_EQH,1H_smc_EQL,1H_sup_above,30M_atr_rel,30M_dem_below,30M_ema_trend,30M_nas_long,30M_nas_short,30M_px_vs_ema,30M_rsi,30M_rsi_slope,30M_smc_BOS,30M_smc_CHoCH,30M_smc_EQH,30M_smc_EQL,30M_sup_above,4H_atr_rel,4H_dem_below,4H_ema_trend,4H_nas_long,4H_nas_short,4H_px_vs_ema,4H_rsi,4H_rsi_slope,4H_smc_BOS,4H_smc_CHoCH,4H_smc_EQH,4H_smc_EQL,4H_sup_above,bub_buy_at_high,bub_buy_ml,bub_count,bub_net,bub_sell_absorbed_low,bub_sell_ml,mtf_bull_align,mtf_dem_conf,mtf_net_conf,mtf_sup_conf
1,1,WIN,0.0012,0.01,-0.31,0,0,0.056,41.05,-9.160000000000004,1,1,1,0,0.14,0.0139,3.1,-3.898,0,0,-10.293,42.91,-5.190000000000005,0,2,0,0,12.08,0.0024,0.17,-0.983,0,0,-0.882,42.91,1.1099999999999994,0,0,0,0,0.61,0.0014,0.08,-0.687,0,0,-0.335,42.47,-1.259999999999998,1,1,0,0,0.09,0.0051,0.43,-2.596,2,0,-4.235,37.37,-2.3400000000000034,1,0,0,0,3.46,0,0,0,0,0,0,0,4,1,3
2,1,WIN,0.0011,0.08,-1.427,3,0,0.198,22.42,-1.6599999999999966,1,0,0,0,0.0,0.0145,7.28,-2.753,0,0,4.577,54.59,7.560000000000002,0,2,0,0,5.36,0.0018,0.78,-1.002,0,1,-1.253,,,0,1,0,0,0.09,0.0015,0.17,-1.781,0,0,-1.035,28.38,-11.720000000000002,0,1,0,0,0.06,0.0055,0.34,4.82,0,0,3.248,62.67,-5.409999999999997,0,0,0,0,1.22,0,0,20,-28,1,28,2,4,1,3
3,1,WIN,0.0011,0.16,-0.298,1,0,0.428,45.09,-0.9899999999999949,0,0,0,0,0.27,0.0141,9.41,-1.093,0,0,5.642,55.47,15.089999999999996,0,2,0,0,3.95,0.0019,0.13,-1.036,0,0,-1.058,41.75,-9.29,0,0,0,0,0.11,0.0016,0.0,-1.028,0,0,-0.44,41.4,12.079999999999998,0,0,0,0,0.31,0.0044,1.61,2.878,0,0,2.268,59.23,-1.3500000000000014,0,0,0,0,1.21,0,0,15,-17,1,17,2,3,0,3
4,1,WIN,0.0027,0.02,0.169,0,0,0.352,53.52,11.410000000000004,3,0,0,0,0.02,0.0139,2.09,1.851,0,0,-0.675,57.32,1.8500000000000014,0,1,0,0,3.86,0.0035,0.01,-0.397,0,0,-0.13,37.98,-3.8900000000000006,1,0,1,1,0.02,0.0032,0.04,-0.144,0,0,0.251,55.41,6.559999999999995,2,0,1,0,0.03,0.0058,0.05,-1.366,0,0,-1.749,41.05,-2.6000000000000014,0,1,0,0,0.23,0,0,9,-2,1,2,2,4,0,4
5,0,R,0.0008,0.08,-0.598,0,0,0.563,47.1,12.950000000000003,0,1,0,0,0.18,0.0132,9.62,4.428,0,0,1.212,49.44,-4.210000000000001,0,1,0,0,8.95,0.0023,0.06,0.445,0,0,0.518,47.41,-12.030000000000001,0,1,1,0,0.0,0.0015,0.18,-0.644,0,1,0.246,45.45,-4.459999999999994,0,1,0,1,0.24,0.0046,0.39,-1.105,0,0,-0.756,,,0,1,0,0,0.81,1,4,4,4,0,0,0,4,0,4
6,0,R,0.0007,0.03,-0.064,0,0,1.567,37.36,-12.740000000000002,1,1,0,0,0.02,0.0125,2.73,-2.862,0,0,-5.335,46.96,-2.479999999999997,0,0,0,0,3.06,0.0013,0.07,-1.679,0,0,-0.275,42.57,2.1799999999999997,0,1,0,0,0.29,0.0007,0.02,-0.82,0,0,0.834,37.82,-0.6599999999999966,0,0,0,0,0.29,0.0034,0.72,-1.387,0,0,-3.08,40.22,-7.770000000000003,0,1,0,0,0.2,0,0,1,0,0,0,0,4,0,4
7,0,R,0.0011,0.02,-0.902,2,0,1.302,41.94,13.739999999999998,1,0,0,0,0.02,0.0116,2.58,-1.912,0,0,-1.304,50.34,2.950000000000003,0,0,0,0,0.73,0.0017,0.28,-0.391,0,3,0.812,38.39,-8.920000000000002,0,1,0,0,0.12,0.0013,0.04,-0.578,0,0,0.84,36.17,-11.519999999999996,0,1,0,0,0.0,0.0036,0.23,1.064,0,0,0.899,50.08,-5.130000000000003,0,2,0,0,0.33,0,0,15,-15,1,15,1,4,-1,5
8,0,R,0.0008,0.04,-0.526,0,0,0.599,46.66,7.989999999999995,0,1,0,0,0.02,0.0107,12.68,-1.61,0,0,6.504,54.49,7.530000000000001,0,0,0,0,5.78,0.0027,0.1,2.569,0,1,3.388,58.94,-10.39,0,0,0,0,0.47,0.001,0.1,0.123,0,0,1.075,51.73,-4.18,0,1,0,0,0.29,0.0037,0.24,2.412,0,1,7.919,67.77,24.659999999999997,0,1,0,0,2.0,0,0,1,0,0,0,4,4,1,3
9,1,WIN,0.0009,0.02,-0.437,2,0,0.728,35.37,-12.480000000000004,0,0,0,0,0.03,0.0105,16.04,1.345,0,0,8.785,53.23,2.8899999999999935,0,0,0,0,0.37,0.0015,0.22,-0.351,0,0,0.157,46.77,-9.849999999999994,0,0,0,1,0.2,0.0012,0.01,-1.042,0,0,0.095,42.19,7.299999999999997,0,1,0,0,0.16,0.0038,1.0,3.348,0,3,4.316,65.08,3.3200000000000003,1,0,0,0,0.03,0,0,5,-2,1,2,2,4,-1,5
10,1,WIN,0.0007,0.02,-0.589,0,0,0.927,43.97,6.089999999999996,1,1,0,1,0.2,0.0103,33.71,6.983,0,0,20.091,61.45,6.960000000000001,0,1,0,0,2.21,0.0013,5.96,0.069,0,1,0.772,49.83,-5.410000000000004,0,0,0,0,2.62,0.001,0.56,-0.677,0,0,0.479,40.04,-9.050000000000004,0,0,0,1,0.35,0.0034,6.76,6.027,0,4,7.506,65.52,-2.480000000000004,2,0,0,0,3.8,1,2,15,2,0,0,2,2,0,2
