n,out,fam,d,rsi15,dem15,sup15,eqh15,choch15,30M_trend,30M_svp_pos,30M_dem_below,30M_sup_above,30M_eqh,30M_choch,30M_rsi,1H_trend,1H_svp_pos,1H_dem_below,1H_sup_above,1H_eqh,1H_choch,1H_rsi,4H_trend,4H_svp_pos,4H_dem_below,4H_sup_above,4H_eqh,4H_choch,4H_rsi,1D_trend,1D_svp_pos,1D_dem_below,1D_sup_above,1D_eqh,1D_choch,1D_rsi
1,1,WIN,2025-08-01,34.43,0.01,0.14,1,3,-1.85,0.5,0.07,0.09,0,0,42.5,-0.94,0.5,0.1,0.34,0,0,42.9,-0.98,0.5,0.11,0.92,0,0,37.4,-1.71,0.5,0.3,1.16,0,1,42.9
2,1,WIN,2025-08-05,28.53,0.08,0.0,1,1,-2.62,0.5,0.14,0.05,0,0,28.4,-2.45,0.5,0.52,0.06,0,1,50,-1.29,0.5,0.08,0.27,0,0,62.7,1.21,0.5,0.61,0.45,0,1,54.6
3,1,WIN,2025-08-06,45.13,0.16,0.27,0,2,1.01,0.5,0.0,0.22,0,0,41.4,-1.59,0.5,0.08,0.07,0,0,41.8,-0.98,0.5,0.42,0.32,0,0,59.2,1.13,0.5,0.76,0.32,0,1,55.5
4,1,WIN,2025-08-12,50.76,0.02,0.02,1,2,0.19,0.5,0.03,0.02,1,0,55.4,0.43,0.5,0.01,0.02,1,0,38.0,-0.62,0.5,0.02,0.1,0,1,41.0,-0.66,0.5,0.39,0.72,0,0,57.3
5,0,R,2025-08-13,47.34,0.08,0.18,0,5,-0.46,0.5,0.1,0.13,0,1,45.5,-1.44,0.5,0.02,0.0,0,0,47.4,0.35,0.5,0.07,0.15,0,0,50,-0.74,0.5,0.61,0.56,0,0,49.4
6,0,R,2025-08-19,56.91,0.03,0.02,1,4,-1.01,0.5,0.02,0.28,0,0,37.8,-0.6,0.5,0.04,0.16,0,0,42.6,-1.22,0.5,0.15,0.04,0,1,40.2,-0.24,0.5,0.15,0.17,0,0,47.0
7,0,R,2025-08-21,41.74,0.02,0.02,2,2,-1.35,0.5,0.04,0.0,0,1,36.2,-0.55,0.5,0.2,0.09,0,1,38.4,-0.35,0.5,0.08,0.11,0,0,50.1,-0.2,0.5,0.27,0.08,0,0,50.3
8,0,R,2025-08-25,47.9,0.04,0.02,0,1,-0.09,0.5,0.08,0.23,0,0,51.7,-0.81,0.5,0.03,0.14,0,0,58.9,2.62,0.5,0.05,0.45,0,0,67.8,1.0,0.5,0.98,0.45,0,0,54.5
9,1,WIN,2025-08-27,45.02,0.02,0.03,1,2,0.01,0.5,0.01,0.13,0,1,42.2,-1.7,0.5,0.14,0.12,0,0,46.8,0.39,0.5,0.25,0.01,0,0,65.1,2.2,0.5,1.42,0.03,0,0,53.2
10,1,WIN,2025-08-29,47.17,0.02,0.2,0,1,-0.86,0.5,0.39,0.24,0,0,40.0,-1.11,0.5,3.17,1.39,0,0,49.8,0.02,0.5,1.37,0.77,0,0,65.5,2.22,0.5,2.26,0.15,0,1,61.5
11,1,WIN,2025-09-01,44.68,0.23,0.03,0,2,-0.22,0.5,1.18,0.98,0,1,54.0,-0.74,0.5,2.47,0.79,0,0,63.8,2.59,0.5,4.11,0.82,0,0,82.0,2.23,0.5,4.28,0.16,0,1,65.7
