n,out,fam,dem_conf,sup_conf,dem_min_mtf,sup_min_mtf,net_conf,buy_ml,sell_ml,sell_at_low,buy_at_high,bub_net,sell_absorbed
1,1,WIN,5,3,-1.95,-0.38,2,0,0,0,0,0,0
2,1,WIN,4,5,-2.65,-4.02,-1,0,28,2,0,-28,1
3,1,WIN,4,4,-2.83,-1.91,0,0,17,1,0,-17,1
4,1,WIN,4,5,-1.18,-1.2,-1,0,2,1,0,-2,1
5,0,R,4,5,-1.23,-4.82,-1,4,0,0,1,4,0
6,0,R,4,4,-2.87,-4.37,0,0,0,0,0,0,0
7,0,R,4,5,-2.53,-1.55,-1,0,15,2,0,-15,1
8,0,R,4,4,-4.23,-3.39,0,0,0,0,0,0,0
9,1,WIN,4,5,-1.21,-2.98,-1,0,2,1,0,-2,1
10,1,WIN,3,4,-1.62,-3.37,-1,2,0,0,1,2,0
11,1,WIN,1,1,0.23,0.03,0,0,0,0,0,0,0
12,1,WIN,2,5,0.79,-0.38,-3,0,0,0,0,0,0
13,1,WIN,3,3,0.46,-0.2,0,0,11,1,0,-11,1
14,1,WIN,2,3,0.2,-0.33,-1,8,0,0,2,8,0
15,1,WIN,2,2,-0.26,0.44,0,8,0,0,0,8,0
16,1,WIN,3,3,-0.7,-0.73,0,0,13,3,0,-13,1
17,0,C,2,2,0.29,0.43,0,6,0,0,0,6,0
18,0,C,3,1,-0.09,0.93,2,8,0,0,0,8,0
19,1,WIN,2,3,0.0,-0.56,-1,12,0,0,5,12,0
20,0,C,3,4,-0.47,-0.28,-1,0,0,0,0,0,0
21,0,C,3,1,-0.36,0.26,2,0,7,1,0,-7,1
22,1,WIN,1,2,0.23,0.2,-1,34,0,0,4,34,0
23,0,C,2,1,0.57,0.03,1,0,32,2,0,-32,1
24,0,MGMT,3,4,0.25,-0.13,-1,0,6,1,0,-6,1
25,0,C,3,2,-0.69,-0.72,1,0,10,2,0,-10,1
26,1,WIN,4,3,-0.54,-0.22,1,0,4,0,0,-4,0
27,0,D,3,3,-0.64,-0.2,0,0,0,0,0,0,0
28,1,WIN,3,3,-1.19,-0.79,0,2,0,0,1,2,0
29,1,WIN,3,4,-0.54,-0.68,-1,0,2,1,0,-2,1
30,1,WIN,3,4,-0.57,-0.98,-1,22,0,0,5,22,0
31,0,C,3,4,-0.32,-1.09,-1,2,0,0,0,2,0
32,0,MGMT,3,3,-0.27,-0.62,0,3,0,0,1,3,0
33,1,WIN,4,4,-1.6,-0.69,0,0,0,0,0,0,0
34,1,WIN,3,4,-0.3,-1.15,-1,2,0,0,0,2,0
35,1,WIN,4,4,-0.37,-0.79,0,17,0,0,4,17,0
36,0,C,3,3,-1.76,-0.41,0,0,0,0,0,0,0
37,1,WIN,3,4,-1.08,-1.83,-1,0,0,0,0,0,0
38,1,WIN,3,4,-1.22,-1.68,-1,0,0,0,0,0,0
39,1,WIN,3,5,-0.63,-0.98,-2,0,0,0,0,0,0
40,1,WIN,3,5,-1.22,-2.27,-2,2,4,0,0,-2,0
41,1,WIN,1,2,0.13,-0.1,-1,22,0,0,2,22,0
42,0,C,3,1,-0.74,0.24,2,0,0,0,0,0,0
43,1,WIN,2,3,-0.18,-0.1,-1,27,9,0,3,18,0
44,1,WIN,3,5,-0.3,-0.41,-2,0,47,1,0,-47,1
45,1,WIN,4,4,-0.89,-0.45,0,0,0,0,0,0,0
46,0,C,3,4,-0.09,-0.02,-1,0,2,0,0,-2,0
47,1,WIN,4,5,-0.78,-0.67,-1,2,0,0,1,2,0
48,0,C,4,3,-0.41,-0.0,1,0,4,1,0,-4,1
49,0,D,3,3,0.02,0.31,0,0,8,2,0,-8,1
50,0,D,3,3,-0.22,-0.34,0,0,24,4,0,-24,1
51,1,WIN,0,1,99,1.0,-1,21,0,0,3,21,0
52,1,WIN,2,1,0.26,0.64,1,0,0,0,0,0,0
53,1,WIN,0,2,99,0.4,-2,12,0,0,0,12,0
54,1,WIN,1,0,-0.18,99,1,8,0,0,2,8,0
55,0,C,0,2,99,-0.09,-2,4,6,2,0,-2,1
56,0,C,4,3,-0.32,-0.61,1,0,14,0,0,-14,0
57,0,C,2,4,-0.58,-0.96,-2,16,0,0,7,16,0
58,0,C,4,4,-0.63,-0.89,0,4,0,0,1,4,0
59,0,C,3,4,-0.2,-0.95,-1,23,0,0,4,23,0
60,0,C,4,2,-2.23,-0.19,2,0,6,0,0,-6,0
61,1,WIN,4,3,-1.44,-1.21,1,2,0,0,1,2,0
62,1,WIN,3,3,-0.6,0.24,0,0,4,1,0,-4,1
63,1,WIN,3,1,-2.69,0.51,2,0,12,2,0,-12,1
64,0,MGMT,2,2,-0.37,-0.53,0,4,2,0,1,2,0
65,0,C,3,1,0.5,0.88,2,0,0,0,0,0,0
66,0,D,4,3,-0.93,-0.96,1,0,0,0,0,0,0
67,0,D,1,4,0.56,-1.86,-3,0,0,0,0,0,0
68,0,D,4,5,-0.91,-1.15,-1,10,12,2,2,-2,1
69,0,D,5,3,-2.48,-0.52,2,4,0,0,1,4,0
70,1,WIN,3,5,-0.25,0.04,-2,0,0,0,0,0,0
71,1,WIN,5,3,-1.33,0.08,2,0,13,1,0,-13,1
72,1,WIN,5,3,-0.64,-1.21,2,8,2,0,3,6,0
73,1,WIN,4,4,-0.27,-0.58,0,0,15,3,0,-15,1
74,1,WIN,4,5,-0.71,-0.9,-1,0,0,0,0,0,0
75,1,WIN,5,4,-0.94,-0.96,1,0,0,0,0,0,0
76,1,WIN,3,4,-0.26,-0.5,-1,10,0,0,0,10,0
77,0,MGMT,3,3,-0.65,-0.77,0,0,0,0,0,0,0
78,1,WIN,3,4,-0.65,-1.13,-1,0,0,0,0,0,0
79,0,C,4,4,-1.36,-1.92,0,0,8,2,0,-8,1
80,0,D,5,4,-1.05,-2.86,1,0,0,0,0,0,0
81,1,WIN,4,4,-1.23,-2.27,0,0,47,2,0,-47,1
82,1,WIN,5,4,-1.83,-1.58,1,0,10,0,0,-10,0
83,0,C,5,4,-0.75,-1.39,1,61,0,0,3,61,0
84,0,C,4,4,-2.09,-2.9,0,0,4,0,0,-4,0
85,0,C,5,4,-1.21,-1.61,1,0,8,0,0,-8,0
86,0,D,5,5,-2.68,-2.28,0,0,4,1,0,-4,1
87,0,D,5,5,-2.36,-0.75,0,0,2,1,0,-2,1
88,1,WIN,4,4,-3.33,-2.94,0,12,0,0,1,12,0
89,0,D,4,3,-2.89,-1.59,1,0,6,0,0,-6,0
90,1,WIN,5,4,-0.69,-0.2,1,0,9,4,0,-9,1
91,1,WIN,4,3,-2.76,-0.64,1,0,4,2,0,-4,1
92,0,D,4,5,-1.15,-0.87,-1,19,0,0,3,19,0
93,0,D,4,4,-0.9,-1.4,0,0,0,0,0,0,0
94,0,D,5,4,-0.96,-0.39,1,0,0,0,0,0,0
95,1,WIN,4,3,-0.88,-0.79,1,0,31,2,0,-31,1
96,1,WIN,4,4,-1.68,-1.03,0,0,10,2,0,-10,1
