n,out,fam,regime,absorption,bub_net,clean_sky,demand_room_4h,displacement_15m,excess_rsi_htf,maxbar_atr_15m,rangepos_15m,rangepos_4h,rangewidth_atr_15m,rotational_smc,rsi_slope_1h,supply_overhead_min
1,1,WIN,RANGE,0,0.0,0,0.43,1.14,42.91,1.59,0.288,0.225,7.59,1.0,1.1099999999999994,0.09
2,1,WIN,RANGE,-1.0,-28.0,0,0.34,0.86,62.67,1.29,0.307,0.79,8.69,0.0,,0.0
3,1,WIN,RANGE,-1.0,-17.0,0,1.61,0.85,59.23,1.32,0.432,0.812,10.47,0,-9.29,0.11
4,1,WIN,RANGE,-1.0,-2.0,0,0.05,1.31,57.32,1.97,0.65,0.183,3.23,-4.0,-3.8900000000000006,0.02
5,0,R,RANGE,1.0,4.0,0,0.39,0.45,49.44,1.29,0.545,0.35,10.03,3.0,-12.030000000000001,0.0
6,0,R,RANGE,0,0.0,0,0.72,1.38,46.96,5.15,0.393,0.268,15.12,0.0,2.1799999999999997,0.02
7,0,R,RANGE,-1.0,-15.0,0,0.23,1.8,50.34,2.59,0.598,0.627,6.71,0.0,-8.920000000000002,0.0
8,0,R,RANGE,0,0.0,0,0.24,0.12,67.77,1.3,0.785,0.817,20.54,2.0,-10.39,0.02
9,1,WIN,RANGE,-1.0,-2.0,0,1.0,0.17,65.08,1.29,0.533,0.828,8.56,1.0,-9.849999999999994,0.03
10,1,WIN,RANGE,1.0,2.0,0,6.76,0.01,65.52,1.2,0.571,0.878,12.28,2.0,-5.410000000000004,0.2
11,1,WIN,RANGE,0,0.0,0,15.85,0.25,82.05,1.29,0.851,0.911,20.39,1.0,-8.260000000000005,0.03
12,1,WIN,BULL,0,0.0,0,13.29,0.62,78.11,1.48,0.406,0.822,7.99,3.0,-22.860000000000007,0.09
13,1,WIN,BULL,-1.0,-11.0,0,8.49,0.11,76.51,1.29,0.392,0.784,9.7,1.0,-20.769999999999996,0.03
14,1,WIN,BULL,2.0,8.0,0,8.63,0.55,76.51,1.55,0.504,0.809,8.73,0.0,5.350000000000001,0.31
15,1,WIN,BULL,0,8.0,0,36.59,1.97,79.73,1.6,0.826,0.934,21.47,2.0,-9.929999999999993,0.44
16,1,WIN,BULL,-1.0,-13.0,0,2.71,0.88,77.51,1.77,0.47,0.643,6.97,0.0,-11.29,0.0
17,0,C,BULL,0,6.0,0,9.14,0.47,80.01,1.32,0.614,0.888,5.83,1.0,-11.259999999999991,0.43
18,0,C,BULL,0,8.0,0,23.83,1.14,78.79,1.19,0.448,0.815,10.49,2.0,-7.669999999999995,0.93
19,1,WIN,BULL,5.0,12.0,0,12.24,0.18,79.45,1.33,0.334,0.661,10.93,2.0,-20.940000000000005,0.98
20,0,C,BULL,0,0.0,0,11.74,0.56,81.16,1.61,0.262,0.819,8.08,0,0.46000000000000085,0.05
21,0,C,BULL,-1.0,-7.0,0,7.81,0.16,87.29,1.59,0.627,0.884,7.23,1.0,-26.900000000000006,0.26
22,1,WIN,BULL,4.0,34.0,0,6.72,0.26,81.09,1.47,0.655,0.836,5.89,-1.0,-27.289999999999992,0.2
23,0,C,BULL,-1.0,-32.0,0,7.54,0.01,87.31,1.67,0.301,0.659,10.12,-1.0,-12.21,0.03
24,0,MGMT,BEAR,-1.0,-6.0,0,1.56,0.57,59.78,1.57,0.296,0.124,7.14,1.0,4.529999999999998,0.04
25,0,C,BEAR,-1.0,-10.0,0,5.58,0.23,59.34,1.69,0.355,0.211,10.62,0.0,-9.329999999999998,0.03
