date,t,kind,price,atr,leg_atr,leg_pct,leg_usd,leg_days,path_eff,giveback_atr,power_score,durab_days,durab_atr,zigzag_out_atr,truncated,yr,tier,tier_clean
2026-03-17 05:15,1773724500,TOP,5044.27,7.17,75.49,10.74,541.6,2.24,0.39,9.89,29.7,45.8,131.8,75.5,0,2026,MONSTRO,MONSTRO
2025-08-27 07:15,1756278900,BOT,3373.51,2.94,69.71,6.08,205.0,5.15,0.22,13.09,15.2,181.1,756.3,69.7,0,2025,MONSTRO,MONSTRO
2026-01-22 03:15,1769051700,BOT,4785.75,12.83,63.32,16.97,812.2,4.64,0.27,9.46,16.9,6.4,63.3,63.3,0,2026,MONSTRO,MONSTRO
2025-11-06 23:00,1762470000,BOT,3974.85,4.72,57.22,6.8,270.3,4.41,0.19,11.02,11.1,131.7,343.7,57.2,0,2025,MONSTRO,MONSTRO
2024-07-16 00:45,1721090700,BOT,2419.99,1.13,56.23,2.63,63.7,1.51,0.22,18.25,12.2,3.1,56.2,56.2,0,2024,MONSTRO,MONSTRO
2025-10-20 19:45,1760989500,TOP,4381.38,7.09,53.23,8.61,377.3,1.09,0.41,12.68,21.9,42.1,69.8,53.2,0,2025,MONSTRO,MONSTRO
2025-04-08 23:30,1744155000,BOT,2970.1,5.4,51.06,9.28,275.6,2.98,0.23,9.33,11.6,275.9,486.9,51.1,0,2025,MONSTRO,MONSTRO
2024-09-12 02:45,1726109100,BOT,2510.89,1.56,50.47,3.14,78.8,2.08,0.29,13.06,14.5,416.0,1977.6,50.5,0,2024,MONSTRO,MONSTRO
2025-10-10 04:00,1760068800,BOT,3946.65,8.99,48.11,10.96,432.6,4.61,0.21,9.92,10.1,11.6,48.4,48.1,0,2025,MONSTRO,FORTE
2026-05-05 22:30,1778020200,BOT,4546.19,4.98,43.92,4.81,218.7,1.65,0.26,12.49,11.4,7.1,45.7,43.9,0,2026,MONSTRO,MONSTRO
2025-02-26 23:30,1740612600,TOP,2920.75,2.06,42.94,3.02,88.3,1.6,0.28,9.73,11.9,3.3,42.9,42.9,0,2025,MONSTRO,MONSTRO
2025-03-11 01:00,1741654800,BOT,2879.84,2.91,42.94,4.34,125.0,3.26,0.24,6.63,10.4,295.9,933.7,42.9,0,2025,MONSTRO,MONSTRO
2024-09-20 01:15,1726794900,BOT,2584.77,1.18,42.3,1.94,50.0,1.5,0.25,14.97,10.5,37.0,173.6,42.3,0,2024,MONSTRO,MONSTRO
2024-07-30 01:30,1722303000,BOT,2376.45,2.01,40.67,3.45,81.9,1.91,0.31,7.12,12.4,4.3,50.3,40.7,0,2024,MONSTRO,MONSTRO
2025-10-03 03:30,1759462200,BOT,3838.0,5.64,39.24,5.76,221.2,3.42,0.22,6.53,8.5,155.4,312.3,39.2,0,2025,MONSTRO,FORTE
2024-10-31 01:00,1730336400,TOP,2790.12,1.51,38.85,2.11,58.9,0.58,0.55,8.05,21.2,60.4,167.4,38.9,0,2024,MONSTRO,MONSTRO
2025-12-09 06:00,1765260000,BOT,4169.77,4.75,38.68,4.41,183.8,3.24,0.2,9.12,7.6,68.6,300.6,38.7,0,2025,MONSTRO,FORTE
2026-05-13 00:00,1778630400,TOP,4726.76,6.38,38.57,5.21,246.2,2.9,0.18,8.57,6.8,7.7,42.8,38.6,0,2026,MONSTRO,MEDIO
2025-09-19 01:45,1758246300,BOT,3632.18,4.25,37.45,4.38,159.0,2.23,0.33,5.37,12.3,165.1,463.1,37.4,0,2025,MONSTRO,MONSTRO
2025-04-17 19:15,1744917300,BOT,3310.84,5.19,36.41,5.71,189.1,1.38,0.39,6.2,14.2,2.3,36.4,36.4,0,2025,MONSTRO,MONSTRO
2025-05-01 12:00,1746100800,BOT,3201.67,6.71,34.74,7.28,233.0,3.24,0.23,6.94,8.1,8.6,34.7,34.7,0,2025,MONSTRO,FORTE
2025-05-06 20:45,1746564300,TOP,3434.68,4.63,34.51,4.65,159.9,2.09,0.18,11.81,6.3,26.0,67.8,34.5,0,2025,MONSTRO,MEDIO
2024-12-18 01:45,1734486300,TOP,2651.75,2.01,34.47,2.61,69.2,0.84,0.46,10.33,15.8,9.0,34.5,34.5,0,2024,MONSTRO,MONSTRO
