num,entry_t,entry,sl,exit,R,win,yr
1,1716898500,2354.49,2339.18,2339.18,-1.0,0,2024
2,1717065900,2340.64,2321.02,2321.02,-1.0,0,2024
3,1717423200,2339.43,2313.02,2366.53,1.03,1,2024
4,1717686000,2370.3,2352.13,2352.13,-1.0,0,2024
5,1718020800,2305.87,2284.81,2323.06,0.82,1,2024
6,1718352000,2319.81,2308.12,2326.99,0.61,1,2024
7,1718671500,2324.09,2318.55,2318.55,-1.0,0,2024
8,1718713800,2322.16,2305.41,2339.89,1.06,1,2024
9,1718890200,2345.17,2330.24,2357.88,0.85,1,2024
10,1718955900,2363.03,2354.2,2354.2,-1.0,0,2024
11,1719306900,2332.23,2321.88,2321.88,-1.0,0,2024
12,1719489600,2319.41,2292.01,2354.89,1.29,1,2024
13,1720055700,2361.55,2355.85,2355.85,-1.0,0,2024
14,1720102500,2360.4,2349.35,2349.35,-1.0,0,2024
15,1720183500,2372.12,2346.75,2412.75,1.6,1,2024
16,1720792800,2409.04,2389.77,2420.76,0.61,1,2024
17,1721095200,2426.33,2419.29,2438.0,1.66,1,2024
18,1721137500,2442.72,2427.63,2469.16,1.75,1,2024
19,1721697300,2403.26,2394.13,2394.13,-1.0,0,2024
20,1721723400,2403.56,2386.95,2419.08,0.93,1,2024
21,1721958300,2373.59,2354.73,2394.44,1.11,1,2024
22,1722345300,2394.46,2367.1,2416.0,0.79,1,2024
23,1722450600,2432.27,2413.85,2445.8,0.73,1,2024
24,1722564900,2451.47,2433.14,2460.54,0.49,1,2024
25,1722830400,2455.78,2410.53,2410.53,-1.0,0,2024
26,1723031100,2401.06,2377.52,2424.27,0.99,1,2024
27,1723199400,2430.07,2415.63,2441.14,0.77,1,2024
28,1723469400,2451.99,2438.57,2469.72,1.32,1,2024
29,1723552200,2470.97,2457.18,2457.18,-1.0,0,2024
30,1723618800,2469.71,2453.84,2453.84,-1.0,0,2024
31,1723716000,2459.81,2446.97,2446.97,-1.0,0,2024
32,1723794300,2462,2449.82,2503.16,3.38,1,2024
33,1724077800,2502.61,2483.82,2521.17,0.99,1,2024
34,1724264100,2518.69,2491.33,2491.33,-1.0,0,2024
35,1724400900,2496.58,2485.53,2502.91,0.57,1,2024
36,1724779800,2519.72,2501.48,2501.48,-1.0,0,2024
37,1724890500,2514.11,2501.62,2523.2,0.73,1,2024
38,1724998500,2522.41,2511.2,2511.2,-1.0,0,2024
39,1725351300,2504.59,2491.65,2491.65,-1.0,0,2024
40,1725447600,2489.95,2469.81,2513.34,1.16,1,2024
41,1725600600,2520.19,2512.39,2512.39,-1.0,0,2024
42,1725625800,2524.82,2502.55,2502.55,-1.0,0,2024
43,1725963300,2507.82,2491.66,2520.35,0.78,1,2024
44,1726119000,2518.47,2510.11,2548.65,3.61,1,2024
45,1726189200,2562.19,2555.94,2566.91,0.76,1,2024
46,1726231500,2575.88,2562.0,2562.0,-1.0,0,2024
47,1726655400,2576.3,2564.62,2567.95,-0.71,0,2024
48,1726731900,2584.33,2548.51,2619.05,0.97,1,2024
49,1727058600,2623.07,2615.12,2626.61,0.45,1,2024
50,1727096400,2629.17,2612.18,2656.39,1.6,1,2024
51,1727232300,2670.02,2653.97,2653.97,-1.0,0,2024
52,1727336700,2664.66,2654.49,2666.81,0.21,1,2024
53,1727763300,2644.57,2624.67,2657.01,0.63,1,2024
54,1727973000,2659.04,2635.59,2635.59,-1.0,0,2024
55,1728054000,2666.67,2629.83,2629.83,-1.0,0,2024
56,1728384300,2646.13,2626.82,2626.82,-1.0,0,2024
57,1728563400,2621.21,2600.32,2642.94,1.04,1,2024
58,1728653400,2650.02,2613.15,2676.24,0.71,1,2024
59,1729173600,2689.96,2671.31,2708.43,0.99,1,2024
60,1729260900,2717.11,2700.26,2730.24,0.78,1,2024
61,1729510200,2737.69,2724.2,2724.2,-1.0,0,2024
62,1729608300,2741.83,2712.67,2712.67,-1.0,0,2024
63,1729860300,2731.44,2715.47,2739.99,0.54,1,2024
64,1730126700,2744.25,2726.29,2776.54,1.8,1,2024
65,1730267100,2783.16,2769.64,2769.64,-1.0,0,2024
66,1730464200,2755.99,2743.63,2743.63,-1.0,0,2024
67,1730790000,2740.6,2724.0,2724.0,-1.0,0,2024
68,1730982600,2670.31,2651.11,2690.31,1.04,1,2024
69,1731009600,2705.04,2638.0,2638.0,-1.0,0,2024
70,1731465900,2612.16,2593.42,2593.42,-1.0,0,2024
71,1731600900,2575.67,2547.64,2620.95,1.62,1,2024
72,1732007700,2630.56,2533.45,2719.69,0.92,1,2024
73,1732673700,2637.08,2617.68,2648.65,0.6,1,2024
74,1732842900,2644.9,2632.8,2658.11,1.09,1,2024
75,1733206500,2649.04,2632.59,2632.59,-1.0,0,2024
76,1733319900,2648.35,2630.59,2630.59,-1.0,0,2024
77,1733458500,2642.02,2611.53,2666.31,0.8,1,2024
78,1733795100,2667.31,2655.34,2698.33,2.59,1,2024
79,1733911200,2698.34,2673.07,2716.3,0.71,1,2024
80,1733977800,2713.01,2694.42,2694.42,-1.0,0,2024
81,1734701400,2608.85,2588.2,2623.14,0.69,1,2024
82,1735173000,2621.05,2609.18,2633.02,1.01,1,2024
83,1735562700,2621.39,2607.88,2607.88,-1.0,0,2024
84,1735631100,2613.72,2601.55,2622.52,0.72,1,2024
85,1735779600,2629.45,2594.24,2661.36,0.91,1,2025
86,1736162100,2644.74,2623.72,2623.72,-1.0,0,2025
87,1736213400,2638.6,2632.25,2655.44,2.65,1,2025
88,1736341200,2655.98,2644.65,2662.32,0.56,1,2025
89,1736405100,2666.59,2654.39,2678.39,0.97,1,2025
90,1736516700,2682.7,2662.09,2662.09,-1.0,0,2025
