num,entry_t,entry,sl,exit,R,win,yr
1,1716902100,2360.83,2339.46,2339.46,-1.0,0,2024
2,1717075800,2346.16,2321.02,2321.02,-1.0,0,2024
3,1717423200,2339.43,2313.56,2366.64,1.05,1,2024
4,1717687800,2377.26,2352.13,2352.13,-1.0,0,2024
5,1718035200,2309.7,2286.24,2323.17,0.57,1,2024
6,1718343000,2310.09,2301.02,2327.14,1.88,1,2024
7,1718718300,2326.73,2305.34,2357.91,1.46,1,2024
8,1719477000,2306.07,2295.96,2323.88,1.76,1,2024
9,1719577800,2336.33,2318.57,2318.57,-1.0,0,2024
10,1719831600,2333.83,2317.6,2355.0,1.3,1,2024
11,1720154700,2363.95,2355.49,2355.49,-1.0,0,2024
12,1720184400,2376.79,2347.6,2412.92,1.24,1,2024
13,1720806300,2417.84,2390.23,2469.3,1.86,1,2024
14,1721279700,2468.98,2456.64,2456.64,-1.0,0,2024
15,1721733300,2409.85,2386.95,2386.95,-1.0,0,2024
16,1721961900,2374.23,2354.73,2394.44,1.04,1,2024
17,1722345300,2394.46,2375.44,2416.28,1.15,1,2024
18,1722433500,2426.17,2402.61,2445.89,0.84,1,2024
19,1722515400,2453.11,2428.67,2460.61,0.31,1,2024
20,1722831300,2454.13,2410.83,2410.83,-1.0,0,2024
21,1723031100,2401.06,2377.86,2424.34,1.0,1,2024
22,1723168800,2425.29,2376.91,2469.52,0.91,1,2024
23,1723624200,2477.66,2454.14,2454.14,-1.0,0,2024
24,1723721400,2461.58,2445.7,2445.7,-1.0,0,2024
25,1723806900,2468.39,2449.54,2503.1,1.84,1,2024
26,1724139900,2514.89,2496.56,2496.56,-1.0,0,2024
27,1724404500,2501.22,2477.12,2511.71,0.44,1,2024
28,1724782500,2524.05,2502.21,2502.21,-1.0,0,2024
29,1724904000,2516.24,2491.91,2491.91,-1.0,0,2024
30,1725516000,2503.67,2493.18,2513.6,0.95,1,2024
31,1725625800,2524.82,2470.73,2582.4,1.06,1,2024
32,1726455600,2584.34,2562.27,2562.27,-1.0,0,2024
33,1726683300,2594.38,2559.48,2559.48,-1.0,0,2024
34,1726735500,2584.91,2557.9,2604.37,0.72,1,2024
35,1727061300,2630.78,2600.86,2656.34,0.85,1,2024
36,1727337600,2666.17,2654.56,2666.83,0.06,1,2024
37,1727763300,2644.57,2633.17,2657.24,1.11,1,2024
38,1727801100,2666.42,2623.12,2623.12,-1.0,0,2024
39,1728568800,2626.76,2600.59,2656.05,1.12,1,2024
40,1728886500,2665.55,2600.47,2724.64,0.91,1,2024
41,1729498500,2732.54,2703.09,2738.88,0.22,1,2024
42,1730166300,2752.02,2739.05,2776.71,1.9,1,2024
43,1730267100,2783.16,2772.74,2772.74,-1.0,0,2024
44,1730797200,2744.62,2724.0,2724.0,-1.0,0,2024
45,1730983500,2673.69,2641.23,2703.75,0.93,1,2024
46,1731891600,2580.13,2534.87,2621.09,0.9,1,2024
47,1732005000,2626.66,2577.88,2696.52,1.43,1,2024
48,1732311900,2714.41,2681.11,2719.69,0.16,1,2024
49,1732626000,2641.7,2608.95,2642.86,0.04,1,2024
50,1733454900,2636.32,2611.81,2666.36,1.23,1,2024
51,1733826600,2673.76,2655.34,2698.33,1.33,1,2024
52,1733929200,2712.57,2673.07,2673.07,-1.0,0,2024
53,1734705000,2614.21,2588.2,2606.76,-0.29,0,2024
54,1735633800,2615.99,2601.58,2631.89,1.1,1,2024
55,1735812900,2644.84,2595.31,2672.06,0.55,1,2025
56,1736491500,2678.21,2667.88,2667.88,-1.0,0,2025
57,1736517600,2683.21,2662.79,2662.79,-1.0,0,2025
58,1736928000,2683.41,2654.97,2714.5,1.09,1,2025
59,1737424800,2720.66,2700.51,2741.01,1.01,1,2025
60,1737507600,2748.74,2722.98,2770.62,0.85,1,2025
61,1737718200,2776.66,2734.18,2734.18,-1.0,0,2025
62,1738073700,2753.99,2733.61,2776.68,1.11,1,2025
63,1738240200,2780.45,2742.86,2813.21,0.87,1,2025
64,1738674900,2835.02,2805.62,2864.34,1.0,1,2025
65,1738770300,2880.09,2851.97,2851.97,-1.0,0,2025
66,1738937700,2873.49,2851.34,2898.13,1.11,1,2025
67,1739235600,2930.18,2900.93,2900.93,-1.0,0,2025
68,1739379600,2908.81,2861.44,2936.74,0.59,1,2025
69,1740033900,2947.88,2875.49,2950.06,0.03,1,2025
70,1741012200,2878.12,2835.4,2911.42,0.78,1,2025
71,1741354200,2922.97,2895.16,2895.16,-1.0,0,2025
72,1741676400,2899.93,2878.38,2914.74,0.69,1,2025
73,1741794300,2928.41,2878.47,2985.39,1.14,1,2025
74,1742210100,3000.24,2980.51,3032.39,1.63,1,2025
75,1742409000,3047.78,3016.46,3016.46,-1.0,0,2025
76,1742902200,3023.42,3006.32,3048.58,1.47,1,2025
77,1743123600,3065.95,3053.44,3072.32,0.51,1,2025
