entry_t,dir,entry,stop,exit,P_add,add_t,add_stop,added,base_R,add_R,tot_R,yr
1718843400,LONG,2328.17,2327.6,2340.01,2333.69,1718850600,2327.85,1,15.0,11.09,26.09,2024
1718886600,LONG,2338.4,2337.01,2337.01,,,,0,-1.0,0.0,-1.0,2024
1718975700,LONG,2355.28,2353.98,2353.98,,,,0,-1.0,0.0,-1.0,2024
1719294300,SHORT,2324.96,2330.31,2330.31,,,,0,-1.0,0.0,-1.0,2024
1719794700,LONG,2324.85,2322.37,2324.27,,,,0,-0.23,0.0,-0.23,2024
1719807300,LONG,2324.29,2323.39,2323.39,,,,0,-1.0,0.0,-1.0,2024
1719840600,LONG,2332.69,2325.14,2325.14,,,,0,-1.0,0.0,-1.0,2024
1719969300,LONG,2329.87,2329.11,2329.11,,,,0,-1.0,0.0,-1.0,2024
1719976500,LONG,2329.21,2327.9,2355.02,2334.48,1719983700,2328.86,1,15.0,15.0,30.0,2024
1720065600,LONG,2357.94,2356.83,2356.87,,,,0,-0.97,0.0,-0.97,2024
1720073700,LONG,2353.61,2352.66,2352.66,,,,0,-1.0,0.0,-1.0,2024
1720134000,LONG,2357.07,2355.74,2362.1,2359.63,1720141200,2355.89,1,3.79,1.86,5.65,2024
1720700100,LONG,2378.86,2377.84,2377.84,,,,0,-1.0,0.0,-1.0,2024
1720762200,LONG,2408.24,2406.39,2406.39,,,,0,-1.0,0.0,-1.0,2024
1720780200,LONG,2401.16,2399.46,2399.46,,,,0,-1.0,0.0,-1.0,2024
1721175300,LONG,2467.55,2465.9,2469.35,2479.1,1721182500,2467.39,1,1.09,-5.9,-4.81,2024
1721612700,SHORT,2406.41,2412.41,2404.97,,,,0,0.24,0.0,0.24,2024
1721642400,SHORT,2404.79,2406.27,2406.27,,,,0,-1.0,0.0,-1.0,2024
1721719800,SHORT,2395.48,2396.9,2396.9,,,,0,-1.0,0.0,-1.0,2024
1721996100,SHORT,2372.9,2376.78,2376.78,,,,0,-1.0,0.0,-1.0,2024
1722537000,LONG,2436.11,2433.85,2443.6,2443.02,1722544200,2435.05,1,3.31,0.25,3.56,2024
1722557700,LONG,2449.42,2443.64,2443.64,,,,0,-1.0,0.0,-1.0,2024
1722881700,SHORT,2405.83,2408.6,2408.6,,,,0,-1.0,0.0,-1.0,2024
1723078800,SHORT,2388.59,2389.53,2389.53,,,,0,-1.0,0.0,-1.0,2024
1723423500,LONG,2428.47,2426.54,2426.54,,,,0,-1.0,0.0,-1.0,2024
1723462200,LONG,2440.7,2439.61,2469.72,2451.99,1723469400,2441.74,1,15.0,15.0,30.0,2024
1723510800,LONG,2465.51,2464.43,2464.43,,,,0,-1.0,0.0,-1.0,2024
1723525200,LONG,2458.76,2457.53,2461.13,,,,0,1.93,0.0,1.93,2024
1723555800,LONG,2473.62,2458.41,2458.41,,,,0,-1.0,0.0,-1.0,2024
1723572000,LONG,2467.48,2465.41,2465.41,,,,0,-1.0,0.0,-1.0,2024
1723593600,LONG,2466.43,2462.95,2465.02,,,,0,-0.41,0.0,-0.41,2024
1724119200,LONG,2500.11,2499.0,2501.46,,,,0,1.22,0.0,1.22,2024
1724161500,LONG,2529.75,2519.25,2519.25,,,,0,-1.0,0.0,-1.0,2024
1724200200,LONG,2514.55,2512.88,2512.88,,,,0,-1.0,0.0,-1.0,2024
1724221800,LONG,2515.3,2513.12,2513.12,,,,0,-1.0,0.0,-1.0,2024
1724344200,SHORT,2484.58,2487.72,2485.49,2481.17,1724351400,2486.68,1,-0.29,-1.38,-1.67,2024
1724364900,SHORT,2485.04,2486.12,2486.12,,,,0,-1.0,0.0,-1.0,2024
1724710500,LONG,2517.37,2516.51,2516.51,,,,0,-1.0,0.0,-1.0,2024
1724983200,LONG,2514.61,2513.75,2514.91,,,,0,0.35,0.0,0.35,2024
1725282000,SHORT,2499.76,2503.08,2496.69,,,,0,0.93,0.0,0.93,2024
1725289200,SHORT,2500.69,2502.62,2496.69,,,,0,2.06,0.0,2.06,2024
1725337800,SHORT,2495.42,2497.0,2497.0,,,,0,-1.0,0.0,-1.0,2024
1725345000,SHORT,2497.16,2498.18,2498.18,,,,0,-1.0,0.0,-1.0,2024
1725365700,SHORT,2493.26,2502.51,2489.97,2477.76,1725372900,2498.12,1,0.36,-1.32,-0.96,2024
1725386400,SHORT,2488.27,2492.45,2492.45,,,,0,-1.0,0.0,-1.0,2024
1725446700,SHORT,2489.1,2491.09,2491.09,,,,0,-1.0,0.0,-1.0,2024
1725487200,SHORT,2494.85,2497.16,2497.16,,,,0,-1.0,0.0,-1.0,2024
1726080300,LONG,2511.54,2510.0,2510.0,,,,0,-1.0,0.0,-1.0,2024
1726184700,LONG,2558.42,2556.57,2566.9,2563.23,1726191900,2557.79,1,4.6,1.99,6.59,2024
1726209000,LONG,2566.93,2562.94,2565.41,,,,0,-0.38,0.0,-0.38,2024
1726228800,LONG,2567.57,2563.55,2580.5,2576.79,1726236000,2566.84,1,3.22,0.92,4.14,2024
1726254000,LONG,2579.03,2577.56,2580.51,,,,0,1.0,0.0,1.0,2024
1726484400,LONG,2580.62,2574.85,2578.17,,,,0,-0.43,0.0,-0.43,2024
1726497000,LONG,2578.46,2576.56,2578.07,,,,0,-0.21,0.0,-0.21,2024
1726515000,LONG,2581.73,2579.38,2581.99,,,,0,0.11,0.0,0.11,2024
1727051400,LONG,2618.6,2617.75,2617.75,,,,0,-1.0,0.0,-1.0,2024
1727073000,LONG,2626.67,2625.47,2625.47,,,,0,-1.0,0.0,-1.0,2024
1727113500,LONG,2627.98,2625.99,2625.99,,,,0,-1.0,0.0,-1.0,2024
1727139600,LONG,2629.08,2623.68,2626.58,,,,0,-0.46,0.0,-0.46,2024
1727158500,LONG,2627.05,2624.25,2624.25,,,,0,-1.0,0.0,-1.0,2024
1727228700,LONG,2660.14,2655.07,2659.69,,,,0,-0.09,0.0,-0.09,2024
1727248500,LONG,2653.63,2651.16,2654.04,,,,0,0.16,0.0,0.16,2024
1727264700,LONG,2657.5,2653.64,2656.65,2664.47,1727271900,2656.65,1,-0.22,-2.03,-2.25,2024
1727284500,LONG,2660.5,2652.7,2666.55,,,,0,0.78,0.0,0.78,2024
1728341100,SHORT,2644.14,2649.29,2645.38,,,,0,-0.24,0.0,-0.24,2024
1728437400,SHORT,2621.73,2624.43,2618.79,2616.08,1728444600,2620.57,1,1.09,-1.0,0.08,2024
1728467100,SHORT,2618.11,2619.76,2618.87,,,,0,-0.46,0.0,-0.46,2024
1728474300,SHORT,2618.97,2621.46,2621.46,,,,0,-1.0,0.0,-1.0,2024
1728522000,SHORT,2609.55,2610.37,2610.37,,,,0,-1.0,0.0,-1.0,2024
1729092600,LONG,2672.3,2669.71,2669.71,,,,0,-1.0,0.0,-1.0,2024
1729149300,LONG,2680.16,2678.74,2679.94,,,,0,-0.16,0.0,-0.16,2024
1729158300,LONG,2679.52,2676.95,2676.95,,,,0,-1.0,0.0,-1.0,2024
1729239300,LONG,2702.9,2701.24,2707.61,2711.99,1729246500,2702.43,1,2.84,-2.64,0.2,2024
1729539000,LONG,2718.77,2715.93,2731.18,,,,0,4.36,0.0,4.36,2024
1729592100,LONG,2734.95,2730.26,2730.26,,,,0,-1.0,0.0,-1.0,2024
1729665900,LONG,2750.49,2747.83,2749.63,2756.94,1729673100,2748.97,1,-0.32,-2.75,-3.07,2024
1729681200,LONG,2751.64,2749.46,2749.46,,,,0,-1.0,0.0,-1.0,2024
1730154600,LONG,2741.32,2739.67,2748.75,2745.36,1730161800,2740.95,1,4.49,2.05,6.54,2024
1730207700,LONG,2755.18,2747.88,2776.5,,,,0,2.92,0.0,2.92,2024
1730256300,LONG,2780.42,2775.88,2780.2,,,,0,-0.05,0.0,-0.05,2024
1730278800,LONG,2781.71,2779.16,2779.16,,,,0,-1.0,0.0,-1.0,2024
1730333700,LONG,2786.09,2784.48,2784.48,,,,0,-1.0,0.0,-1.0,2024
1730340900,LONG,2784.97,2784.0,2784.0,,,,0,-1.0,0.0,-1.0,2024
1730349900,LONG,2784.38,2781.89,2781.89,,,,0,-1.0,0.0,-1.0,2024
1730357100,LONG,2779.87,2778.7,2778.7,,,,0,-1.0,0.0,-1.0,2024
1730364300,LONG,2779.06,2776.69,2776.69,,,,0,-1.0,0.0,-1.0,2024
1730909700,SHORT,2668.05,2679.16,2661.67,,,,0,0.57,0.0,0.57,2024
1730963700,SHORT,2664.78,2666.42,2666.42,,,,0,-1.0,0.0,-1.0,2024
1730975400,SHORT,2666.53,2668.73,2666.42,,,,0,0.05,0.0,0.05,2024
1730982600,SHORT,2670.31,2672.19,2672.19,,,,0,-1.0,0.0,-1.0,2024
1731422700,SHORT,2610.32,2617.63,2600.47,2600.72,1731429900,2612.38,1,1.35,0.03,1.38,2024
1731458700,SHORT,2599.39,2600.15,2600.15,,,,0,-1.0,0.0,-1.0,2024
1731467700,SHORT,2608.36,2613.61,2607.78,,,,0,0.11,0.0,0.11,2024
1731491100,SHORT,2608.62,2612.06,2612.06,,,,0,-1.0,0.0,-1.0,2024
1731500100,SHORT,2610.62,2612.94,2612.94,,,,0,-1.0,0.0,-1.0,2024
1731541500,SHORT,2571.02,2581.7,2557.31,,,,0,1.28,0.0,1.28,2024
1732086900,LONG,2626.36,2625.05,2625.05,,,,0,-1.0,0.0,-1.0,2024
1732194900,LONG,2665.03,2659.77,2696.62,,,,0,6.01,0.0,6.01,2024
1732490100,LONG,2717.87,2704.66,2719.69,,,,0,0.14,0.0,0.14,2024
1733331600,LONG,2650.98,2646.53,2647.83,,,,0,-0.71,0.0,-0.71,2024
1733339700,LONG,2651.23,2646.48,2646.48,,,,0,-1.0,0.0,-1.0,2024
1733477400,SHORT,2642.45,2644.0,2641.84,2637.5,1733484600,2643.64,1,0.39,-2.8,-2.4,2024
1733492700,SHORT,2635.78,2643.76,2640.87,,,,0,-0.64,0.0,-0.64,2024
1733862600,LONG,2692.45,2690.68,2698.36,2696.25,1733873400,2691.24,1,3.34,1.19,4.53,2024
1733908500,LONG,2691.82,2685.81,2693.11,,,,0,0.22,0.0,0.22,2024
1733985000,LONG,2715.03,2710.13,2714.55,,,,0,-0.1,0.0,-0.1,2024
1733995800,LONG,2715.27,2713.73,2714.49,,,,0,-0.51,0.0,-0.51,2024
1734020100,LONG,2679.09,2675.51,2682.03,2684.91,1734027300,2678.21,1,0.82,-0.8,0.02,2024
1734095700,SHORT,2665.63,2673.36,2653.39,2654.94,1734102900,2666.3,1,1.58,0.2,1.79,2024
1734330600,SHORT,2653.19,2654.92,2654.92,,,,0,-1.0,0.0,-1.0,2024
1734481800,SHORT,2649.61,2650.42,2647.57,,,,0,2.5,0.0,2.5,2024
1734501600,SHORT,2646.01,2649.58,2647.64,,,,0,-0.46,0.0,-0.46,2024
