num,cj_t,date,entry,sl,exit,R,win
1,1754068500,2025-08-01 17:15,3347.41,3339.81,3357.03,1.267,True
2,1754295300,2025-08-04 08:15,3358.87,3351.24,3374.17,2.007,True
3,1754328600,2025-08-04 17:30,3372.87,3369.96,3374.11,0.428,True
4,1754346600,2025-08-04 22:30,3374.2,3373.19,3377.6,3.385,True
5,1754379000,2025-08-05 07:30,3373.42,3365.17,3365.17,-1.0,False
6,1754435700,2025-08-05 23:15,3381.83,3377.96,3377.96,-1.0,False
7,1754518500,2025-08-06 22:15,3371.32,3366.84,3366.84,-1.0,False
8,1754527500,2025-08-07 00:45,3372.1,3364.97,3376.49,0.615,True
9,1754548200,2025-08-07 06:30,3385.29,3371.2,3388.19,0.205,True
10,1754589600,2025-08-07 18:00,3391.41,3383.75,3387.96,-0.45,False
11,1754638200,2025-08-08 07:30,3398.65,3388.22,3388.22,-1.0,False
12,1754666100,2025-08-08 15:15,3393.07,3380.14,3380.14,-1.0,False
13,1754678700,2025-08-08 18:45,3395.58,3375.59,3375.59,-1.0,False
14,1754865900,2025-08-10 22:45,3395.17,3389.78,3389.78,-1.0,False
15,1756169100,2025-08-26 00:45,3383.14,3351.0,3417.62,1.073,True
16,1756180800,2025-08-26 04:00,3373.3,3369.25,3371.94,-0.336,False
17,1756195200,2025-08-26 08:00,3376.85,3366.8,3382.19,0.532,True
18,1756206900,2025-08-26 11:15,3378.27,3366.89,3388.44,0.894,True
19,1756233900,2025-08-26 18:45,3385.55,3380.04,3388.54,0.542,True
20,1756281600,2025-08-27 08:00,3382.12,3373.22,3394.55,1.396,True
21,1756350900,2025-08-28 03:15,3390.56,3384.06,3417.68,4.174,True
22,1756361700,2025-08-28 06:15,3390.24,3387.58,3417.78,10.333,True
23,1756433700,2025-08-29 02:15,3412.05,3407.6,3407.6,-1.0,False
24,1756447200,2025-08-29 06:00,3411.43,3406.63,3406.63,-1.0,False
25,1756455300,2025-08-29 08:15,3412.55,3406.37,3406.37,-1.0,False
26,1756692000,2025-09-01 02:00,3458.64,3436.69,3473.81,0.691,True
27,1756714500,2025-09-01 08:15,3479.08,3467.0,3467.0,-1.0,False
28,1756745100,2025-09-01 16:45,3477.34,3471.79,3489.62,2.211,True
29,1756766700,2025-09-01 22:45,3475.27,3473.83,3489.79,10.096,True
30,1756872900,2025-09-03 04:15,3534.15,3528.69,3528.69,-1.0,False
31,1756881000,2025-09-03 06:30,3536.62,3526.23,3565.17,2.748,True
32,1756986300,2025-09-04 11:45,3545.57,3536.09,3539.63,-0.626,False
33,1757042100,2025-09-05 03:15,3555.22,3545.47,3545.47,-1.0,False
34,1757075400,2025-09-05 12:30,3583.35,3547.46,3612.92,0.824,True
35,1757285100,2025-09-07 22:45,3592.14,3583.33,3583.33,-1.0,False
36,1757292300,2025-09-08 00:45,3594.41,3586.56,3586.56,-1.0,False
37,1757376000,2025-09-09 00:00,3637.07,3627.84,3652.31,1.652,True
38,1757423700,2025-09-09 13:15,3660.55,3643.34,3643.34,-1.0,False
39,1757433600,2025-09-09 16:00,3649.15,3625.63,3625.63,-1.0,False
40,1757618100,2025-09-11 19:15,3634.7,3629.89,3647.86,2.738,True
41,1757639700,2025-09-12 01:15,3642.64,3630.22,3648.03,0.434,True
42,1757670300,2025-09-12 09:45,3646.45,3637.21,3637.21,-1.0,False
43,1757923200,2025-09-15 08:00,3641.69,3633.37,3678.96,4.477,True
44,1757941200,2025-09-15 13:00,3649.55,3636.49,3678.85,2.243,True
45,1757976300,2025-09-15 22:45,3678.87,3676.1,3676.71,-0.779,False
46,1757983500,2025-09-16 00:45,3686.48,3675.95,3675.95,-1.0,False
47,1757993400,2025-09-16 03:30,3681.35,3674.04,3690.17,1.208,True
48,1758031200,2025-09-16 14:00,3699.61,3684.51,3684.51,-1.0,False
49,1758039300,2025-09-16 16:15,3689.1,3678.06,3678.06,-1.0,False
50,1758197700,2025-09-18 12:15,3671.37,3663.88,3663.88,-1.0,False
51,1758289500,2025-09-19 13:45,3663.27,3643.11,3680.9,0.874,True
52,1758511800,2025-09-22 03:30,3695.08,3685.06,3744.18,4.903,True
53,1758606300,2025-09-23 05:45,3753.01,3742.7,3779.15,2.536,True
54,1758639600,2025-09-23 15:00,3779.21,3767.0,3767.0,-1.0,False
55,1758647700,2025-09-23 17:15,3782.31,3764.46,3764.46,-1.0,False
56,1758714300,2025-09-24 11:45,3768.96,3759.16,3759.16,-1.0,False
57,1758800700,2025-09-25 11:45,3752.96,3740.63,3740.63,-1.0,False
58,1758844800,2025-09-26 00:00,3746.64,3737.54,3737.54,-1.0,False
59,1758859200,2025-09-26 04:00,3746.71,3733.9,3774.11,2.139,True
60,1758869100,2025-09-26 06:45,3743.67,3741.03,3741.03,-1.0,False
61,1758872700,2025-09-26 07:45,3748,3738.69,3774.22,2.816,True
62,1759099500,2025-09-28 22:45,3770.47,3760.11,3823.57,5.123,True
63,1759175100,2025-09-29 19:45,3828.73,3822.2,3862.33,5.145,True
64,1759457700,2025-10-03 02:15,3855.08,3846.88,3846.88,-1.0,False
65,1759493700,2025-10-03 12:15,3863.64,3854.21,3880.18,1.755,True
66,1759516200,2025-10-03 18:30,3888.28,3876.05,3934.87,3.809,True
67,1759702500,2025-10-05 22:15,3893.9,3882.28,3935.07,3.542,True
68,1759887900,2025-10-08 01:45,4000.26,3983.85,4031.56,1.907,True
69,1759932900,2025-10-08 14:15,4044.71,4025.45,4025.45,-1.0,False
70,1760107500,2025-10-10 14:45,3989.99,3969.72,3976.56,-0.663,False
71,1760118300,2025-10-10 17:45,3990,3973.79,4100.34,6.807,True
72,1760472900,2025-10-14 20:15,4143.96,4133.52,4183.51,3.79,True
73,1760545800,2025-10-15 16:30,4196.66,4178.57,4227.65,1.714,True
74,1760609700,2025-10-16 10:15,4237.79,4221.34,4340.92,6.27,True
75,1760957100,2025-10-20 10:45,4254.8,4244.8,4341.76,8.692,True
76,1761029100,2025-10-21 06:45,4343.21,4316.21,4316.21,-1.0,False
77,1762435800,2025-11-06 13:30,4013.53,4002.42,4002.42,-1.0,False
78,1762533000,2025-11-07 16:30,4020.79,3983.03,4074.78,1.43,True
79,1762867800,2025-11-11 13:30,4141.96,4132.66,4132.66,-1.0,False
80,1762955100,2025-11-12 13:45,4126.96,4121.97,4191.49,12.942,True
81,1762994700,2025-11-13 00:45,4205.75,4185.34,4185.34,-1.0,False
82,1762999200,2025-11-13 02:00,4194.11,4178.93,4223.99,1.968,True
83,1764171900,2025-11-26 15:45,4165.31,4135.81,4215.15,1.689,True
84,1764262800,2025-11-27 17:00,4155.3,4150.84,4181.27,5.816,True
85,1764546300,2025-11-30 23:45,4222.15,4204.92,4231.91,0.567,True
86,1764737100,2025-12-03 04:45,4222.4,4216.47,4216.47,-1.0,False
87,1764856800,2025-12-04 14:00,4204.76,4185.0,4227.6,1.155,True
88,1764877500,2025-12-04 19:45,4208.85,4198.8,4198.8,-1.0,False
89,1764893700,2025-12-05 00:15,4205.69,4203.32,4203.32,-1.0,False
90,1765285200,2025-12-09 13:00,4205.1,4197.91,4197.91,-1.0,False
91,1765331100,2025-12-10 01:45,4213.91,4206.56,4206.56,-1.0,False
92,1765346400,2025-12-10 06:00,4209.65,4201.42,4201.42,-1.0,False
93,1765397700,2025-12-10 20:15,4232.65,4180.86,4271.62,0.753,True
94,1765446300,2025-12-11 09:45,4218.52,4209.96,4209.96,-1.0,False
95,1765457100,2025-12-11 12:45,4220.56,4208.12,4208.12,-1.0,False
96,1765461600,2025-12-11 14:00,4227.33,4204.53,4271.99,1.958,True
97,1765518300,2025-12-12 05:45,4278.9,4265.75,4331.8,4.023,True
98,1765915200,2025-12-16 20:00,4312.05,4295.9,4319.47,0.459,True
99,1765970100,2025-12-17 11:15,4318.19,4305.86,4322.14,0.32,True
100,1766065500,2025-12-18 13:45,4336.51,4314.25,4314.25,-1.0,False
101,1766071800,2025-12-18 15:30,4337.33,4307.55,4324.62,-0.427,False
102,1766158200,2025-12-19 15:30,4340.05,4318.96,4431.31,4.328,True
103,1766358900,2025-12-21 23:15,4348.71,4336.22,4431.53,6.63,True
104,1766433600,2025-12-22 20:00,4438.66,4428.24,4482.29,4.189,True
105,1766532600,2025-12-23 23:30,4505.59,4482.73,4482.73,-1.0,False
106,1767816000,2026-01-07 20:00,4458.2,4444.49,4444.49,-1.0,False
107,1767902400,2026-01-08 20:00,4458.13,4444.01,4460.03,0.134,True
108,1767938400,2026-01-09 06:00,4467.39,4457.68,4468.1,0.073,True
109,1767951000,2026-01-09 09:30,4471.83,4463.31,4463.31,-1.0,False
110,1767964500,2026-01-09 13:15,4472.89,4460.42,4460.42,-1.0,False
111,1767968100,2026-01-09 14:15,4494.56,4457.28,4585.16,2.431,True
112,1767983400,2026-01-09 18:30,4502.28,4480.88,4584.9,3.861,True
113,1768244400,2026-01-12 19:00,4613.81,4599.58,4599.58,-1.0,False
114,1768309200,2026-01-13 13:00,4602.7,4577.26,4600.36,-0.092,False
115,1768443300,2026-01-15 02:15,4611.05,4582.78,4582.78,-1.0,False
