date,t,kind,price,atr,in_atr,out_atr,bars_out,yr,block
2024-05-27 00:30,1716769800,BOT,2334.43,2.305,,12.8,133,2024,2024-05-25
2024-05-28 13:15,1716902100,TOP,2364.04,3.201,9.2,13.0,154,2024,2024-05-25
2024-05-30 05:45,1717047900,BOT,2322.58,3.116,13.3,11.9,121,2024,2024-05-25
2024-05-31 13:00,1717160400,TOP,2359.65,2.944,12.6,15.3,66,2024,2024-05-25
2024-06-03 06:30,1717396200,BOT,2314.7,3.374,13.3,11.9,42,2024,2024-05-25
2024-06-03 17:00,1717434000,TOP,2354.7,4.865,8.2,8.0,81,2024,2024-05-25
2024-06-04 14:15,1717510500,BOT,2315.56,5.071,7.7,11.7,139,2024,2024-05-25
2024-06-06 03:00,1717642800,TOP,2374.94,3.649,16.3,5.9,40,2024,2024-05-25
2024-06-06 13:00,1717678800,BOT,2353.32,3.141,6.9,10.9,60,2024,2024-05-25
2024-06-07 05:00,1717736400,TOP,2387.67,3.209,10.7,31.5,60,2024,2024-05-25
2024-06-07 20:00,1717790400,BOT,2286.72,3.824,26.4,14.4,248,2024,2024-05-25
2024-06-12 13:00,1718197200,TOP,2341.6,3.627,15.1,12.7,104,2024,2024-05-25
2024-06-13 16:15,1718295300,BOT,2295.55,6.271,7.3,6.6,74,2024,2024-05-25
2024-06-14 11:45,1718365500,TOP,2336.63,3.783,10.9,7.1,108,2024,2024-05-25
2024-06-17 15:45,1718639100,BOT,2309.87,4.199,6.4,3.8,40,2024,2024-05-25
2024-06-18 02:45,1718678700,TOP,2325.65,2.167,7.3,8.8,32,2024,2024-05-25
2024-06-18 10:45,1718707500,BOT,2306.55,2.426,7.9,25.6,269,2024,2024-05-25
2024-06-21 11:30,1718969400,TOP,2368.69,2.381,26.1,21.8,25,2024,2024-05-25
2024-06-21 17:45,1718991900,BOT,2316.67,4.359,11.9,4.7,154,2024,2024-05-25
2024-06-25 10:15,1719310500,TOP,2337.08,2.57,7.9,17.0,106,2024,2024-05-25
2024-06-26 13:45,1719409500,BOT,2293.45,4.611,9.5,10.0,181,2024,2024-05-25
2024-06-28 13:00,1719579600,TOP,2339.69,2.989,15.5,7.1,62,2024,2024-05-25
2024-07-01 05:30,1719811800,BOT,2318.52,1.848,11.5,10.8,26,2024,2024-05-25
2024-07-01 12:00,1719835200,TOP,2338.51,2.531,7.9,4.6,147,2024,2024-05-25
2024-07-03 02:45,1719974700,BOT,2326.88,1.545,7.5,24.6,48,2024,2024-05-25
2024-07-03 14:45,1720017900,TOP,2364.94,4.942,7.7,3.3,165,2024,2024-05-25
2024-07-05 12:30,1720182600,BOT,2348.73,3.961,4.1,11.2,26,2024,2024-05-25
2024-07-05 19:00,1720206000,TOP,2392.9,2.909,15.2,14.5,79,2024,2024-05-25
2024-07-08 15:45,1720453500,BOT,2350.77,4.822,8.7,4.3,85,2024,2024-05-25
2024-07-09 14:00,1720533600,TOP,2371.49,4.094,5.1,2.0,40,2024,2024-05-25
2024-07-10 01:00,1720573200,BOT,2363.24,0.995,8.3,23.5,51,2024,2024-05-25
2024-07-10 13:45,1720619100,TOP,2386.65,2.768,8.5,5.7,28,2024,2024-05-25
2024-07-10 20:45,1720644300,BOT,2370.84,1.662,9.5,32.3,71,2024,2024-05-25
2024-07-11 15:30,1720711800,TOP,2424.52,8.965,6.0,3.7,80,2024,2024-05-25
2024-07-12 12:30,1720787400,BOT,2391.35,3.151,10.5,15.3,108,2024,2024-05-25
2024-07-15 16:30,1721061000,TOP,2439.72,4.722,10.2,4.2,29,2024,2024-05-25
2024-07-16 00:45,1721090700,BOT,2419.99,1.132,17.4,56.2,145,2024,2024-05-25
2024-07-17 14:00,1721224800,TOP,2483.64,5.446,11.7,18.3,278,2024,2024-05-25
2024-07-22 14:30,1721658600,BOT,2383.82,4.989,20.0,9.7,185,2024,2024-05-25
2024-07-24 14:45,1721832300,TOP,2431.98,5.284,9.1,14.9,102,2024,2024-05-25
2024-07-25 17:15,1721927700,BOT,2353.1,5.14,15.3,9.7,108,2024,2024-05-25
2024-07-28 22:15,1722204900,TOP,2403.07,3.05,16.4,8.7,105,2024,2024-05-25
2024-07-30 01:30,1722303000,BOT,2376.45,2.014,13.2,40.7,183,2024,2024-05-25
2024-08-01 01:15,1722474900,TOP,2458.36,2.524,32.4,11.2,34,2024,2024-05-25
2024-08-01 09:45,1722505500,BOT,2430.16,2.972,9.5,16.0,103,2024,2024-05-25
2024-08-02 12:30,1722601800,TOP,2477.66,4.275,11.1,26.6,92,2024,2024-05-25
2024-08-05 12:30,1722861000,BOT,2364.15,8.871,12.8,6.1,45,2024,2024-05-25
2024-08-06 00:45,1722905100,TOP,2418.31,3.144,17.2,12.5,94,2024,2024-05-25
2024-08-07 01:15,1722993300,BOT,2379,3.274,12.0,30.8,505,2024,2024-05-25
2024-08-14 12:30,1723638600,TOP,2479.82,3.54,28.5,11.2,19,2024,2024-05-25
2024-08-14 17:15,1723655700,BOT,2440.26,4.491,8.8,6.6,72,2024,2024-05-25
2024-08-15 12:15,1723724100,TOP,2470.02,2.405,12.4,8.0,56,2024,2024-05-25
2024-08-16 03:15,1723778100,BOT,2450.78,2.471,7.8,32.8,225,2024,2024-05-25
2024-08-20 13:30,1724160600,TOP,2531.73,4.127,19.6,9.2,94,2024,2024-05-25
2024-08-21 14:00,1724248800,BOT,2493.65,4.631,8.2,4.5,39,2024,2024-05-25
2024-08-22 00:45,1724287500,TOP,2514.67,1.412,14.9,25.6,74,2024,2024-05-25
2024-08-26 11:45,1724672700,TOP,2526.88,2.501,,9.4,77,2024,2024-08-25
2024-08-27 08:00,1724745600,BOT,2503.27,3.576,6.6,7.2,56,2024,2024-08-25
2024-08-27 23:00,1724799600,TOP,2528.96,1.435,17.9,24.8,54,2024,2024-08-25
2024-08-28 12:30,1724848200,BOT,2493.43,3.034,11.7,11.6,111,2024,2024-08-25
2024-08-29 17:15,1724951700,TOP,2528.67,3.912,9.0,14.2,254,2024,2024-08-25
2024-09-03 14:15,1725372900,BOT,2473.09,7.131,7.8,7.1,177,2024,2024-08-25
2024-09-05 12:30,1725539400,TOP,2523.38,3.02,16.7,12.7,108,2024,2024-08-25
2024-09-06 16:30,1725640200,BOT,2484.91,8.82,4.4,5.0,236,2024,2024-08-25
