t,d,out,regime_csv,macro,S1_pos384,S1_pos96,S1_ratio,S1_net384_atr,S2a_px1d_atr,S2b_dist_prev_ep_bot,S2b_dist_prev_rng_bot,S3_n_bounces,S3_n_desc_peaks,S3_peak_trend_down,s4_covered,s4_age_bars,s4_same_episode,s4_n_retests,S5_pos_in_range,F_S1,F_S2a,F_S3,F_S4,F_S5,F_S2b
1754008200,2025-08-01,0,RANGE,RANGE,0.32,0.38,1.0,-15.3,-14.7,15.9,57.6,3,2,1,0,,,,0.24,0,0,0,0,0,0
1754013600,2025-08-01,1,RANGE,RANGE,0.3,0.29,1.0,-9.5,-10.4,10.3,38.7,3,2,1,0,,,,0.23,0,0,0,0,0,0
1754344800,2025-08-04,0,RANGE,RANGE,0.91,0.74,0.13,26.4,17.7,68.6,134.8,1,0,0,0,,,,0.67,1,0,0,0,1,0
1754372700,2025-08-05,0,RANGE,RANGE,0.9,0.66,0.15,20.7,12.0,52.6,103.9,2,1,1,0,,,,0.66,1,0,0,0,1,0
1754378100,2025-08-05,0,RANGE,RANGE,0.9,0.67,0.17,15.1,9.7,42.5,83.7,3,2,1,0,,,,0.66,1,0,0,0,1,0
1754396100,2025-08-05,1,RANGE,RANGE,0.79,0.31,0.3,7.5,3.9,28.2,58.7,4,0,0,0,,,,0.59,1,0,0,0,1,0
1754433000,2025-08-05,0,RANGE,RANGE,0.91,0.74,0.11,44.9,19.5,74.9,144.7,0,0,0,0,,,,0.69,1,0,0,0,1,0
1754460000,2025-08-06,0,RANGE,RANGE,0.86,0.63,0.18,31.0,10.5,50.0,98.0,1,0,0,0,,,,0.67,1,0,0,0,1,0
1754484300,2025-08-06,1,RANGE,RANGE,0.79,0.43,0.3,14.8,4.9,31.5,63.7,3,2,1,0,,,,0.63,1,0,0,0,1,0
1754655300,2025-08-08,0,RANGE,RANGE,0.77,0.6,0.47,6.6,7.4,27.7,50.9,2,1,1,0,,,,0.77,1,0,0,0,1,0
1754677800,2025-08-08,0,RANGE,RANGE,0.79,0.61,0.55,2.7,5.8,21.2,38.9,3,2,1,0,,,,0.77,1,0,0,0,1,0
1755114300,2025-08-13,0,RANGE,RANGE,0.35,0.55,1.0,-11.7,-0.7,40.3,85.2,9,5,1,0,,,,0.58,0,0,0,0,1,0
1755153900,2025-08-14,0,RANGE,RANGE,0.42,0.56,1.0,-8.9,0.7,38.8,80.4,5,4,1,0,,,,0.6,0,0,0,0,1,0
1755287100,2025-08-15,0,RANGE,RANGE,0.21,0.41,1.0,-5.1,-9.1,45.7,106.9,3,2,1,0,,,,0.48,0,0,0,0,1,0
1755555300,2025-08-18,0,RANGE,RANGE,0.2,0.3,1.0,-9.6,-13.0,60.2,145.2,4,0,0,0,,,,0.45,0,0,0,0,1,0
