i,j,t,ent,sl,risk,macro,S2a_px1d,F_S2a,S3_ndesc,F_S3,oc,out
2293,2296,1719795600,2325.95,2321.99,3.96,RANGE,0.21,0,2,0,SL,0
2555,2559,1720039500,2356.03,2353.45,2.58,RANGE,19.22,0,0,0,SL,0
2594,2598,1720078200,2357.18,2350.18,7.0,RANGE,12.94,0,0,0,SL,0
2644,2645,1720133100,2357.42,2354.02,3.4,RANGE,23.63,0,0,0,TGT,1
2781,2789,1720439100,2375.33,2368.05,7.28,RANGE,13.17,0,1,0,SL,0
2999,3017,1720655100,2372.81,2369.62,3.19,RANGE,37.14,0,3,0,TGT,1
3086,3105,1720737900,2414,2409.39,4.61,RANGE,36.42,0,0,0,SL,0
3139,3144,1720773000,2406.58,2400.12,6.46,RANGE,18.94,0,0,0,SL,0
3160,3162,1720789200,2404.04,2391.03,13.01,RANGE,12.99,0,2,0,TGT,1
3206,3209,1721007900,2410.04,2404.63,5.41,RANGE,21.21,0,2,0,SL,0
3230,3233,1721029500,2407.91,2401.11,6.8,RANGE,18.35,0,2,0,TGT,1
3274,3293,1721087100,2422.53,2419.32,3.21,RANGE,60.08,0,0,0,TGT,1
3411,3416,1721201400,2470.96,2461.36,9.6,BULL,27.08,0,0,0,SL,0
3458,3470,1721253600,2459.06,2450.93,8.13,BULL,42.36,0,0,0,SL,0
3780,3784,1721719800,2395.48,2387.98,7.5,BULL,0.59,0,7,0,TGT,1
4170,4173,1722257100,2393.8,2385.07,8.73,RANGE,0.39,0,1,0,SL,0
4183,4192,1722274200,2382.27,2369.03,13.24,RANGE,-2.38,0,1,0,TGT,1
4437,4443,1722510900,2438.72,2429.86,8.86,RANGE,13.71,0,1,0,TGT,1
4471,4475,1722539700,2443.2,2434.27,8.93,RANGE,11.57,0,0,0,TGT,1
4583,4588,1722821400,2438.27,2412.98,25.29,RANGE,3.82,0,0,0,SL,0
4607,4611,1722842100,2441.57,2421.56,20.01,RANGE,4.71,0,0,0,SL,0
4699,4702,1722927600,2406.68,2394.38,12.3,RANGE,-0.43,0,1,0,SL,0
4850,4859,1723076100,2386.58,2380.75,5.83,RANGE,-9.42,0,1,0,TGT,1
5050,5057,1723434300,2428.6,2423.48,5.12,RANGE,8.19,0,0,0,TGT,1
5154,5160,1723530600,2463.55,2458.2,5.35,RANGE,18.41,0,0,0,SL,0
5556,5557,1724075100,2494.81,2484.95,9.86,BULL,11.88,0,1,0,TGT,1
5658,5673,1724183100,2514.94,2500.22,14.72,BULL,23.6,0,0,0,SL,0
5796,5801,1724305500,2505.57,2498.8,6.77,BULL,19.32,0,1,0,SL,0
6346,6354,1724997600,2515.63,2511.89,3.74,BULL,15.92,0,0,0,TGT,1
6399,6413,1725050700,2503.44,2493.34,10.1,BULL,7.45,0,0,0,SL,0
6898,6902,1725867000,2494.06,2485.2,8.86,BULL,0.29,0,1,0,TGT,1
7112,7116,1726066800,2513.7,2500.19,13.51,BULL,2.71,0,1,0,TGT,1
7132,7152,1726102800,2513.9,2509.33,4.57,BULL,13.17,0,1,0,TGT,1
7705,7706,1726795800,2587.82,2584.65,3.17,BULL,38.9,0,0,0,TGT,1
7823,7831,1727084700,2621.55,2613.35,8.2,BULL,21.49,0,0,0,TGT,1
7887,7888,1727139600,2629.08,2623.68,5.4,BULL,52.66,0,0,0,SL,0
8004,8015,1727257500,2656.91,2651.16,5.75,BULL,31.96,0,0,0,SL,0
8043,8045,1727284500,2660.5,2649.11,11.39,BULL,21.41,0,1,0,SL,0
8164,8165,1727399700,2671.77,2668.58,3.19,BULL,61.82,0,0,0,SL,0
8166,8173,1727406900,2671.1,2665.98,5.12,BULL,34.16,0,0,0,SL,0
8197,8204,1727434800,2666.53,2658.06,8.47,BULL,32.65,0,0,0,SL,0
8259,8271,1727671500,2655.8,2647.2,8.6,BULL,19.61,0,2,0,SL,0
8441,8443,1727833500,2660.54,2656.09,4.45,BULL,32.42,0,2,0,SL,0
8459,8466,1727854200,2654.3,2644.2,10.1,BULL,15.4,0,2,0,SL,0
8485,8488,1727874000,2651.04,2643.53,7.51,BULL,12.78,0,2,0,SL,0
8497,8507,1727891100,2652.23,2640.31,11.92,BULL,12.51,0,2,0,SL,0
